instance_id,mode,nodes_expanded,best_obj
3,Natural,12039,96.0763
3,Natural,12041,91.9198
3,Natural,12081,90.9804
3,Natural,15361,90.9482
3,Natural,25202,90.9347
3,Natural-Final,30001,90.9347
3,Random,1381,124.8435
3,Random,1392,124.4109
3,Random,1449,124.2445
3,Random,1470,117.1401
3,Random,1471,113.1974
3,Random,1486,110.3981
3,Random,1612,109.6341
3,Random,1634,109.0351
3,Random,1725,107.3454
3,Random,1733,106.5412
3,Random,5609,106.2608
3,Random,5661,105.6618
3,Random,5687,105.3214
3,Random,5846,94.8817
3,Random,5857,92.6870
3,Random,5863,91.8827
3,Random,9602,91.8505
3,Random,9889,91.4162
3,Random-Final,30001,91.4162
3,Coralys,12039,95.7571
3,Coralys,12040,94.4628
3,Coralys,12041,91.6006
3,Coralys,12081,90.9669
3,Coralys,15361,90.9347
3,Coralys-Final,30001,90.9347
