instance_id,mode,nodes_expanded,best_obj
3,Natural,12039,96.0763
3,Natural,12041,91.9198
3,Natural,12081,90.9804
3,Natural,15361,90.9482
3,Natural,25202,90.9347
3,Natural-Final,30001,90.9347
3,Random,2224,123.7056
3,Random,2313,123.5392
3,Random,2332,121.3386
3,Random,2361,121.0453
3,Random,2930,115.0384
3,Random,2931,114.0976
3,Random,2932,111.0957
3,Random,2934,110.2915
3,Random,2983,110.1646
3,Random,3021,109.9982
3,Random,3061,109.9475
3,Random,3062,106.9456
3,Random,3066,106.1413
3,Random,5483,104.9215
3,Random,6232,95.9735
3,Random,6276,95.6802
3,Random,6312,95.3397
3,Random,6342,92.9208
3,Random,6345,92.1166
3,Random,6399,91.4829
3,Random,7280,91.4507
3,Random-Final,30001,91.4507
3,Coralys,12039,95.7571
3,Coralys,12040,94.4628
3,Coralys,12041,91.6006
3,Coralys,12081,90.9669
3,Coralys,15361,90.9347
3,Coralys-Final,30001,90.9347
