instance,rank,load
setA-17,1,0.424192341
setA-17,2,0.409979468
setA-17,3,0.360416583
setA-17,4,0.313249732
setA-17,5,0.280761904
setA-17,6,0.273319657
setA-17,7,0.253886651
setA-17,8,0.247575750
setA-17,9,0.241072182
setA-17,10,0.237588748
setA-17,11,0.219954434
setA-17,12,0.219246556
setA-17,13,0.207304242
setA-17,14,0.207083522
setA-17,15,0.202342030
setA-17,16,0.198060600
setA-17,17,0.193557149
setA-17,18,0.161537714
setA-17,19,0.158011034
setA-17,20,0.150594536
setA-17,21,0.140380952
setA-17,22,0.129666255
setA-17,23,0.119336267
setA-17,24,0.118727463
setA-17,25,0.109623278
setA-17,26,0.102681440
setA-17,27,0.102546278
setA-17,28,0.098624252
setA-17,29,0.096138202
setA-17,30,0.094451539
setA-17,31,0.092731342
setA-17,32,0.087897785
setA-17,33,0.086546848
setA-17,34,0.086126208
setA-17,35,0.085749906
setA-17,36,0.081518135
setA-17,37,0.080233100
setA-17,38,0.078749557
setA-17,39,0.076358474
setA-17,40,0.075818695
setA-17,41,0.074738050
setA-17,42,0.074289895
setA-17,43,0.073694407
setA-17,44,0.073336418
setA-17,45,0.072673176
setA-17,46,0.069702682
setA-17,47,0.069680093
setA-17,48,0.069055685
setA-17,49,0.068905861
setA-17,50,0.068567315
setA-17,51,0.067149732
setA-17,52,0.066070143
setA-17,53,0.065121584
setA-17,54,0.061645553
setA-17,55,0.061457079
setA-17,56,0.061451230
setA-17,57,0.060809748
setA-17,58,0.060754519
setA-17,59,0.060398573
setA-17,60,0.060237095
setA-17,61,0.060098418
setA-17,62,0.060017247
setA-17,63,0.059772371
setA-17,64,0.059142968
setA-17,65,0.058785233
setA-17,66,0.057807095
setA-17,67,0.057356626
setA-17,68,0.056903877
setA-17,69,0.056374452
setA-17,70,0.054553999
setA-17,71,0.054547849
setA-17,72,0.054381190
setA-17,73,0.054252107
setA-17,74,0.053481016
setA-17,75,0.052047178
setA-17,76,0.051902422
setA-17,77,0.051317005
setA-17,78,0.051144192
setA-17,79,0.050874505
setA-17,80,0.050768130
setA-17,81,0.050377584
setA-17,82,0.049169371
setA-17,83,0.049155398
setA-17,84,0.048917647
setA-17,85,0.048839106
setA-17,86,0.047959865
setA-17,87,0.047819211
setA-17,88,0.047381681
setA-17,89,0.047184020
setA-17,90,0.046825197
setA-17,91,0.046590792
setA-17,92,0.046373017
setA-17,93,0.046329119
setA-17,94,0.046215940
setA-17,95,0.044382075
setA-17,96,0.044382075
setA-17,97,0.044335720
setA-17,98,0.043637564
setA-17,99,0.043223175
setA-17,100,0.043106283
setA-17,101,0.043049256
setA-17,102,0.042876712
setA-17,103,0.042847159
setA-17,104,0.042333443
setA-17,105,0.042289446
setA-17,106,0.042152226
setA-17,107,0.041986526
setA-17,108,0.041718049
setA-17,109,0.041670110
setA-17,110,0.041352750
setA-17,111,0.041087254
setA-17,112,0.041082530
setA-17,113,0.040866246
setA-17,114,0.040670809
setA-17,115,0.040439942
setA-17,116,0.040367419
setA-17,117,0.040189524
setA-17,118,0.040111887
setA-17,119,0.040070431
setA-17,120,0.040024167
setA-17,121,0.039865848
setA-17,122,0.039850542
setA-17,123,0.039575820
setA-17,124,0.039236219
setA-17,125,0.039061622
setA-17,126,0.038863785
setA-17,127,0.038852857
setA-17,128,0.038846169
setA-17,129,0.038423893
setA-17,130,0.038423893
setA-17,131,0.038396009
setA-17,132,0.038392023
setA-17,133,0.038243491
setA-17,134,0.037849037
setA-17,135,0.037441539
setA-17,136,0.037323426
setA-17,137,0.037111223
setA-17,138,0.037030030
setA-17,139,0.036757397
setA-17,140,0.036598482
setA-17,141,0.036575673
setA-17,142,0.036430110
setA-17,143,0.036424913
setA-17,144,0.036342601
setA-17,145,0.035974381
setA-17,146,0.035918847
setA-17,147,0.035842481
setA-17,148,0.035763543
setA-17,149,0.035405120
setA-17,150,0.035382457
setA-17,151,0.035365015
setA-17,152,0.035070430
setA-17,153,0.035015334
setA-17,154,0.034989332
setA-17,155,0.034187375
setA-17,156,0.033806269
setA-17,157,0.033625633
setA-17,158,0.033618025
setA-17,159,0.033192465
setA-17,160,0.033099718
setA-17,161,0.033084449
setA-17,162,0.032921919
setA-17,163,0.032717240
setA-17,164,0.032343237
setA-17,165,0.032299189
setA-17,166,0.032292847
setA-17,167,0.032292779
setA-17,168,0.032237490
setA-17,169,0.032152652
setA-17,170,0.032064414
setA-17,171,0.032030159
