seed,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,gini,cv,coverage
1000,Off,4650,17000,4000,1000,7000,5000,0.0698,0.1261,0.9604
1000,WeekLocal,5055,14000,3000,0,5000,6000,0.0800,0.1493,0.9703
1000,FullEcology,5165,14000,0,1000,5000,8000,0.0659,0.1180,1.0000
1001,Off,4675,14000,3000,0,5000,6000,0.0873,0.1563,0.9703
1001,WeekLocal,5015,16000,6000,1000,3000,6000,0.1109,0.1940,0.9505
1001,FullEcology,4560,17000,5000,1000,5000,6000,0.0427,0.0808,0.9505
1002,Off,4455,10000,6000,0,2000,2000,0.0928,0.1671,0.9406
1002,WeekLocal,5655,13000,3000,0,1000,9000,0.0767,0.1389,0.9703
1002,FullEcology,5460,15000,6000,0,3000,6000,0.0564,0.1001,0.9406
1003,Off,5320,13000,3000,0,3000,7000,0.1067,0.1995,0.9703
1003,WeekLocal,4135,14000,4000,0,7000,3000,0.1051,0.1848,0.9604
1003,FullEcology,4635,11000,4000,0,3000,4000,0.0721,0.1278,0.9604
1004,Off,5310,12000,3000,0,2000,7000,0.0832,0.1462,0.9703
1004,WeekLocal,4985,13000,3000,0,5000,5000,0.0683,0.1246,0.9703
1004,FullEcology,5415,15000,6000,2000,2000,5000,0.0650,0.1185,0.9406
1005,Off,5270,13000,7000,0,3000,3000,0.0664,0.1265,0.9406
1005,WeekLocal,5240,11000,4000,0,3000,4000,0.0710,0.1291,0.9604
1005,FullEcology,4680,15000,5000,2000,3000,5000,0.0714,0.1277,0.9505
1006,Off,4935,11000,1000,0,5000,5000,0.0936,0.1643,0.9901
1006,WeekLocal,5950,13000,2000,0,7000,4000,0.0879,0.1643,0.9802
1006,FullEcology,5375,16000,7000,0,1000,8000,0.0554,0.1032,0.9406
1007,Off,5475,13000,2000,0,5000,6000,0.0831,0.1521,0.9802
1007,WeekLocal,4625,21000,3000,1000,7000,10000,0.0828,0.1532,0.9703
1007,FullEcology,6065,11000,3000,0,4000,4000,0.0546,0.1007,0.9703
1008,Off,4715,15000,2000,1000,4000,8000,0.0716,0.1357,0.9802
1008,WeekLocal,4930,10000,2000,0,4000,4000,0.0812,0.1455,0.9802
1008,FullEcology,5245,17000,8000,0,5000,4000,0.0582,0.1046,0.9208
1009,Off,5405,15000,4000,0,2000,9000,0.1092,0.1911,0.9604
1009,WeekLocal,4665,12000,2000,0,3000,7000,0.0908,0.1609,0.9802
1009,FullEcology,4560,15000,6000,1000,4000,4000,0.0610,0.1169,0.9505
1010,Off,5290,13000,4000,1000,7000,1000,0.0789,0.1418,0.9604
1010,WeekLocal,5870,13000,4000,1000,4000,4000,0.0812,0.1439,0.9604
1010,FullEcology,5300,15000,4000,0,6000,5000,0.0685,0.1252,0.9604
1011,Off,4635,18000,7000,1000,3000,7000,0.0880,0.1552,0.9307
1011,WeekLocal,5105,17000,7000,0,3000,7000,0.0823,0.1464,0.9307
1011,FullEcology,5190,12000,4000,0,3000,5000,0.0580,0.1059,0.9802
1012,Off,4985,13000,1000,0,3000,9000,0.0774,0.1390,0.9901
1012,WeekLocal,5905,12000,4000,1000,1000,6000,0.0756,0.1378,0.9604
1012,FullEcology,5130,16000,9000,1000,2000,4000,0.0520,0.0958,0.9208
1013,Off,4895,16000,6000,3000,3000,4000,0.0780,0.1373,0.9505
1013,WeekLocal,5225,14000,6000,1000,2000,5000,0.0857,0.1524,0.9505
1013,FullEcology,5380,18000,8000,1000,5000,4000,0.0539,0.0972,0.9208
1014,Off,4655,15000,3000,2000,7000,3000,0.0860,0.1532,0.9703
1014,WeekLocal,5005,14000,4000,1000,3000,6000,0.1003,0.1776,0.9604
1014,FullEcology,5320,14000,7000,1000,3000,3000,0.0695,0.1239,0.9307
1015,Off,5110,11000,2000,0,5000,4000,0.0783,0.1379,0.9802
1015,WeekLocal,5700,14000,4000,0,2000,8000,0.0661,0.1174,0.9604
1015,FullEcology,4885,13000,3000,1000,5000,4000,0.0585,0.1065,0.9703
