seed,scale_factor,initial_gini,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,final_gini,cv,coverage
1000,0.00,0.0000,Off,4650,17000,4000,1000,7000,5000,0.0296,0.0534,0.9604
1000,0.00,0.0000,FullEcology,5165,14000,0,1000,5000,8000,0.0277,0.0495,1.0000
1000,0.25,0.0610,Off,4650,17000,4000,1000,7000,5000,0.0584,0.1025,0.9604
1000,0.25,0.0610,FullEcology,5165,14000,0,1000,5000,8000,0.0503,0.0881,1.0000
1000,0.50,0.1250,Off,4650,17000,4000,1000,7000,5000,0.0953,0.1709,0.9604
1000,0.50,0.1250,FullEcology,5165,14000,0,1000,5000,8000,0.0873,0.1551,1.0000
1000,1.00,0.2500,Off,4650,17000,4000,1000,7000,5000,0.1674,0.3117,0.9604
1000,1.00,0.2500,FullEcology,5165,14000,0,1000,5000,8000,0.1598,0.2962,1.0000
1000,2.00,0.5000,Off,4650,17000,4000,1000,7000,5000,0.3116,0.5982,0.9604
1000,2.00,0.5000,FullEcology,5165,14000,0,1000,5000,8000,0.3049,0.5843,1.0000
1001,0.00,0.0000,Off,4675,14000,3000,0,5000,6000,0.0373,0.0667,0.9703
1001,0.00,0.0000,FullEcology,4560,17000,5000,1000,5000,6000,0.0181,0.0342,0.9505
1001,0.25,0.0610,Off,4675,14000,3000,0,5000,6000,0.0548,0.0986,0.9703
1001,0.25,0.0610,FullEcology,4560,17000,5000,1000,5000,6000,0.0448,0.0795,0.9505
1001,0.50,0.1250,Off,4675,14000,3000,0,5000,6000,0.0911,0.1606,0.9703
1001,0.50,0.1250,FullEcology,4560,17000,5000,1000,5000,6000,0.0815,0.1490,0.9505
1001,1.00,0.2500,Off,4675,14000,3000,0,5000,6000,0.1628,0.2970,0.9703
1001,1.00,0.2500,FullEcology,4560,17000,5000,1000,5000,6000,0.1535,0.2912,0.9505
1001,2.00,0.5000,Off,4675,14000,3000,0,5000,6000,0.3060,0.5798,0.9703
1001,2.00,0.5000,FullEcology,4560,17000,5000,1000,5000,6000,0.2976,0.5783,0.9505
1002,0.00,0.0000,Off,4455,10000,6000,0,2000,2000,0.0385,0.0693,0.9406
1002,0.00,0.0000,FullEcology,5460,15000,6000,0,3000,6000,0.0238,0.0424,0.9406
1002,0.25,0.0610,Off,4455,10000,6000,0,2000,2000,0.0603,0.1054,0.9406
1002,0.25,0.0610,FullEcology,5460,15000,6000,0,3000,6000,0.0380,0.0681,0.9406
1002,0.50,0.1250,Off,4455,10000,6000,0,2000,2000,0.0962,0.1697,0.9406
1002,0.50,0.1250,FullEcology,5460,15000,6000,0,3000,6000,0.0746,0.1348,0.9406
1002,1.00,0.2500,Off,4455,10000,6000,0,2000,2000,0.1693,0.3092,0.9406
1002,1.00,0.2500,FullEcology,5460,15000,6000,0,3000,6000,0.1467,0.2759,0.9406
1002,2.00,0.5000,Off,4455,10000,6000,0,2000,2000,0.3156,0.5981,0.9406
1002,2.00,0.5000,FullEcology,5460,15000,6000,0,3000,6000,0.2910,0.5629,0.9406
1003,0.00,0.0000,Off,5320,13000,3000,0,3000,7000,0.0439,0.0820,0.9703
1003,0.00,0.0000,FullEcology,4635,11000,4000,0,3000,4000,0.0301,0.0534,0.9604
1003,0.25,0.0610,Off,5320,13000,3000,0,3000,7000,0.0655,0.1155,0.9703
1003,0.25,0.0610,FullEcology,4635,11000,4000,0,3000,4000,0.0516,0.0905,0.9604
1003,0.50,0.1250,Off,5320,13000,3000,0,3000,7000,0.1005,0.1777,0.9703
1003,0.50,0.1250,FullEcology,4635,11000,4000,0,3000,4000,0.0888,0.1569,0.9604
1003,1.00,0.2500,Off,5320,13000,3000,0,3000,7000,0.1741,0.3159,0.9703
1003,1.00,0.2500,FullEcology,4635,11000,4000,0,3000,4000,0.1616,0.2980,0.9604
1003,2.00,0.5000,Off,5320,13000,3000,0,3000,7000,0.3213,0.6051,0.9703
1003,2.00,0.5000,FullEcology,4635,11000,4000,0,3000,4000,0.3072,0.5869,0.9604
1004,0.00,0.0000,Off,5310,12000,3000,0,2000,7000,0.0350,0.0615,0.9703
1004,0.00,0.0000,FullEcology,5415,15000,6000,2000,2000,5000,0.0278,0.0506,0.9406
1004,0.25,0.0610,Off,5310,12000,3000,0,2000,7000,0.0608,0.1059,0.9703
1004,0.25,0.0610,FullEcology,5415,15000,6000,2000,2000,5000,0.0570,0.1006,0.9406
1004,0.50,0.1250,Off,5310,12000,3000,0,2000,7000,0.0976,0.1726,0.9703
1004,0.50,0.1250,FullEcology,5415,15000,6000,2000,2000,5000,0.0936,0.1689,0.9406
1004,1.00,0.2500,Off,5310,12000,3000,0,2000,7000,0.1700,0.3126,0.9703
1004,1.00,0.2500,FullEcology,5415,15000,6000,2000,2000,5000,0.1651,0.3089,0.9406
1004,2.00,0.5000,Off,5310,12000,3000,0,2000,7000,0.3148,0.5994,0.9703
1004,2.00,0.5000,FullEcology,5415,15000,6000,2000,2000,5000,0.3083,0.5935,0.9406
1005,0.00,0.0000,Off,5270,13000,7000,0,3000,3000,0.0279,0.0533,0.9406
1005,0.00,0.0000,FullEcology,4680,15000,5000,2000,3000,5000,0.0306,0.0547,0.9505
1005,0.25,0.0610,Off,5270,13000,7000,0,3000,3000,0.0526,0.0931,0.9406
1005,0.25,0.0610,FullEcology,4680,15000,5000,2000,3000,5000,0.0531,0.0931,0.9505
1005,0.50,0.1250,Off,5270,13000,7000,0,3000,3000,0.0891,0.1596,0.9406
1005,0.50,0.1250,FullEcology,4680,15000,5000,2000,3000,5000,0.0894,0.1582,0.9505
1005,1.00,0.2500,Off,5270,13000,7000,0,3000,3000,0.1615,0.3001,0.9406
1005,1.00,0.2500,FullEcology,4680,15000,5000,2000,3000,5000,0.1608,0.2965,0.9505
1005,2.00,0.5000,Off,5270,13000,7000,0,3000,3000,0.3063,0.5873,0.9406
1005,2.00,0.5000,FullEcology,4680,15000,5000,2000,3000,5000,0.3037,0.5797,0.9505
1006,0.00,0.0000,Off,4935,11000,1000,0,5000,5000,0.0398,0.0700,0.9901
1006,0.00,0.0000,FullEcology,5375,16000,7000,0,1000,8000,0.0233,0.0434,0.9406
1006,0.25,0.0610,Off,4935,11000,1000,0,5000,5000,0.0575,0.1021,0.9901
1006,0.25,0.0610,FullEcology,5375,16000,7000,0,1000,8000,0.0524,0.0925,0.9406
1006,0.50,0.1250,Off,4935,11000,1000,0,5000,5000,0.0939,0.1639,0.9901
1006,0.50,0.1250,FullEcology,5375,16000,7000,0,1000,8000,0.0894,0.1619,0.9406
1006,1.00,0.2500,Off,4935,11000,1000,0,5000,5000,0.1656,0.3001,0.9901
1006,1.00,0.2500,FullEcology,5375,16000,7000,0,1000,8000,0.1618,0.3041,0.9406
1006,2.00,0.5000,Off,4935,11000,1000,0,5000,5000,0.3092,0.5831,0.9901
1006,2.00,0.5000,FullEcology,5375,16000,7000,0,1000,8000,0.3066,0.5922,0.9406
1007,0.00,0.0000,Off,5475,13000,2000,0,5000,6000,0.0353,0.0646,0.9802
1007,0.00,0.0000,FullEcology,6065,11000,3000,0,4000,4000,0.0229,0.0422,0.9703
1007,0.25,0.0610,Off,5475,13000,2000,0,5000,6000,0.0513,0.0932,0.9802
1007,0.25,0.0610,FullEcology,6065,11000,3000,0,4000,4000,0.0492,0.0868,0.9703
1007,0.50,0.1250,Off,5475,13000,2000,0,5000,6000,0.0875,0.1550,0.9802
1007,0.50,0.1250,FullEcology,6065,11000,3000,0,4000,4000,0.0863,0.1558,0.9703
1007,1.00,0.2500,Off,5475,13000,2000,0,5000,6000,0.1594,0.2920,0.9802
1007,1.00,0.2500,FullEcology,6065,11000,3000,0,4000,4000,0.1589,0.2982,0.9703
1007,2.00,0.5000,Off,5475,13000,2000,0,5000,6000,0.3033,0.5760,0.9802
1007,2.00,0.5000,FullEcology,6065,11000,3000,0,4000,4000,0.3041,0.5872,0.9703
1008,0.00,0.0000,Off,4715,15000,2000,1000,4000,8000,0.0304,0.0575,0.9802
1008,0.00,0.0000,FullEcology,5245,17000,8000,0,5000,4000,0.0248,0.0445,0.9208
1008,0.25,0.0610,Off,4715,15000,2000,1000,4000,8000,0.0535,0.0938,0.9802
1008,0.25,0.0610,FullEcology,5245,17000,8000,0,5000,4000,0.0538,0.0945,0.9208
1008,0.50,0.1250,Off,4715,15000,2000,1000,4000,8000,0.0886,0.1586,0.9802
1008,0.50,0.1250,FullEcology,5245,17000,8000,0,5000,4000,0.0904,0.1634,0.9208
1008,1.00,0.2500,Off,4715,15000,2000,1000,4000,8000,0.1606,0.2973,0.9802
1008,1.00,0.2500,FullEcology,5245,17000,8000,0,5000,4000,0.1622,0.3044,0.9208
1008,2.00,0.5000,Off,4715,15000,2000,1000,4000,8000,0.3045,0.5825,0.9802
1008,2.00,0.5000,FullEcology,5245,17000,8000,0,5000,4000,0.3057,0.5900,0.9208
1009,0.00,0.0000,Off,5405,15000,4000,0,2000,9000,0.0459,0.0804,0.9604
1009,0.00,0.0000,FullEcology,4560,15000,6000,1000,4000,4000,0.0260,0.0498,0.9505
1009,0.25,0.0610,Off,5405,15000,4000,0,2000,9000,0.0641,0.1116,0.9604
1009,0.25,0.0610,FullEcology,4560,15000,6000,1000,4000,4000,0.0538,0.0957,0.9505
1009,0.50,0.1250,Off,5405,15000,4000,0,2000,9000,0.0987,0.1722,0.9604
1009,0.50,0.1250,FullEcology,4560,15000,6000,1000,4000,4000,0.0904,0.1633,0.9505
1009,1.00,0.2500,Off,5405,15000,4000,0,2000,9000,0.1711,0.3079,0.9604
1009,1.00,0.2500,FullEcology,4560,15000,6000,1000,4000,4000,0.1622,0.3034,0.9505
1009,2.00,0.5000,Off,5405,15000,4000,0,2000,9000,0.3159,0.5923,0.9604
1009,2.00,0.5000,FullEcology,4560,15000,6000,1000,4000,4000,0.3057,0.5886,0.9505
1010,0.00,0.0000,Off,5290,13000,4000,1000,7000,1000,0.0320,0.0576,0.9604
1010,0.00,0.0000,FullEcology,5300,15000,4000,0,6000,5000,0.0285,0.0520,0.9604
1010,0.25,0.0610,Off,5290,13000,4000,1000,7000,1000,0.0517,0.0910,0.9604
1010,0.25,0.0610,FullEcology,5300,15000,4000,0,6000,5000,0.0527,0.0930,0.9604
1010,0.50,0.1250,Off,5290,13000,4000,1000,7000,1000,0.0891,0.1574,0.9604
1010,0.50,0.1250,FullEcology,5300,15000,4000,0,6000,5000,0.0900,0.1606,0.9604
1010,1.00,0.2500,Off,5290,13000,4000,1000,7000,1000,0.1634,0.3006,0.9604
1010,1.00,0.2500,FullEcology,5300,15000,4000,0,6000,5000,0.1631,0.3027,0.9604
1010,2.00,0.5000,Off,5290,13000,4000,1000,7000,1000,0.3119,0.5949,0.9604
1010,2.00,0.5000,FullEcology,5300,15000,4000,0,6000,5000,0.3093,0.5929,0.9604
1011,0.00,0.0000,Off,4635,18000,7000,1000,3000,7000,0.0379,0.0669,0.9307
1011,0.00,0.0000,FullEcology,5190,12000,4000,0,3000,5000,0.0245,0.0446,0.9802
1011,0.25,0.0610,Off,4635,18000,7000,1000,3000,7000,0.0599,0.1047,0.9307
1011,0.25,0.0610,FullEcology,5190,12000,4000,0,3000,5000,0.0433,0.0761,0.9802
1011,0.50,0.1250,Off,4635,18000,7000,1000,3000,7000,0.0958,0.1679,0.9307
1011,0.50,0.1250,FullEcology,5190,12000,4000,0,3000,5000,0.0799,0.1428,0.9802
1011,1.00,0.2500,Off,4635,18000,7000,1000,3000,7000,0.1669,0.3039,0.9307
1011,1.00,0.2500,FullEcology,5190,12000,4000,0,3000,5000,0.1523,0.2840,0.9802
1011,2.00,0.5000,Off,4635,18000,7000,1000,3000,7000,0.3090,0.5848,0.9307
1011,2.00,0.5000,FullEcology,5190,12000,4000,0,3000,5000,0.2969,0.5716,0.9802
1012,0.00,0.0000,Off,4985,13000,1000,0,3000,9000,0.0328,0.0588,0.9901
1012,0.00,0.0000,FullEcology,5130,16000,9000,1000,2000,4000,0.0220,0.0405,0.9208
1012,0.25,0.0610,Off,4985,13000,1000,0,3000,9000,0.0481,0.0856,0.9901
1012,0.25,0.0610,FullEcology,5130,16000,9000,1000,2000,4000,0.0495,0.0872,0.9208
1012,0.50,0.1250,Off,4985,13000,1000,0,3000,9000,0.0840,0.1485,0.9901
1012,0.50,0.1250,FullEcology,5130,16000,9000,1000,2000,4000,0.0863,0.1563,0.9208
1012,1.00,0.2500,Off,4985,13000,1000,0,3000,9000,0.1561,0.2868,0.9901
1012,1.00,0.2500,FullEcology,5130,16000,9000,1000,2000,4000,0.1585,0.2982,0.9208
1012,2.00,0.5000,Off,4985,13000,1000,0,3000,9000,0.3003,0.5722,0.9901
1012,2.00,0.5000,FullEcology,5130,16000,9000,1000,2000,4000,0.3029,0.5856,0.9208
1013,0.00,0.0000,Off,4895,16000,6000,3000,3000,4000,0.0331,0.0583,0.9505
1013,0.00,0.0000,FullEcology,5380,18000,8000,1000,5000,4000,0.0224,0.0404,0.9208
1013,0.25,0.0610,Off,4895,16000,6000,3000,3000,4000,0.0565,0.0990,0.9505
1013,0.25,0.0610,FullEcology,5380,18000,8000,1000,5000,4000,0.0492,0.0864,0.9208
1013,0.50,0.1250,Off,4895,16000,6000,3000,3000,4000,0.0933,0.1647,0.9505
1013,0.50,0.1250,FullEcology,5380,18000,8000,1000,5000,4000,0.0864,0.1562,0.9208
1013,1.00,0.2500,Off,4895,16000,6000,3000,3000,4000,0.1652,0.3036,0.9505
