seed,alpha,soft_penalty,hard_penalty,gini
2000,0.00,253455,626000,0.0439
2000,0.25,261570,650000,0.0293
2000,0.50,261950,621000,0.0252
2000,0.75,258630,677000,0.0127
2000,1.00,262575,699000,0.0086
2001,0.00,253700,598000,0.0419
2001,0.25,258775,633000,0.0345
2001,0.50,260820,693000,0.0196
2001,0.75,263770,680000,0.0124
2001,1.00,262715,706000,0.0084
2002,0.00,255970,628000,0.0434
2002,0.25,255170,655000,0.0288
2002,0.50,259025,647000,0.0208
2002,0.75,256080,709000,0.0120
2002,1.00,261590,711000,0.0087
2003,0.00,258800,625000,0.0460
2003,0.25,262485,614000,0.0284
2003,0.50,261890,650000,0.0196
2003,0.75,255895,681000,0.0147
2003,1.00,264935,732000,0.0081
2004,0.00,254310,623000,0.0403
2004,0.25,261355,626000,0.0308
2004,0.50,262230,636000,0.0170
2004,0.75,263015,691000,0.0156
2004,1.00,259870,725000,0.0100
2005,0.00,255605,617000,0.0481
2005,0.25,254415,624000,0.0298
2005,0.50,264170,625000,0.0213
2005,0.75,264480,701000,0.0127
2005,1.00,262495,712000,0.0093
2006,0.00,259275,624000,0.0371
2006,0.25,258555,649000,0.0258
2006,0.50,259505,646000,0.0225
2006,0.75,261955,677000,0.0121
2006,1.00,259655,703000,0.0076
2007,0.00,253825,641000,0.0409
2007,0.25,262280,627000,0.0281
2007,0.50,261485,648000,0.0197
2007,0.75,265055,667000,0.0112
2007,1.00,266165,745000,0.0099
2008,0.00,254940,623000,0.0365
2008,0.25,262815,631000,0.0304
2008,0.50,260240,654000,0.0190
2008,0.75,262930,665000,0.0120
2008,1.00,258570,733000,0.0087
2009,0.00,259600,618000,0.0386
2009,0.25,264895,629000,0.0273
2009,0.50,257090,664000,0.0215
2009,0.75,261355,689000,0.0119
2009,1.00,258945,704000,0.0091
