seed,score,hard_penalty,discovery_gen,time_to_peak,dormancy,near_extinction,counterfactual_removal,lineage_depth,sa_interventions,initial_score,final_score
2000,192920,520000,1,99,9,13,0,69,7,-9755.0,-86290.0
2001,182770,588000,701,99,9,24,0,77,10,-6960.0,-85585.0
2002,181220,520000,1,99,9,12,0,74,6,-13155.0,-86515.0
2003,178880,364000,1,97,9,18,0,66,8,-19185.0,9999999.0
2004,195780,416000,1,98,9,12,0,77,7,-9320.0,9999999.0
2005,180005,468000,1101,99,9,16,0,74,7,-14345.0,-87550.0
2006,187650,394000,1001,99,9,10,0,75,10,-11060.0,-89250.0
2007,180060,488000,3601,99,9,12,0,73,9,-7460.0,-88475.0
2008,197600,572000,1,89,9,19,0,68,9,-15590.0,-85200.0
2009,167440,572000,1,99,9,17,0,72,9,-23060.0,-85780.0
