seed,mode,soft_penalty,hard_penalty,gini,discovery,median_lifetime,p90_lifetime,max_lifetime,delayed_payoff_ratio,avg_time_to_peak,sa_conversion_rate,median_sa_gain,p95_sa_gain,imp_offspring,imp_sa,lineage_depth,archive_pulls,archive_success,pop_success
2000,Baseline,256850,1931000,0.0327,3036,1,13,26,0.0000,3.4,0.0000,0.0,0.0,3796,0,3796,0,0,0
2000,Archive,262135,2004000,0.0341,3280,1,13,99,0.0000,3.1,0.0000,0.0,0.0,3707,0,3707,1560,0,0
2000,SA,194455,938000,0.0412,2428,0,12,99,0.0000,2.7,0.0041,7055.0,19420.0,1545,718,2263,0,0,718
2000,ArchiveSA,195035,1058000,0.0400,2289,0,12,34,0.0000,3.1,0.0004,8775.0,21065.0,1579,641,2220,1560,641,0
2000,PureSA,270230,5575000,0.0231,83,9900,9900,9900,0.2289,74.7,1.0000,65.0,1045.0,0,228,0,0,0,0
2001,Baseline,261275,1896000,0.0343,3080,1,13,26,0.0000,3.4,0.0000,0.0,0.0,3774,0,3774,0,0,0
2001,Archive,263115,1906000,0.0324,3069,1,13,27,0.0000,3.4,0.0000,0.0,0.0,3767,0,3767,1560,0,0
2001,SA,190270,995000,0.0456,2408,0,12,99,0.0000,2.8,0.0029,6940.0,19820.0,1487,702,2189,0,0,702
2001,ArchiveSA,198980,1027000,0.0392,2250,0,13,33,0.0000,3.3,0.0022,8370.0,21080.0,1619,667,2286,1560,667,0
2001,PureSA,270600,5562000,0.0240,84,9900,9900,9900,0.2381,72.6,1.0000,60.0,1045.0,0,231,0,0,0,0
2002,Baseline,262475,2003000,0.0330,3257,1,13,99,0.0000,3.1,0.0000,0.0,0.0,3676,0,3676,0,0,0
2002,Archive,259820,1876000,0.0355,3073,1,13,28,0.0000,3.4,0.0000,0.0,0.0,3757,0,3757,1560,0,0
2002,SA,190525,1002000,0.0430,2470,0,12,99,0.0000,2.7,0.0024,7135.0,19325.0,1471,705,2176,0,0,705
