seed,arm,soft_penalty,hard_penalty,gini
2000,Off,253455,626000,0.0439
2000,FullEcology,262575,699000,0.0086
2001,Off,253700,598000,0.0419
2001,FullEcology,262715,706000,0.0084
2002,Off,255970,628000,0.0434
2002,FullEcology,261590,711000,0.0087
2003,Off,258800,625000,0.0460
2003,FullEcology,264935,732000,0.0081
2004,Off,254310,623000,0.0403
2004,FullEcology,259870,725000,0.0100
2005,Off,255605,617000,0.0481
2005,FullEcology,262495,712000,0.0093
2006,Off,259275,624000,0.0371
2006,FullEcology,259655,703000,0.0076
2007,Off,253825,641000,0.0409
2007,FullEcology,266165,745000,0.0099
2008,Off,254940,623000,0.0365
2008,FullEcology,258570,733000,0.0087
2009,Off,259600,618000,0.0386
2009,FullEcology,258945,704000,0.0091
