mode,seed,target,coverage,half_life,recovery,origin
T2,100,Z,0,27,999,None
T2,101,Z,1,36,999,None
T2,102,Z,1,99,999,None
T2,103,Z,1,54,999,None
T2,104,X,1,29,999,None
T2,105,X,1,29,999,None
T2,106,Z,1,65,999,None
T2,107,X,0,51,999,None
T2,108,Z,1,71,999,None
T2,109,Y,1,48,999,None
T2,110,X,0,156,999,None
T2,111,Y,0,57,253,Rediscovered
T2,112,Z,0,21,999,None
T2,113,X,2,45,999,None
T2,114,Z,0,75,999,None
T2,115,Y,1,52,999,None
T2,116,Z,1,67,999,None
T2,117,Z,1,64,999,None
T2,118,X,1,77,999,None
T2,119,Y,2,72,999,None
T2,120,X,0,70,999,None
T2,121,X,2,79,999,None
T2,122,Z,2,83,999,None
T2,123,X,2,84,999,None
T2,124,Y,0,49,999,None
T2,125,Y,2,30,999,None
T2,126,Z,2,45,999,None
T2,127,X,1,87,999,None
T2,128,Z,2,34,999,None
T2,129,Y,1,40,999,None
T2,130,X,2,100,999,None
T2,131,X,2,22,999,None
T2,132,Y,1,32,999,None
T2,133,Y,2,117,999,None
T2,134,Y,3,77,999,None
T2,135,Y,0,33,999,None
T2,136,X,1,46,999,None
T2,137,X,1,106,999,None
T2,138,Y,0,37,999,None
T2,139,Z,1,66,999,None
T2,140,Z,1,38,999,None
T2,141,X,1,56,999,None
T2,142,X,2,35,174,Rediscovered
T2,143,Y,2,71,999,None
T2,144,Z,0,73,999,None
T2,145,Z,3,34,999,None
T2,146,Z,1,32,999,None
T2,147,Y,1,56,999,None
T2,148,X,0,65,999,None
T2,149,Y,1,75,999,None
T2,150,Z,2,62,999,None
T2,151,Z,2,143,999,None
T2,152,X,2,85,999,None
T2,153,Y,2,45,999,None
T2,154,Z,1,66,999,None
T2,155,X,1,84,999,None
T2,156,X,1,126,999,None
T2,157,Y,1,60,999,None
T2,158,Z,0,34,999,None
T2,159,Y,1,32,999,None
T2,160,Y,2,49,999,None
T2,161,Y,1,68,999,None
T2,162,Y,1,27,999,None
T2,163,Z,3,78,999,None
T2,164,X,1,81,999,None
T2,165,Y,3,38,999,None
T2,166,Y,1,48,999,None
T2,167,Y,3,78,999,None
T2,168,Z,1,68,999,None
T2,169,Z,1,43,999,None
T2,170,Y,2,50,999,None
T2,171,Z,0,81,999,None
T2,172,X,2,70,999,None
T2,173,Y,1,39,999,None
T2,174,Z,2,90,999,None
T2,175,Z,1,74,999,None
T2,176,X,2,79,999,None
T2,177,Z,0,42,999,None
T2,178,Y,0,79,999,None
T2,179,Y,2,107,999,None
T2,180,Y,0,74,999,None
T2,181,Y,2,35,999,None
T2,182,Z,1,44,999,None
T2,183,X,2,43,999,None
T2,184,Z,0,44,999,None
T2,185,Y,0,82,999,None
T2,186,X,2,88,999,None
T2,187,Z,1,76,999,None
T2,188,Y,1,73,999,None
T2,189,Y,2,35,999,None
T2,190,Y,0,35,999,None
T2,191,Z,2,68,999,None
T2,192,Z,0,42,999,None
T2,193,Z,2,82,999,None
T2,194,Z,2,65,999,None
T2,195,X,0,45,999,None
T2,196,Y,2,31,999,None
T2,197,Z,2,98,999,None
T2,198,X,1,63,999,None
T2,199,Z,3,75,999,None
T4,100,Z,1,19,999,None
T4,101,Z,1,76,999,None
T4,102,Z,3,52,999,None
T4,103,Z,1,24,999,None
T4,104,X,3,25,999,None
T4,105,X,1,28,999,None
T4,106,Z,2,37,999,None
T4,107,X,1,47,999,None
T4,108,Z,1,69,999,None
T4,109,Y,1,136,999,None
T4,110,X,3,103,999,None
T4,111,Y,1,83,999,None
T4,112,Z,3,20,999,None
T4,113,X,1,35,999,None
T4,114,Z,1,16,999,None
T4,115,Y,0,105,999,None
T4,116,Z,0,13,999,None
T4,117,Z,3,81,999,None
T4,118,X,1,58,999,None
T4,119,Y,1,45,999,None
T4,120,X,1,25,999,None
T4,121,X,2,34,999,None
T4,122,Z,2,22,999,None
T4,123,X,1,50,999,None
T4,124,Y,1,46,999,None
T4,125,Y,2,52,187,Rediscovered
T4,126,Z,1,22,999,None
T4,127,X,1,54,999,None
T4,128,Z,1,81,999,None
T4,129,Y,1,36,999,None
T4,130,X,1,40,999,None
T4,131,X,2,45,999,None
T4,132,Y,2,40,999,None
T4,133,Y,1,31,999,None
T4,134,Y,0,29,999,None
T4,135,Y,1,28,999,None
T4,136,X,3,79,62,Rediscovered
T4,137,X,2,28,999,None
T4,138,Y,2,57,999,None
T4,139,Z,1,53,999,None
T4,140,Z,1,114,999,None
T4,141,X,0,26,999,None
T4,142,X,1,37,999,None
T4,143,Y,0,54,999,None
T4,144,Z,0,100,999,None
T4,145,Z,1,37,999,None
T4,146,Z,0,57,999,None
T4,147,Y,1,23,999,None
T4,148,X,0,85,999,None
T4,149,Y,1,108,999,None
T4,150,Z,1,81,999,None
T4,151,Z,1,81,999,None
T4,152,X,1,45,999,None
T4,153,Y,3,36,999,None
T4,154,Z,0,45,999,None
T4,155,X,2,13,999,None
T4,156,X,3,46,999,None
T4,157,Y,1,121,999,None
T4,158,Z,1,50,999,None
T4,159,Y,1,46,999,None
T4,160,Y,1,75,999,None
T4,161,Y,1,91,999,None
T4,162,Y,3,30,999,None
T4,163,Z,0,57,999,None
T4,164,X,1,58,999,None
T4,165,Y,1,28,999,None
T4,166,Y,1,35,999,None
T4,167,Y,3,139,999,None
T4,168,Z,1,47,999,None
T4,169,Z,1,98,999,None
T4,170,Y,0,76,999,None
T4,171,Z,2,45,999,None
T4,172,X,1,54,999,None
T4,173,Y,1,69,999,None
T4,174,Z,2,48,999,None
T4,175,Z,0,104,999,None
T4,176,X,2,104,999,None
T4,177,Z,1,36,999,None
T4,178,Y,2,90,999,None
T4,179,Y,2,60,999,None
T4,180,Y,2,31,999,None
T4,181,Y,2,63,999,None
T4,182,Z,2,64,999,None
T4,183,X,2,36,999,None
T4,184,Z,2,99,999,None
T4,185,Y,2,66,999,None
T4,186,X,1,73,999,None
T4,187,Z,2,58,999,None
T4,188,Y,1,40,999,None
T4,189,Y,1,30,999,None
T4,190,Y,1,57,999,None
T4,191,Z,1,43,999,None
T4,192,Z,1,67,999,None
T4,193,Z,0,41,999,None
T4,194,Z,1,60,999,None
T4,195,X,2,72,999,None
T4,196,Y,1,84,999,None
T4,197,Z,1,52,999,None
T4,198,X,0,51,999,None
T4,199,Z,2,50,999,None
T8,100,Z,1,40,999,None
T8,101,Z,2,49,999,None
T8,102,Z,2,39,999,None
T8,103,Z,1,8,999,None
T8,104,X,1,29,999,None
T8,105,X,0,52,999,None
T8,106,Z,2,70,999,None
T8,107,X,1,69,999,None
T8,108,Z,1,40,999,None
T8,109,Y,1,41,999,None
T8,110,X,2,90,999,None
T8,111,Y,3,105,999,None
T8,112,Z,1,44,999,None
T8,113,X,3,76,999,None
T8,114,Z,0,39,999,None
T8,115,Y,1,51,999,None
T8,116,Z,3,19,999,None
T8,117,Z,1,9,999,None
T8,118,X,2,39,999,None
T8,119,Y,1,21,999,None
T8,120,X,2,39,999,None
T8,121,X,1,47,999,None
T8,122,Z,3,48,999,None
T8,123,X,0,56,999,None
T8,124,Y,2,70,999,None
T8,125,Y,3,103,999,None
T8,126,Z,1,116,999,None
