mode,seed,target,recovery,vault_hit,vault_overlap,best_nv_fitness
GA,100,Z,999,false,0.0000,37.00
GA,101,Z,999,false,0.0000,37.00
GA,102,Z,999,false,0.0000,37.00
GA,103,Z,999,false,0.0000,37.00
GA,104,X,999,false,0.0000,37.00
GA,105,X,999,false,0.0000,37.00
GA,106,Z,999,false,0.0000,37.00
GA,107,X,999,false,0.0000,37.00
GA,108,Z,999,false,0.0000,37.00
GA,109,Y,999,false,0.0000,37.00
GA,110,X,999,false,0.0000,37.00
GA,111,Y,999,false,0.0000,37.00
GA,112,Z,999,false,0.0000,37.00
GA,113,X,999,false,0.0000,37.00
GA,114,Z,999,false,0.0000,37.00
GA,115,Y,999,false,0.0000,37.00
GA,116,Z,999,false,0.0000,37.00
GA,117,Z,999,false,0.0000,37.00
GA,118,X,999,false,0.0000,37.00
GA,119,Y,999,false,0.0000,37.00
GA,120,X,999,false,0.0000,37.00
GA,121,X,999,false,0.0000,37.00
GA,122,Z,999,false,0.0000,37.00
GA,123,X,999,false,0.0000,37.00
GA,124,Y,999,false,0.0000,37.00
GA,125,Y,999,false,0.0000,37.00
GA,126,Z,999,false,0.0000,37.00
GA,127,X,999,false,0.0000,37.00
GA,128,Z,999,false,0.0000,37.00
GA,129,Y,999,false,0.0000,37.00
GA,130,X,999,false,0.0000,37.00
GA,131,X,999,false,0.0000,37.00
GA,132,Y,999,false,0.0000,37.00
GA,133,Y,999,false,0.0000,37.00
GA,134,Y,999,false,0.0000,37.00
GA,135,Y,999,false,0.0000,37.00
GA,136,X,999,false,0.0000,37.00
GA,137,X,999,false,0.0000,37.00
GA,138,Y,999,false,0.0000,37.00
GA,139,Z,999,false,0.0000,37.00
GA,140,Z,999,false,0.0000,37.00
GA,141,X,175,false,0.0000,37.00
GA,142,X,999,false,0.0000,37.00
GA,143,Y,999,false,0.0000,37.00
GA,144,Z,999,false,0.0000,37.00
GA,145,Z,999,false,0.0000,37.00
GA,146,Z,999,false,0.0000,37.00
GA,147,Y,999,false,0.0000,37.00
GA,148,X,999,false,0.0000,37.00
GA,149,Y,999,false,0.0000,37.00
RandomVault+GA,100,Z,999,false,0.0000,-9999.00
RandomVault+GA,101,Z,999,false,0.0000,-9999.00
RandomVault+GA,102,Z,999,false,0.0000,-9999.00
RandomVault+GA,103,Z,999,false,0.0000,-9999.00
RandomVault+GA,104,X,999,false,0.0000,-9999.00
RandomVault+GA,105,X,999,false,0.0000,-9999.00
RandomVault+GA,106,Z,999,false,0.0000,-9999.00
RandomVault+GA,107,X,999,false,0.0000,-9999.00
RandomVault+GA,108,Z,999,false,0.0000,-9999.00
RandomVault+GA,109,Y,999,false,0.0000,-9999.00
RandomVault+GA,110,X,999,false,0.0000,-9999.00
RandomVault+GA,111,Y,999,false,0.0000,-9999.00
RandomVault+GA,112,Z,999,false,0.0000,-9999.00
