env,mode,seed,carriers_gen0,carriers_gen500,preserved_at_501,rediscovered_at_501,recovery_time
StaticNull,GA,100,0,0,0,0,9999
StaticNull,GA,101,0,0,0,0,9999
StaticNull,GA,102,0,0,0,0,9999
StaticNull,GA,103,0,0,0,0,9999
StaticNull,GA,104,0,0,0,0,9999
StaticNull,GA,105,0,0,0,0,9999
StaticNull,GA,106,0,0,0,0,9999
StaticNull,GA,107,0,0,0,0,9999
StaticNull,GA,108,0,0,0,0,9999
StaticNull,GA,109,0,0,0,0,9999
StaticNull,GA,110,0,0,0,0,9999
StaticNull,GA,111,0,0,0,0,9999
StaticNull,GA,112,0,0,0,0,9999
StaticNull,GA,113,0,0,0,0,9999
StaticNull,GA,114,0,0,0,0,9999
StaticNull,GA,115,0,0,0,0,9999
StaticNull,GA,116,0,0,0,0,9999
StaticNull,GA,117,0,0,0,0,9999
StaticNull,GA,118,0,0,0,0,9999
StaticNull,GA,119,0,0,0,0,9999
StaticNull,PureSA,100,0,0,0,0,9999
StaticNull,PureSA,101,0,0,0,0,9999
StaticNull,PureSA,102,0,0,0,0,9999
StaticNull,PureSA,103,0,0,0,0,9999
StaticNull,PureSA,104,0,0,0,0,9999
StaticNull,PureSA,105,0,0,0,0,9999
StaticNull,PureSA,106,0,0,0,0,9999
StaticNull,PureSA,107,0,0,0,0,9999
StaticNull,PureSA,108,0,0,0,0,9999
StaticNull,PureSA,109,0,0,0,0,9999
StaticNull,PureSA,110,0,0,0,0,9999
StaticNull,PureSA,111,0,0,0,0,9999
StaticNull,PureSA,112,0,0,0,0,9999
StaticNull,PureSA,113,0,0,0,0,9999
StaticNull,PureSA,114,0,0,0,0,9999
StaticNull,PureSA,115,0,0,0,0,9999
StaticNull,PureSA,116,0,0,0,0,9999
StaticNull,PureSA,117,0,0,0,0,9999
StaticNull,PureSA,118,0,0,0,0,9999
StaticNull,PureSA,119,0,0,0,0,9999
StaticNull,GA+SA,100,0,0,0,0,9999
StaticNull,GA+SA,101,0,0,0,0,9999
StaticNull,GA+SA,102,0,0,0,0,9999
StaticNull,GA+SA,103,0,0,0,0,9999
StaticNull,GA+SA,104,0,0,0,0,9999
StaticNull,GA+SA,105,0,0,0,0,9999
StaticNull,GA+SA,106,0,0,0,0,9999
StaticNull,GA+SA,107,0,0,0,0,9999
StaticNull,GA+SA,108,0,0,0,0,9999
StaticNull,GA+SA,109,0,0,0,0,9999
StaticNull,GA+SA,110,0,0,0,0,9999
StaticNull,GA+SA,111,0,0,0,0,9999
StaticNull,GA+SA,112,0,0,0,0,9999
StaticNull,GA+SA,113,0,0,0,0,9999
StaticNull,GA+SA,114,0,0,0,0,9999
StaticNull,GA+SA,115,0,0,0,0,9999
StaticNull,GA+SA,116,0,0,0,0,9999
StaticNull,GA+SA,117,0,0,0,0,9999
StaticNull,GA+SA,118,0,0,0,0,9999
StaticNull,GA+SA,119,0,0,0,0,9999
DelayedPayoff,GA,100,0,0,0,0,9999
DelayedPayoff,GA,101,0,0,0,0,9999
DelayedPayoff,GA,102,0,0,0,0,9999
DelayedPayoff,GA,103,0,0,0,0,9999
DelayedPayoff,GA,104,0,0,0,0,9999
DelayedPayoff,GA,105,0,0,0,0,9999
DelayedPayoff,GA,106,0,0,0,0,9999
DelayedPayoff,GA,107,0,0,0,0,9999
DelayedPayoff,GA,108,0,0,0,0,9999
DelayedPayoff,GA,109,0,0,0,0,9999
DelayedPayoff,GA,110,0,0,0,0,9999
DelayedPayoff,GA,111,0,0,0,0,9999
DelayedPayoff,GA,112,0,0,0,0,9999
DelayedPayoff,GA,113,0,0,0,0,9999
DelayedPayoff,GA,114,0,0,0,0,9999
DelayedPayoff,GA,115,0,0,0,0,9999
DelayedPayoff,GA,116,0,0,0,0,9999
DelayedPayoff,GA,117,0,0,0,0,9999
DelayedPayoff,GA,118,0,0,0,0,9999
DelayedPayoff,GA,119,0,0,0,0,9999
DelayedPayoff,PureSA,100,0,0,0,0,9999
DelayedPayoff,PureSA,101,0,0,0,0,9999
DelayedPayoff,PureSA,102,0,0,0,0,9999
DelayedPayoff,PureSA,103,0,0,0,0,36
DelayedPayoff,PureSA,104,0,0,0,0,9999
DelayedPayoff,PureSA,105,0,0,0,0,9999
DelayedPayoff,PureSA,106,0,0,0,0,9999
DelayedPayoff,PureSA,107,0,0,0,0,450
DelayedPayoff,PureSA,108,0,0,0,0,9999
DelayedPayoff,PureSA,109,0,0,0,0,9999
