env,penalty,mode,seed,gen,pct_carriers,pct_lineages
StaticNull,200,GA,100,0,0.00,0.00
StaticNull,200,GA,100,50,0.00,0.00
StaticNull,200,GA,100,100,0.00,0.00
StaticNull,200,GA,100,150,0.00,0.00
StaticNull,200,GA,100,200,0.00,0.00
StaticNull,200,GA,100,250,0.00,0.00
StaticNull,200,GA,100,300,0.00,0.00
StaticNull,200,GA,100,350,0.00,0.00
StaticNull,200,GA,100,400,0.00,0.00
StaticNull,200,GA,100,450,0.00,0.00
StaticNull,200,GA,100,500,0.00,0.00
StaticNull,200,GA,100,550,0.00,0.00
StaticNull,200,GA,100,600,0.00,0.00
StaticNull,200,GA,100,650,0.00,0.00
StaticNull,200,GA,100,700,0.00,0.00
StaticNull,200,GA,100,750,0.00,0.00
StaticNull,200,GA,100,800,0.00,0.00
StaticNull,200,GA,100,850,0.00,0.00
StaticNull,200,GA,100,900,0.00,0.00
StaticNull,200,GA,100,950,0.00,0.00
StaticNull,200,GA,100,1000,0.00,0.00
StaticNull,200,GA,101,0,0.00,0.00
StaticNull,200,GA,101,50,0.00,0.00
StaticNull,200,GA,101,100,0.00,0.00
StaticNull,200,GA,101,150,0.00,0.00
StaticNull,200,GA,101,200,0.00,0.00
StaticNull,200,GA,101,250,0.00,0.00
StaticNull,200,GA,101,300,0.00,0.00
StaticNull,200,GA,101,350,0.00,0.00
StaticNull,200,GA,101,400,0.00,0.00
StaticNull,200,GA,101,450,0.00,0.00
StaticNull,200,GA,101,500,0.00,0.00
StaticNull,200,GA,101,550,0.00,0.00
StaticNull,200,GA,101,600,0.00,0.00
StaticNull,200,GA,101,650,0.00,0.00
StaticNull,200,GA,101,700,0.00,0.00
StaticNull,200,GA,101,750,0.00,0.00
StaticNull,200,GA,101,800,0.00,0.00
StaticNull,200,GA,101,850,0.00,0.00
StaticNull,200,GA,101,900,0.00,0.00
StaticNull,200,GA,101,950,0.00,0.00
StaticNull,200,GA,101,1000,0.00,0.00
StaticNull,200,GA,102,0,0.00,0.00
StaticNull,200,GA,102,50,0.00,0.00
StaticNull,200,GA,102,100,0.00,0.00
StaticNull,200,GA,102,150,0.00,0.00
StaticNull,200,GA,102,200,0.00,0.00
StaticNull,200,GA,102,250,0.00,0.00
StaticNull,200,GA,102,300,0.00,0.00
StaticNull,200,GA,102,350,0.00,0.00
StaticNull,200,GA,102,400,0.00,0.00
StaticNull,200,GA,102,450,0.00,0.00
StaticNull,200,GA,102,500,0.00,0.00
StaticNull,200,GA,102,550,0.00,0.00
StaticNull,200,GA,102,600,0.00,0.00
StaticNull,200,GA,102,650,0.00,0.00
StaticNull,200,GA,102,700,0.00,0.00
StaticNull,200,GA,102,750,0.00,0.00
StaticNull,200,GA,102,800,0.00,0.00
StaticNull,200,GA,102,850,0.00,0.00
StaticNull,200,GA,102,900,0.00,0.00
StaticNull,200,GA,102,950,0.00,0.00
StaticNull,200,GA,102,1000,0.00,0.00
StaticNull,200,GA,103,0,0.00,0.00
StaticNull,200,GA,103,50,0.00,0.00
StaticNull,200,GA,103,100,0.00,0.00
StaticNull,200,GA,103,150,0.00,0.00
StaticNull,200,GA,103,200,0.00,0.00
StaticNull,200,GA,103,250,0.00,0.00
StaticNull,200,GA,103,300,0.00,0.00
StaticNull,200,GA,103,350,0.00,0.00
StaticNull,200,GA,103,400,0.00,0.00
StaticNull,200,GA,103,450,0.00,0.00
StaticNull,200,GA,103,500,0.00,0.00
StaticNull,200,GA,103,550,0.00,0.00
StaticNull,200,GA,103,600,0.00,0.00
StaticNull,200,GA,103,650,0.00,0.00
StaticNull,200,GA,103,700,0.00,0.00
StaticNull,200,GA,103,750,0.00,0.00
StaticNull,200,GA,103,800,0.00,0.00
StaticNull,200,GA,103,850,0.00,0.00
StaticNull,200,GA,103,900,0.00,0.00
StaticNull,200,GA,103,950,0.00,0.00
StaticNull,200,GA,103,1000,0.00,0.00
StaticNull,200,GA,104,0,0.00,0.00
StaticNull,200,GA,104,50,0.00,0.00
StaticNull,200,GA,104,100,0.00,0.00
StaticNull,200,GA,104,150,0.00,0.00
StaticNull,200,GA,104,200,0.00,0.00
StaticNull,200,GA,104,250,0.00,0.00
StaticNull,200,GA,104,300,0.00,0.00
StaticNull,200,GA,104,350,0.00,0.00
StaticNull,200,GA,104,400,0.00,0.00
StaticNull,200,GA,104,450,0.00,0.00
StaticNull,200,GA,104,500,0.00,0.00
StaticNull,200,GA,104,550,0.00,0.00
StaticNull,200,GA,104,600,0.00,0.00
StaticNull,200,GA,104,650,0.00,0.00
StaticNull,200,GA,104,700,0.00,0.00
StaticNull,200,GA,104,750,0.00,0.00
StaticNull,200,GA,104,800,0.00,0.00
StaticNull,200,GA,104,850,0.00,0.00
StaticNull,200,GA,104,900,0.00,0.00
StaticNull,200,GA,104,950,0.00,0.00
StaticNull,200,GA,104,1000,0.00,0.00
StaticNull,200,GA,105,0,0.00,0.00
StaticNull,200,GA,105,50,0.00,0.00
StaticNull,200,GA,105,100,0.00,0.00
StaticNull,200,GA,105,150,0.00,0.00
StaticNull,200,GA,105,200,0.00,0.00
StaticNull,200,GA,105,250,0.00,0.00
StaticNull,200,GA,105,300,0.00,0.00
StaticNull,200,GA,105,350,0.00,0.00
StaticNull,200,GA,105,400,0.00,0.00
StaticNull,200,GA,105,450,0.00,0.00
StaticNull,200,GA,105,500,0.00,0.00
StaticNull,200,GA,105,550,0.00,0.00
StaticNull,200,GA,105,600,0.00,0.00
StaticNull,200,GA,105,650,0.00,0.00
StaticNull,200,GA,105,700,0.00,0.00
StaticNull,200,GA,105,750,0.00,0.00
StaticNull,200,GA,105,800,0.00,0.00
StaticNull,200,GA,105,850,0.00,0.00
StaticNull,200,GA,105,900,0.00,0.00
StaticNull,200,GA,105,950,0.00,0.00
StaticNull,200,GA,105,1000,0.00,0.00
