env,penalty,mode,seed,carriers_gen0,carriers_gen500,preserved_at_501,rediscovered_at_501,recovery_time,champion_root_rank
StaticNull,200,GA,100,0,0,0,0,9999,58
StaticNull,200,GA,101,0,0,0,0,9999,22
StaticNull,200,GA,102,0,0,0,0,9999,2
StaticNull,200,GA,103,0,0,0,0,9999,7
StaticNull,200,GA,104,0,0,0,0,9999,5
StaticNull,200,GA,105,0,0,0,0,9999,4
StaticNull,200,GA,106,0,0,0,0,9999,1
StaticNull,200,GA,107,0,0,0,0,9999,1
StaticNull,200,GA,108,0,0,0,0,9999,2
StaticNull,200,GA,109,0,0,0,0,9999,15
StaticNull,200,GA,110,0,0,0,0,9999,55
StaticNull,200,GA,111,0,0,0,0,9999,11
StaticNull,200,GA,112,0,0,0,0,9999,32
StaticNull,200,GA,113,0,0,0,0,9999,1
StaticNull,200,GA,114,0,0,0,0,9999,8
StaticNull,200,GA,115,0,0,0,0,9999,6
StaticNull,200,GA,116,0,0,0,0,9999,10
StaticNull,200,GA,117,0,0,0,0,9999,16
StaticNull,200,GA,118,0,0,0,0,9999,1
StaticNull,200,GA,119,0,0,0,0,9999,18
StaticNull,200,PureSA,100,0,0,0,0,9999,81
StaticNull,200,PureSA,101,0,0,0,0,9999,37
StaticNull,200,PureSA,102,0,0,0,0,9999,6
StaticNull,200,PureSA,103,0,0,0,0,9999,20
StaticNull,200,PureSA,104,0,0,0,0,9999,55
StaticNull,200,PureSA,105,0,0,0,0,9999,20
StaticNull,200,PureSA,106,0,0,0,0,9999,78
StaticNull,200,PureSA,107,0,0,0,0,9999,24
StaticNull,200,PureSA,108,0,0,0,0,9999,72
StaticNull,200,PureSA,109,0,0,0,0,9999,21
StaticNull,200,PureSA,110,0,0,0,0,9999,4
StaticNull,200,PureSA,111,0,0,0,0,9999,85
StaticNull,200,PureSA,112,0,0,0,0,9999,82
StaticNull,200,PureSA,113,0,0,0,0,9999,96
StaticNull,200,PureSA,114,0,0,0,0,9999,55
StaticNull,200,PureSA,115,0,0,0,0,9999,34
StaticNull,200,PureSA,116,0,0,0,0,9999,39
StaticNull,200,PureSA,117,0,0,0,0,9999,65
StaticNull,200,PureSA,118,0,0,0,0,9999,14
