env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,GA,100,0,0.00,0.00,3.00,56.00
StaticNull,200,GA,100,50,0.00,0.00,0.00,31.00
StaticNull,200,GA,100,100,0.00,0.00,0.00,38.00
StaticNull,200,GA,100,150,0.00,0.00,0.00,23.00
StaticNull,200,GA,100,200,0.00,0.00,0.00,41.00
StaticNull,200,GA,100,250,0.00,0.00,0.00,8.00
StaticNull,200,GA,100,300,0.00,0.00,0.00,27.00
StaticNull,200,GA,100,350,0.00,0.00,0.00,38.00
StaticNull,200,GA,100,400,0.00,0.00,0.00,21.00
StaticNull,200,GA,100,450,0.00,0.00,0.00,27.00
StaticNull,200,GA,100,500,0.00,0.00,0.00,33.00
StaticNull,200,GA,100,550,0.00,0.00,0.00,29.00
StaticNull,200,GA,100,600,0.00,0.00,0.00,37.00
StaticNull,200,GA,100,650,0.00,0.00,0.00,40.00
StaticNull,200,GA,100,700,0.00,0.00,0.00,33.00
StaticNull,200,GA,100,750,0.00,0.00,0.00,24.00
StaticNull,200,GA,100,800,0.00,0.00,0.00,18.00
StaticNull,200,GA,100,850,0.00,0.00,0.00,33.00
StaticNull,200,GA,100,900,0.00,0.00,0.00,38.00
StaticNull,200,GA,100,950,0.00,0.00,0.00,25.00
StaticNull,200,GA,100,1000,0.00,0.00,0.00,40.00
StaticNull,200,GA,101,0,0.00,0.00,0.00,54.00
StaticNull,200,GA,101,50,0.00,0.00,8.00,100.00
StaticNull,200,GA,101,100,0.00,0.00,4.00,100.00
StaticNull,200,GA,101,150,0.00,0.00,4.00,96.00
StaticNull,200,GA,101,200,0.00,0.00,5.00,100.00
StaticNull,200,GA,101,250,0.00,0.00,21.00,99.00
StaticNull,200,GA,101,300,0.00,0.00,3.00,95.00
StaticNull,200,GA,101,350,0.00,0.00,7.00,98.00
StaticNull,200,GA,101,400,0.00,0.00,12.00,97.00
StaticNull,200,GA,101,450,0.00,0.00,11.00,95.00
StaticNull,200,GA,101,500,0.00,0.00,12.00,100.00
StaticNull,200,GA,101,550,0.00,0.00,7.00,99.00
StaticNull,200,GA,101,600,0.00,0.00,6.00,98.00
StaticNull,200,GA,101,650,0.00,0.00,9.00,94.00
StaticNull,200,GA,101,700,0.00,0.00,7.00,97.00
StaticNull,200,GA,101,750,0.00,0.00,16.00,99.00
StaticNull,200,GA,101,800,0.00,0.00,14.00,97.00
StaticNull,200,GA,101,850,0.00,0.00,6.00,97.00
StaticNull,200,GA,101,900,0.00,0.00,6.00,97.00
StaticNull,200,GA,101,950,0.00,0.00,26.00,98.00
StaticNull,200,GA,101,1000,0.00,0.00,14.00,97.00
StaticNull,200,GA,102,0,0.00,0.00,1.00,46.00
StaticNull,200,GA,102,50,0.00,0.00,3.00,67.00
StaticNull,200,GA,102,100,0.00,0.00,2.00,70.00
StaticNull,200,GA,102,150,0.00,0.00,2.00,72.00
StaticNull,200,GA,102,200,0.00,0.00,1.00,57.00
StaticNull,200,GA,102,250,0.00,0.00,1.00,67.00
StaticNull,200,GA,102,300,0.00,0.00,3.00,68.00
StaticNull,200,GA,102,350,0.00,0.00,3.00,60.00
StaticNull,200,GA,102,400,0.00,0.00,3.00,48.00
StaticNull,200,GA,102,450,0.00,0.00,2.00,69.00
StaticNull,200,GA,102,500,0.00,0.00,2.00,66.00
StaticNull,200,GA,102,550,0.00,0.00,8.00,85.00
StaticNull,200,GA,102,600,0.00,0.00,3.00,61.00
StaticNull,200,GA,102,650,0.00,0.00,4.00,74.00
StaticNull,200,GA,102,700,0.00,0.00,1.00,53.00
StaticNull,200,GA,102,750,0.00,0.00,2.00,49.00
StaticNull,200,GA,102,800,0.00,0.00,2.00,68.00
StaticNull,200,GA,102,850,0.00,0.00,2.00,70.00
StaticNull,200,GA,102,900,0.00,0.00,3.00,62.00
StaticNull,200,GA,102,950,0.00,0.00,2.00,73.00
StaticNull,200,GA,102,1000,0.00,0.00,7.00,83.00
StaticNull,200,GA,103,0,0.00,0.00,1.00,45.00
StaticNull,200,GA,103,50,0.00,0.00,1.00,72.00
StaticNull,200,GA,103,100,0.00,0.00,0.00,70.00
StaticNull,200,GA,103,150,0.00,0.00,0.00,49.00
StaticNull,200,GA,103,200,0.00,0.00,1.00,52.00
StaticNull,200,GA,103,250,0.00,0.00,0.00,54.00
StaticNull,200,GA,103,300,0.00,0.00,0.00,44.00
StaticNull,200,GA,103,350,0.00,0.00,0.00,43.00
StaticNull,200,GA,103,400,0.00,0.00,0.00,51.00
StaticNull,200,GA,103,450,0.00,0.00,0.00,74.00
StaticNull,200,GA,103,500,0.00,0.00,0.00,52.00
StaticNull,200,GA,103,550,0.00,0.00,0.00,48.00
StaticNull,200,GA,103,600,0.00,0.00,0.00,36.00
StaticNull,200,GA,103,650,0.00,0.00,0.00,35.00
StaticNull,200,GA,103,700,0.00,0.00,0.00,56.00
StaticNull,200,GA,103,750,0.00,0.00,1.00,43.00
StaticNull,200,GA,103,800,0.00,0.00,1.00,71.00
StaticNull,200,GA,103,850,0.00,0.00,0.00,66.00
StaticNull,200,GA,103,900,0.00,0.00,0.00,74.00
StaticNull,200,GA,103,950,0.00,0.00,0.00,53.00
StaticNull,200,GA,103,1000,0.00,0.00,0.00,56.00
StaticNull,200,GA,104,0,0.00,0.00,0.00,50.00
StaticNull,200,GA,104,50,0.00,0.00,3.00,62.00
StaticNull,200,GA,104,100,0.00,0.00,0.00,62.00
StaticNull,200,GA,104,150,0.00,0.00,0.00,46.00
StaticNull,200,GA,104,200,0.00,0.00,0.00,52.00
StaticNull,200,GA,104,250,0.00,0.00,0.00,63.00
StaticNull,200,GA,104,300,0.00,0.00,2.00,72.00
StaticNull,200,GA,104,350,0.00,0.00,2.00,81.00
StaticNull,200,GA,104,400,0.00,0.00,0.00,75.00
StaticNull,200,GA,104,450,0.00,0.00,0.00,57.00
StaticNull,200,GA,104,500,0.00,0.00,3.00,77.00
StaticNull,200,GA,104,550,0.00,0.00,4.00,75.00
StaticNull,200,GA,104,600,0.00,0.00,1.00,54.00
StaticNull,200,GA,104,650,0.00,0.00,0.00,49.00
