env,penalty,mode,seed,carriers_gen0,preserved_at_501,recovered_at_501,rediscovered_at_501,avg_dist_carrier_lineages,avg_dist_noncarrier_lineages,recovery_time,champion_root_rank
StaticNull,200,GA,100,0,0,0,0,0.00,11.18,9999,58
StaticNull,200,GA,101,0,0,0,0,0.00,7.11,9999,22
StaticNull,200,GA,102,0,0,0,0,0.00,9.38,9999,2
StaticNull,200,GA,103,0,0,0,0,0.00,10.50,9999,7
StaticNull,200,GA,104,0,0,0,0,0.00,9.15,9999,5
StaticNull,200,GA,105,0,0,0,0,0.00,10.38,9999,4
StaticNull,200,GA,106,0,0,0,0,0.00,7.68,9999,1
StaticNull,200,GA,107,0,0,0,0,0.00,8.99,9999,1
StaticNull,200,GA,108,0,0,0,0,0.00,9.20,9999,2
StaticNull,200,GA,109,0,0,0,0,0.00,11.92,9999,15
StaticNull,200,GA,110,0,0,0,0,0.00,8.61,9999,55
StaticNull,200,GA,111,0,0,0,0,0.00,9.71,9999,11
StaticNull,200,GA,112,0,0,0,0,0.00,9.09,9999,32
StaticNull,200,GA,113,0,0,0,0,0.00,9.04,9999,1
StaticNull,200,GA,114,0,0,0,0,0.00,10.55,9999,8
StaticNull,200,GA,115,0,0,0,0,0.00,12.07,9999,6
StaticNull,200,GA,116,0,0,0,0,0.00,11.16,9999,10
StaticNull,200,GA,117,0,0,0,0,0.00,8.48,9999,16
StaticNull,200,GA,118,0,0,0,0,0.00,11.81,9999,1
StaticNull,200,GA,119,0,0,0,0,0.00,10.23,9999,18
StaticNull,200,PureSA,100,0,0,0,0,0.00,10.62,9999,81
StaticNull,200,PureSA,101,0,0,0,0,0.00,10.48,9999,37
StaticNull,200,PureSA,102,0,0,0,0,0.00,10.42,9999,6
StaticNull,200,PureSA,103,0,0,0,0,0.00,10.15,9999,20
StaticNull,200,PureSA,104,0,0,0,0,0.00,10.54,9999,55
StaticNull,200,PureSA,105,0,0,0,0,0.00,10.12,9999,20
StaticNull,200,PureSA,106,0,0,0,0,0.00,10.54,9999,78
StaticNull,200,PureSA,107,0,0,0,0,0.00,10.56,9999,24
