env,penalty,mode,seed,target,opt_x,opt_y,opt_z,preserved,recovered,rediscovered,dist_carrier,dist_noncarrier
StaticNull,200,GA,100,Z,0,0,0,0,0,0,0.00,12.44
StaticNull,200,GA,101,Z,0,0,0,0,0,0,0.00,10.05
StaticNull,200,GA,102,Z,0,0,0,0,0,0,0.00,11.77
StaticNull,200,GA,103,Z,0,0,0,0,0,0,0.00,9.87
StaticNull,200,GA,104,X,0,0,0,0,0,0,0.00,11.06
StaticNull,200,GA,105,X,0,0,0,0,0,0,0.00,10.73
StaticNull,200,GA,106,Z,0,0,0,0,0,0,0.00,11.53
StaticNull,200,GA,107,X,0,0,0,0,0,0,0.00,8.92
StaticNull,200,GA,108,Z,0,0,0,0,0,0,0.00,10.65
StaticNull,200,GA,109,Y,0,0,0,0,0,0,0.00,9.98
StaticNull,200,GA,110,X,0,0,0,0,0,0,0.00,11.89
StaticNull,200,GA,111,Y,0,0,0,0,0,0,0.00,10.05
StaticNull,200,GA,112,Z,0,0,0,0,0,0,0.00,11.64
StaticNull,200,GA,113,X,0,0,0,0,0,0,0.00,11.74
StaticNull,200,GA,114,Z,1,0,0,0,0,0,0.00,10.81
StaticNull,200,GA,115,Y,0,0,0,0,0,0,0.00,9.92
StaticNull,200,GA,116,Z,0,0,0,0,0,0,0.00,11.05
StaticNull,200,GA,117,Z,0,0,0,0,0,0,0.00,11.61
StaticNull,200,GA,118,X,0,0,0,0,0,0,0.00,11.38
StaticNull,200,GA,119,Y,0,0,0,0,0,0,0.00,7.87
StaticNull,200,PureSA,100,Z,0,0,0,0,0,0,0.00,10.90
StaticNull,200,PureSA,101,Z,0,0,0,0,0,0,0.00,10.65
StaticNull,200,PureSA,102,Z,0,0,0,0,0,0,0.00,10.72
StaticNull,200,PureSA,103,Z,0,0,0,0,0,0,0.00,9.88
StaticNull,200,PureSA,104,X,0,0,0,0,0,0,0.00,10.56
StaticNull,200,PureSA,105,X,0,0,0,0,0,0,0.00,10.59
StaticNull,200,PureSA,106,Z,0,0,0,0,0,0,0.00,9.94
StaticNull,200,PureSA,107,X,0,0,0,0,0,0,0.00,10.46
StaticNull,200,PureSA,108,Z,0,0,0,0,0,0,0.00,10.40
StaticNull,200,PureSA,109,Y,0,0,0,0,0,0,0.00,10.39
StaticNull,200,PureSA,110,X,0,0,0,0,0,0,0.00,10.95
StaticNull,200,PureSA,111,Y,0,0,0,0,0,0,0.00,10.70
StaticNull,200,PureSA,112,Z,0,0,0,0,0,0,0.00,10.16
StaticNull,200,PureSA,113,X,0,0,0,0,0,0,0.00,10.58
StaticNull,200,PureSA,114,Z,0,0,0,0,0,0,0.00,10.33
StaticNull,200,PureSA,115,Y,0,0,0,0,0,0,0.00,10.67
StaticNull,200,PureSA,116,Z,0,0,0,0,0,0,0.00,10.55
StaticNull,200,PureSA,117,Z,0,0,0,0,0,0,0.00,10.59
StaticNull,200,PureSA,118,X,0,0,0,0,0,0,0.00,10.33
StaticNull,200,PureSA,119,Y,0,0,0,0,0,0,0.00,10.04
StaticNull,200,GA+SA,100,Z,0,0,0,0,0,0,0.00,12.77
StaticNull,200,GA+SA,101,Z,0,0,0,0,0,0,0.00,10.07
StaticNull,200,GA+SA,102,Z,0,0,0,0,0,0,0.00,10.57
StaticNull,200,GA+SA,103,Z,0,0,0,0,0,0,0.00,9.33
StaticNull,200,GA+SA,104,X,0,0,0,0,0,0,0.00,11.10
StaticNull,200,GA+SA,105,X,0,0,0,0,0,0,0.00,9.43
StaticNull,200,GA+SA,106,Z,0,0,0,0,0,0,0.00,10.43
StaticNull,200,GA+SA,107,X,0,0,0,0,0,0,0.00,10.53
StaticNull,200,GA+SA,108,Z,0,0,0,0,0,0,0.00,9.21
StaticNull,200,GA+SA,109,Y,0,0,0,0,0,0,0.00,10.96
