env,penalty,mode,seed,target,coverage,entropy,reachability,recovery,shock
DelayedPayoff,500,SA,100,Z,1,0.0000,6,999,0.2000
DelayedPayoff,500,SA,101,Z,1,0.0000,6,999,0.0000
DelayedPayoff,500,SA,102,Z,3,1.3788,4,999,0.0000
DelayedPayoff,500,SA,103,Z,0,0.0000,6,999,0.0000
DelayedPayoff,500,SA,104,X,2,1.0000,5,999,0.0000
DelayedPayoff,500,SA,105,X,2,0.9183,5,999,0.0000
DelayedPayoff,500,SA,106,Z,3,1.5219,5,999,0.0000
DelayedPayoff,500,SA,107,X,2,0.9183,6,999,0.0000
DelayedPayoff,500,SA,108,Z,3,1.3516,4,999,0.0206
DelayedPayoff,500,SA,109,Y,1,0.0000,5,999,0.0000
DelayedPayoff,500,SA,110,X,1,0.0000,6,999,0.0000
DelayedPayoff,500,SA,111,Y,2,0.8113,5,999,0.0000
DelayedPayoff,500,SA,112,Z,3,1.4591,5,999,0.0000
DelayedPayoff,500,SA,113,X,3,1.5000,5,999,0.0000
DelayedPayoff,500,SA,114,Z,2,0.7219,6,999,0.0000
DelayedPayoff,500,SA,115,Y,2,0.9710,6,999,0.0000
DelayedPayoff,500,SA,116,Z,3,1.5219,4,999,0.0000
DelayedPayoff,500,SA,117,Z,2,0.9710,5,999,0.0000
DelayedPayoff,500,SA,118,X,1,0.0000,6,999,0.0000
DelayedPayoff,500,SA,119,Y,1,0.0000,4,999,0.0000
DelayedPayoff,500,GA-M,100,Z,1,0.0000,8,999,0.2000
DelayedPayoff,500,GA-M,101,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-M,102,Z,2,1.0000,5,999,0.6000
DelayedPayoff,500,GA-M,103,Z,1,0.0000,6,999,0.0000
DelayedPayoff,500,GA-M,104,X,1,0.0000,5,999,0.0000
DelayedPayoff,500,GA-M,105,X,2,1.0000,7,999,0.4000
DelayedPayoff,500,GA-M,106,Z,2,1.0000,5,999,0.2000
DelayedPayoff,500,GA-M,107,X,1,0.0000,7,999,0.0000
DelayedPayoff,500,GA-M,108,Z,1,0.0000,8,999,0.2000
DelayedPayoff,500,GA-M,109,Y,0,0.0000,7,999,-0.2000
DelayedPayoff,500,GA-M,110,X,1,0.0000,5,999,0.0000
DelayedPayoff,500,GA-M,111,Y,1,0.0000,9,999,0.6340
DelayedPayoff,500,GA-M,112,Z,1,0.0000,6,999,-0.4000
DelayedPayoff,500,GA-M,113,X,0,0.0000,6,999,-0.6000
DelayedPayoff,500,GA-M,114,Z,0,0.0000,6,999,0.0000
DelayedPayoff,500,GA-M,115,Y,0,0.0000,9,999,0.0000
DelayedPayoff,500,GA-M,116,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-M,117,Z,1,0.0000,7,999,0.0000
DelayedPayoff,500,GA-M,118,X,0,0.0000,8,999,0.0000
DelayedPayoff,500,GA-M,119,Y,2,1.0000,5,999,0.0000
DelayedPayoff,500,GA-ME,100,Z,0,0.0000,10,999,0.0000
DelayedPayoff,500,GA-ME,101,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-ME,102,Z,1,0.0000,5,999,0.0000
DelayedPayoff,500,GA-ME,103,Z,0,0.0000,6,999,-0.0830
DelayedPayoff,500,GA-ME,104,X,0,0.0000,8,999,0.0000
DelayedPayoff,500,GA-ME,105,X,2,1.0000,5,999,-0.0830
DelayedPayoff,500,GA-ME,106,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-ME,107,X,1,0.0000,4,999,0.2000
DelayedPayoff,500,GA-ME,108,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-ME,109,Y,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-ME,110,X,0,0.0000,6,999,0.0000
DelayedPayoff,500,GA-ME,111,Y,0,0.0000,7,999,0.4000
DelayedPayoff,500,GA-ME,112,Z,0,0.0000,7,999,0.0000
