penalty,mode,seed,target,coverage,entropy,reachability,recovery,half_life
500,T2,100,Z,2,1.0000,3,999,4
500,T2,101,Z,1,0.0000,7,999,7
500,T2,102,Z,3,1.5850,5,999,3
500,T2,103,Z,0,0.0000,6,999,2
500,T2,104,X,0,0.0000,6,999,2
500,T2,105,X,1,0.0000,6,999,7
500,T2,106,Z,0,0.0000,7,999,33
500,T2,107,X,1,0.0000,5,999,9
500,T2,108,Z,0,0.0000,10,999,2
500,T2,109,Y,2,1.0000,5,999,1
500,T2,110,X,0,0.0000,6,999,3
500,T2,111,Y,1,0.0000,5,999,1
500,T2,112,Z,1,0.0000,5,999,8
500,T2,113,X,2,1.0000,2,999,18
500,T2,114,Z,1,0.0000,7,999,3
500,T2,115,Y,1,0.0000,7,999,3
500,T2,116,Z,1,0.0000,8,999,0
500,T2,117,Z,1,0.0000,8,999,9
500,T2,118,X,2,1.0000,4,999,31
500,T2,119,Y,1,0.0000,5,999,5
500,T4,100,Z,2,1.0000,5,999,1
500,T4,101,Z,2,1.0000,4,999,2
500,T4,102,Z,2,1.0000,7,999,1
500,T4,103,Z,2,1.0000,5,999,7
500,T4,104,X,0,0.0000,7,999,5
500,T4,105,X,2,1.0000,5,999,6
500,T4,106,Z,1,0.0000,5,999,3
500,T4,107,X,0,0.0000,9,999,7
500,T4,108,Z,2,1.0000,3,999,2
500,T4,109,Y,0,0.0000,6,999,8
500,T4,110,X,0,0.0000,6,999,4
500,T4,111,Y,1,0.0000,7,999,5
500,T4,112,Z,2,1.0000,6,999,2
500,T4,113,X,1,0.0000,6,999,1
500,T4,114,Z,1,0.0000,6,999,4
500,T4,115,Y,1,0.0000,6,999,1
500,T4,116,Z,3,1.5850,5,999,0
500,T4,117,Z,1,0.0000,6,999,2
500,T4,118,X,1,0.0000,5,999,1
500,T4,119,Y,0,0.0000,7,999,7
500,T8,100,Z,2,1.0000,6,999,2
500,T8,101,Z,2,1.0000,5,999,3
500,T8,102,Z,0,0.0000,7,999,1
500,T8,103,Z,0,0.0000,7,999,5
500,T8,104,X,1,0.0000,8,999,2
500,T8,105,X,1,0.0000,6,999,3
500,T8,106,Z,2,1.0000,5,999,1
500,T8,107,X,2,1.0000,6,999,4
500,T8,108,Z,1,0.0000,7,999,3
500,T8,109,Y,2,1.0000,8,999,5
500,T8,110,X,1,0.0000,5,999,2
500,T8,111,Y,2,1.0000,5,999,7
500,T8,112,Z,0,0.0000,6,999,2
500,T8,113,X,3,1.5850,4,999,8
500,T8,114,Z,2,1.0000,5,999,3
500,T8,115,Y,2,1.0000,7,999,3
500,T8,116,Z,1,0.0000,6,999,0
500,T8,117,Z,1,0.0000,7,999,33
500,T8,118,X,2,1.0000,5,999,2
500,T8,119,Y,1,0.0000,7,999,2
500,T16,100,Z,3,1.5850,4,999,3
500,T16,101,Z,2,1.0000,4,999,4
500,T16,102,Z,2,1.0000,4,999,3
500,T16,103,Z,1,0.0000,5,999,1
500,T16,104,X,2,1.0000,7,999,1
500,T16,105,X,0,0.0000,7,999,5
500,T16,106,Z,2,1.0000,5,999,3
500,T16,107,X,2,1.0000,5,999,7
500,T16,108,Z,2,1.0000,4,999,2
500,T16,109,Y,2,1.0000,5,999,4
500,T16,110,X,2,1.0000,6,999,5
500,T16,111,Y,1,0.0000,6,999,3
500,T16,112,Z,2,1.0000,7,999,3
500,T16,113,X,1,0.0000,6,999,3
500,T16,114,Z,2,1.0000,4,999,4
500,T16,115,Y,1,0.0000,4,999,2
500,T16,116,Z,2,1.0000,4,999,0
500,T16,117,Z,1,0.0000,7,999,1
500,T16,118,X,3,1.5850,5,999,2
500,T16,119,Y,2,1.0000,5,999,1
500,T32,100,Z,1,0.0000,9,999,2
500,T32,101,Z,1,0.0000,6,999,2
500,T32,102,Z,3,1.5850,2,999,1
500,T32,103,Z,2,1.0000,5,277,1
500,T32,104,X,0,0.0000,7,999,1
500,T32,105,X,1,0.0000,5,999,1
500,T32,106,Z,0,0.0000,6,999,1
500,T32,107,X,0,0.0000,6,999,3
500,T32,108,Z,3,1.5850,5,999,2
500,T32,109,Y,0,0.0000,6,999,2
500,T32,110,X,1,0.0000,6,999,1
500,T32,111,Y,0,0.0000,6,999,3
500,T32,112,Z,2,1.0000,3,999,3
500,T32,113,X,3,1.5850,5,999,3
500,T32,114,Z,0,0.0000,6,999,4
500,T32,115,Y,2,1.0000,5,999,1
500,T32,116,Z,3,1.5850,4,999,0
500,T32,117,Z,1,0.0000,6,999,1
500,T32,118,X,2,1.0000,5,999,1
500,T32,119,Y,0,0.0000,6,999,3
