env,mode,seed,survival_rate_500,recovery_time,champ_lineage_has_x
StaticNull,GA,100,0,9999,false
StaticNull,GA,101,0,9999,false
StaticNull,GA,102,0,9999,false
StaticNull,GA,103,0,9999,false
StaticNull,GA,104,0,9999,false
StaticNull,GA,105,0,9999,false
StaticNull,GA,106,0,9999,false
StaticNull,GA,107,0,9999,false
StaticNull,GA,108,0,9999,false
StaticNull,GA,109,0,9999,false
StaticNull,GA,110,0,9999,false
StaticNull,GA,111,0,9999,false
StaticNull,GA,112,0,9999,false
StaticNull,GA,113,0,9999,false
StaticNull,GA,114,0,9999,false
StaticNull,GA,115,0,9999,false
StaticNull,GA,116,0,9999,false
StaticNull,GA,117,0,9999,false
StaticNull,GA,118,0,9999,false
StaticNull,GA,119,0,9999,false
StaticNull,PureSA,100,0,9999,false
StaticNull,PureSA,101,0,9999,false
StaticNull,PureSA,102,0,9999,false
StaticNull,PureSA,103,0,9999,false
StaticNull,PureSA,104,0,9999,false
StaticNull,PureSA,105,0,9999,false
StaticNull,PureSA,106,0,9999,false
StaticNull,PureSA,107,0,9999,false
StaticNull,PureSA,108,0,9999,false
StaticNull,PureSA,109,0,9999,false
StaticNull,PureSA,110,0,9999,false
StaticNull,PureSA,111,0,9999,false
StaticNull,PureSA,112,0,9999,false
StaticNull,PureSA,113,0,9999,false
StaticNull,PureSA,114,0,9999,false
