generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
0,1,9000,14000,57000,22000,4675,0,true,false
0,1,15000,17000,47000,32000,4235,0,false,false
0,7290,10000,11000,41000,26000,4710,0,true,false
0,5105,17000,14000,36000,23000,4895,-15,true,false
0,2635,11000,8000,44000,29000,5365,-2030,true,false
0,3330,6000,11000,50000,25000,4670,0,true,false
0,725,9000,9000,47000,29000,5275,-724,false,false
0,7290,10000,11000,41000,26000,4710,-1045,true,false
0,1,8000,16000,55000,26000,4955,0,false,false
0,820,10000,7000,55000,22000,5180,-819,false,false
0,16620,9000,6000,40000,23000,5380,0,true,false
0,725,9000,9000,47000,29000,5275,1010,true,false
0,5780,11000,16000,39000,23000,5220,975,true,false
0,7290,10000,11000,41000,26000,4710,-2015,true,false
0,725,9000,9000,47000,29000,5275,0,true,false
0,1,9000,9000,56000,32000,4540,0,false,false
0,1,6000,11000,60000,31000,5285,0,false,false
0,630,7000,11000,50000,26000,5370,1080,true,false
0,2805,5000,11000,48000,29000,4195,0,true,false
0,1,14000,11000,44000,27000,4770,154,true,false
0,1,3000,15000,63000,38000,4745,0,false,false
0,1,7000,11000,56000,31000,4975,0,false,false
0,1,7000,14000,58000,22000,5320,0,false,false
0,12095,11000,9000,40000,23000,4905,-1995,true,false
0,1,7000,13000,65000,28000,5250,0,false,false
0,1810,13000,10000,42000,28000,5190,-970,true,false
0,7290,10000,11000,41000,26000,4710,0,true,false
0,1,9000,12000,56000,25000,5320,0,false,false
0,16620,9000,6000,40000,23000,5380,-2030,true,false
0,1,5000,15000,70000,32000,4785,0,false,false
0,16280,14000,8000,33000,24000,4720,-895,true,false
0,1,10000,16000,52000,35000,4650,0,false,false
0,1,9000,9000,56000,32000,4540,0,false,false
0,1,7000,14000,56000,32000,5270,0,false,false
0,1,15000,20000,48000,34000,5360,0,false,false
0,1230,13000,12000,39000,30000,4770,-1085,true,false
0,1,9000,12000,47000,36000,5115,0,false,false
0,1,15000,20000,48000,34000,5360,0,false,false
0,16620,9000,6000,40000,23000,5380,-975,true,false
0,40,7000,11000,45000,32000,4960,0,true,false
0,1585,10000,11000,42000,31000,4415,-1584,false,false
0,1,9000,14000,51000,31000,4745,0,false,false
0,3330,6000,11000,50000,25000,4670,-945,true,false
0,2635,11000,8000,44000,29000,5365,0,true,false
0,1,10000,15000,57000,31000,4955,0,false,false
0,12600,11000,13000,32000,26000,5400,1000,true,false
0,1,7000,14000,56000,32000,5270,0,false,false
0,630,7000,11000,50000,26000,5370,-629,false,false
0,2635,11000,8000,44000,29000,5365,0,true,false
0,16280,14000,8000,33000,24000,4720,-1835,true,false
0,1230,13000,12000,39000,30000,4770,-1229,false,false
0,1,10000,12000,50000,27000,5085,0,false,false
0,1,9000,14000,57000,22000,4675,0,false,false
0,12095,11000,9000,40000,23000,4905,0,true,false
0,1,8000,11000,57000,32000,5295,0,false,false
0,1,3000,15000,63000,38000,4745,0,false,false
0,16620,9000,6000,40000,23000,5380,0,true,false
0,2635,11000,8000,44000,29000,5365,105,true,false
0,2805,5000,11000,48000,29000,4195,15,true,false
0,1,7000,11000,56000,31000,4975,0,false,false
0,725,9000,9000,47000,29000,5275,-55,true,false
0,820,10000,7000,55000,22000,5180,-819,false,false
0,1,8000,14000,55000,29000,5025,0,false,false
0,2565,6000,11000,48000,28000,4435,-5,true,false
0,5850,8000,9000,36000,36000,5150,-2130,true,false
0,1,12000,13000,57000,30000,4715,0,false,false
0,1,8000,12000,58000,35000,5120,0,false,false
0,1,14000,14000,49000,29000,5040,0,false,false
0,1,3000,15000,63000,38000,4745,0,false,false
0,1,18000,21000,49000,27000,4625,0,false,false
0,1,10000,13000,46000,27000,5455,0,false,false
0,1,12000,14000,48000,28000,4655,0,false,false
0,16620,9000,6000,40000,23000,5380,-970,true,false
0,1,6000,18000,57000,31000,5405,0,false,false
0,820,10000,7000,55000,22000,5180,0,true,false
0,725,9000,9000,47000,29000,5275,-724,false,false
0,820,10000,7000,55000,22000,5180,1000,true,false
0,630,7000,11000,50000,26000,5370,-629,false,false
0,1230,13000,12000,39000,30000,4770,1025,true,false
0,3170,8000,15000,47000,21000,5830,0,true,false
0,3330,6000,11000,50000,25000,4670,0,true,false
0,1,8000,16000,55000,30000,5090,0,false,false
0,1,9000,12000,47000,36000,5115,0,false,false
0,1,11000,19000,52000,25000,5075,0,false,false
0,1,8000,16000,55000,26000,4955,0,false,false
0,1,8000,13000,50000,32000,5005,0,false,false
0,1,9000,14000,57000,22000,4675,0,false,false
0,7290,10000,11000,41000,26000,4710,0,true,false
0,40,7000,11000,45000,32000,4960,25,true,false
0,1810,13000,10000,42000,28000,5190,0,true,false
0,1,7000,15000,64000,28000,5210,0,false,false
0,1,12000,15000,47000,30000,4300,0,false,false
0,5850,8000,9000,36000,36000,5150,995,true,false
0,1,14000,11000,44000,27000,4770,94,true,false
0,2635,11000,8000,44000,29000,5365,-2634,false,false
1,14590,9000,6000,41000,24000,5410,0,true,false
1,15385,14000,8000,33000,25000,4615,0,true,false
1,12095,11000,9000,40000,23000,4905,-1045,true,false
1,7290,10000,11000,41000,26000,4710,0,true,false
1,2805,5000,11000,48000,29000,4195,2000,false,false
1,12095,11000,9000,40000,23000,4905,0,true,false
1,2740,11000,8000,43000,30000,5260,-30,false,false
1,3330,6000,11000,50000,25000,4670,2000,false,false
1,16620,9000,6000,40000,23000,5380,0,true,false
1,1,8000,13000,50000,32000,5005,0,false,false
1,16280,14000,8000,33000,24000,4720,0,true,false
1,16620,9000,6000,40000,23000,5380,0,true,false
1,7290,10000,11000,41000,26000,4710,-2045,false,false
1,840,13000,10000,43000,28000,5160,0,false,false
1,12095,11000,9000,40000,23000,4905,-970,true,false
1,7290,10000,11000,41000,26000,4710,-20,true,false
1,2255,12000,12000,39000,30000,4745,0,false,false
1,12095,11000,9000,40000,23000,4905,-4000,true,false
1,2805,5000,11000,48000,29000,4195,-140,false,false
1,14590,9000,6000,41000,24000,5410,985,true,false
1,12095,11000,9000,40000,23000,4905,915,true,false
1,6245,10000,12000,41000,26000,4755,-1000,false,false
1,6245,10000,12000,41000,26000,4755,0,false,false
1,2805,5000,11000,48000,29000,4195,0,false,false
1,145,13000,12000,40000,30000,4855,0,false,false
1,1820,10000,7000,54000,22000,5180,-1819,false,false
1,1810,13000,10000,42000,28000,5190,0,false,false
1,3170,8000,15000,47000,21000,5830,-105,false,false
1,6845,7000,9000,36000,36000,5155,0,true,false
1,2385,6000,11000,51000,25000,4615,1000,false,false
1,3170,8000,15000,47000,21000,5830,-1930,false,false
1,16620,9000,6000,40000,23000,5380,2030,true,true
1,15645,9000,6000,40000,24000,5355,-1020,true,false
1,13600,11000,13000,31000,26000,5400,-1985,true,false
1,840,13000,10000,43000,28000,5160,-839,false,false
1,16620,9000,6000,40000,23000,5380,0,true,false
1,820,10000,7000,55000,22000,5180,-819,false,false
1,15385,14000,8000,33000,25000,4615,0,true,false
1,1,7000,15000,59000,22000,5335,0,false,false
1,16280,14000,8000,33000,24000,4720,0,true,false
1,2740,11000,8000,43000,30000,5260,0,false,false
1,6245,10000,12000,41000,26000,4755,-850,false,false
1,15645,9000,6000,40000,24000,5355,-1085,true,false
1,14590,9000,6000,41000,24000,5410,0,true,false
1,820,10000,7000,55000,22000,5180,15,false,false
1,12095,11000,9000,40000,23000,4905,0,true,false
1,16620,9000,6000,40000,23000,5380,1000,true,false
1,14445,14000,8000,35000,24000,4555,1000,true,false
1,16280,14000,8000,33000,24000,4720,-2000,true,false
1,14445,14000,8000,35000,24000,4555,-135,true,false
1,14590,9000,6000,41000,24000,5410,0,true,false
1,15645,9000,6000,40000,24000,5355,-2030,true,false
1,1,7000,12000,50000,27000,5360,0,false,false
1,2255,12000,12000,39000,30000,4745,0,false,false
1,12600,11000,13000,32000,26000,5400,-2045,true,false
1,7290,10000,11000,41000,26000,4710,-1030,false,false
1,605,11000,8000,45000,30000,5395,-50,false,false
1,15385,14000,8000,33000,25000,4615,0,true,false
1,6245,10000,12000,41000,26000,4755,0,false,false
1,725,9000,9000,47000,29000,5275,0,false,false
1,10100,11000,9000,41000,24000,4900,0,true,false
1,1,7000,15000,59000,22000,5335,0,false,false
1,2255,12000,12000,39000,30000,4745,0,false,false
1,15645,9000,6000,40000,24000,5355,0,true,false
1,6245,10000,12000,41000,26000,4755,0,false,false
1,13600,11000,13000,31000,26000,5400,0,true,false
1,1820,10000,7000,54000,22000,5180,-1000,false,false
1,7290,10000,11000,41000,26000,4710,0,true,false
1,1,14000,14000,49000,29000,5010,0,false,false
1,155,14000,11000,43000,27000,4845,-154,false,false
1,3720,8000,9000,36000,38000,5280,-35,false,false
1,1820,10000,7000,54000,22000,5180,1050,false,false
1,6755,9000,16000,39000,24000,5245,0,false,false
1,1,3000,15000,63000,38000,4745,0,false,false
1,1,8000,12000,59000,35000,5090,0,false,false
1,16620,9000,6000,40000,23000,5380,-935,true,false
1,155,14000,11000,43000,27000,4845,30,false,false
1,16620,9000,6000,40000,23000,5380,-880,true,false
1,1,9000,9000,48000,29000,5140,849,false,false
1,670,9000,9000,47000,29000,5330,-669,false,false
1,2820,5000,11000,48000,29000,4180,0,false,false
1,12600,11000,13000,32000,26000,5400,1130,true,false
1,3330,6000,11000,50000,25000,4670,-1985,false,false
1,15650,9000,6000,41000,23000,5350,-60,true,false
1,16620,9000,6000,40000,23000,5380,-1005,true,false
1,3330,6000,11000,50000,25000,4670,0,false,false
1,16620,9000,6000,40000,23000,5380,-5,true,false
1,15645,9000,6000,40000,24000,5355,-970,true,false
1,12095,11000,9000,40000,23000,4905,-2105,true,false
1,2255,12000,12000,39000,30000,4745,-45,false,false
1,6755,9000,16000,39000,24000,5245,60,true,false
1,2385,6000,11000,51000,25000,4615,0,false,false
1,7290,10000,11000,41000,26000,4710,0,true,false
1,1,7000,15000,59000,22000,5335,0,false,false
1,1,3000,15000,63000,38000,4745,0,false,false
2,13615,9000,6000,41000,25000,5385,0,false,false
