seed,alpha,week,generation,best_score,mean_score,score_variance,mean_assignment_variance,mean_gini,mean_pairwise_hamming_distance,mean_coverage_ratio,best_coverage_ratio,mutation_attempts,ecology_branch_entries,ecology_branch_changed_bit,branch_rate,effective_ecology_rate
12346,0.00,0,0,4725,5027.45,64336.75,1.1871,0.3831,87.6321,0.3951,0.4945,0,0,0,0.0000,0.0000
12346,0.00,0,1,4725,4973.45,52712.35,1.1175,0.3462,91.4026,0.4343,0.4945,90,0,0,0.0000,0.0000
12346,0.00,0,2,4730,4888.40,30400.94,1.0864,0.3238,88.2923,0.4610,0.5055,98,0,0,0.0000,0.0000
12346,0.00,0,3,4490,4819.05,24785.85,0.9902,0.2996,70.5210,0.4865,0.5275,90,0,0,0.0000,0.0000
12346,0.00,0,4,4465,4751.25,20978.69,0.9166,0.2825,27.6822,0.5125,0.5385,93,0,0,0.0000,0.0000
12346,0.00,0,5,4820,4707.65,23864.23,0.9075,0.2733,9.1242,0.5321,0.5495,114,0,0,0.0000,0.0000
12346,0.00,0,6,4800,4662.25,21911.69,0.9037,0.2659,11.7154,0.5405,0.5604,97,0,0,0.0000,0.0000
12346,0.00,0,7,4735,4674.95,20835.75,0.9213,0.2608,13.8356,0.5553,0.5714,99,0,0,0.0000,0.0000
12346,0.00,0,8,4735,4704.35,19448.33,0.8851,0.2525,12.6812,0.5633,0.5714,82,0,0,0.0000,0.0000
12346,0.00,0,9,4740,4698.95,20332.15,0.9069,0.2502,12.4859,0.5736,0.6044,103,0,0,0.0000,0.0000
12346,0.00,0,10,4730,4707.45,22885.25,0.9093,0.2458,12.5491,0.5854,0.6044,96,0,0,0.0000,0.0000
12346,0.00,0,11,4615,4701.60,18035.94,0.9359,0.2440,11.6206,0.5974,0.6154,89,0,0,0.0000,0.0000
12346,0.00,0,12,5125,4718.60,21718.54,0.9646,0.2417,11.6465,0.6067,0.6264,96,0,0,0.0000,0.0000
12346,0.00,0,13,5170,4752.35,28602.23,1.0087,0.2446,11.8531,0.6149,0.6374,73,0,0,0.0000,0.0000
12346,0.00,0,14,5045,4848.95,34198.15,1.0911,0.2483,13.4499,0.6227,0.6374,100,0,0,0.0000,0.0000
12346,0.00,0,15,5090,4905.05,44808.75,1.2129,0.2544,14.8586,0.6346,0.6593,95,0,0,0.0000,0.0000
12346,0.00,0,16,4830,4962.90,36486.59,1.3208,0.2598,15.4778,0.6454,0.6593,86,0,0,0.0000,0.0000
12346,0.00,0,17,5130,5007.30,32542.21,1.4067,0.2612,16.3846,0.6587,0.6923,112,0,0,0.0000,0.0000
12346,0.00,0,18,4920,5008.05,25308.95,1.4118,0.2576,18.1792,0.6701,0.6813,106,0,0,0.0000,0.0000
12346,0.00,0,19,4870,5001.20,21082.06,1.4403,0.2553,19.2511,0.6793,0.6923,95,0,0,0.0000,0.0000
12346,0.00,0,20,5190,5007.40,18623.24,1.4441,0.2528,19.8083,0.6843,0.7253,91,0,0,0.0000,0.0000
12346,0.00,0,21,4735,5027.15,18943.13,1.4930,0.2541,20.2832,0.6905,0.7033,114,0,0,0.0000,0.0000
12346,0.00,0,22,5010,5050.85,20143.03,1.5453,0.2551,21.0232,0.7012,0.7143,90,0,0,0.0000,0.0000
12346,0.00,0,23,4580,5062.60,20536.24,1.5692,0.2540,22.5451,0.7168,0.7363,87,0,0,0.0000,0.0000
12346,0.00,0,24,4980,5031.55,25712.35,1.5550,0.2512,24.6168,0.7238,0.7253,89,0,0,0.0000,0.0000
12346,0.00,0,25,4980,4998.15,39090.33,1.5983,0.2533,24.3186,0.7263,0.7253,93,0,0,0.0000,0.0000
12346,0.00,0,26,5115,4993.15,42828.33,1.6585,0.2547,22.5889,0.7310,0.7363,93,0,0,0.0000,0.0000
12346,0.00,0,27,5165,5020.40,21270.34,1.7283,0.2592,16.7800,0.7329,0.7473,112,0,0,0.0000,0.0000
12346,0.00,0,28,5180,4990.25,19591.69,1.7713,0.2589,15.1570,0.7386,0.7582,90,0,0,0.0000,0.0000
12346,0.00,0,29,5180,4999.15,20842.53,1.8027,0.2574,16.0865,0.7477,0.7582,103,0,0,0.0000,0.0000
12346,0.00,0,30,4895,5008.40,25576.94,1.7976,0.2543,14.6533,0.7519,0.7692,103,0,0,0.0000,0.0000
12346,0.00,0,31,5165,5054.50,21951.25,1.7875,0.2538,14.6291,0.7555,0.7692,108,0,0,0.0000,0.0000
12346,0.00,0,32,4850,5059.95,15379.75,1.7591,0.2509,19.4271,0.7615,0.7802,97,0,0,0.0000,0.0000
12346,0.00,0,33,4805,5051.70,19008.61,1.6672,0.2425,24.1844,0.7696,0.7912,86,0,0,0.0000,0.0000
12346,0.00,0,34,4805,4996.50,21924.25,1.5708,0.2336,29.1646,0.7757,0.7912,129,0,0,0.0000,0.0000
12346,0.00,0,35,5045,4989.95,23188.25,1.4978,0.2286,27.6214,0.7845,0.8132,90,0,0,0.0000,0.0000
12346,0.00,0,36,5045,4963.25,31307.69,1.5178,0.2295,27.5756,0.7899,0.8132,103,0,0,0.0000,0.0000
12346,0.00,0,37,5105,4958.30,28688.11,1.5021,0.2276,26.1861,0.7973,0.8242,111,0,0,0.0000,0.0000
12346,0.00,0,38,4985,4960.80,27178.36,1.4623,0.2242,19.0935,0.8082,0.8242,84,0,0,0.0000,0.0000
12346,0.00,0,39,5060,4979.45,28412.95,1.4412,0.2215,14.5079,0.8171,0.8352,106,0,0,0.0000,0.0000
12346,0.00,0,40,4960,5003.15,27586.33,1.4440,0.2206,12.1772,0.8220,0.8462,96,0,0,0.0000,0.0000
12346,0.00,0,41,4960,5003.65,26203.43,1.4558,0.2191,10.9422,0.8287,0.8462,104,0,0,0.0000,0.0000
12346,0.00,0,42,4960,5015.05,16511.25,1.4741,0.2179,10.5760,0.8353,0.8462,89,0,0,0.0000,0.0000
12346,0.00,0,43,5030,4967.15,14203.13,1.4830,0.2172,9.4160,0.8401,0.8571,101,0,0,0.0000,0.0000
12346,0.00,0,44,5020,4968.55,8861.15,1.4898,0.2151,6.4846,0.8480,0.8681,111,0,0,0.0000,0.0000
12346,0.00,0,45,4895,4974.65,7959.63,1.4838,0.2135,6.5307,0.8533,0.8681,99,0,0,0.0000,0.0000
12346,0.00,0,46,4895,4972.90,9060.09,1.4890,0.2115,6.7814,0.8592,0.8681,103,0,0,0.0000,0.0000
12346,0.00,0,47,5040,4972.35,6685.23,1.4588,0.2076,7.5202,0.8638,0.8791,89,0,0,0.0000,0.0000
12346,0.00,0,48,5040,4970.50,9435.25,1.4429,0.2046,8.4885,0.8684,0.8791,94,0,0,0.0000,0.0000
12346,0.00,0,49,4930,4995.40,12544.34,1.4831,0.2070,8.0893,0.8735,0.8791,110,0,0,0.0000,0.0000
12346,0.00,0,50,5275,5034.35,13082.33,1.4664,0.2058,6.4669,0.8796,0.8901,81,0,0,0.0000,0.0000
12346,0.00,0,51,5275,5033.85,12384.43,1.4786,0.2051,5.7372,0.8835,0.8901,95,0,0,0.0000,0.0000
12346,0.00,0,52,5240,5036.45,16709.15,1.4905,0.2040,6.7416,0.8862,0.9011,116,0,0,0.0000,0.0000
12346,0.00,0,53,5055,5027.25,23390.69,1.4805,0.2026,7.6511,0.8899,0.8901,83,0,0,0.0000,0.0000
12346,0.00,0,54,4870,5063.25,29384.69,1.4752,0.2005,8.7620,0.8947,0.9011,99,0,0,0.0000,0.0000
12346,0.00,0,55,5340,5057.75,33999.69,1.4503,0.1981,8.9923,0.8984,0.9121,87,0,0,0.0000,0.0000
12346,0.00,0,56,5170,5076.15,35195.43,1.4707,0.1982,10.0059,0.9009,0.8901,108,0,0,0.0000,0.0000
12346,0.00,0,57,4885,5065.40,48270.34,1.4690,0.1985,9.5939,0.9013,0.9011,85,0,0,0.0000,0.0000
12346,0.00,0,58,4990,5091.95,47146.95,1.4344,0.1944,10.5610,0.9048,0.9341,94,0,0,0.0000,0.0000
12346,0.00,0,59,4990,5112.75,32281.69,1.4443,0.1936,11.3279,0.9110,0.9341,100,0,0,0.0000,0.0000
12346,0.00,0,60,4825,5081.10,24534.29,1.4729,0.1948,10.9010,0.9168,0.9341,86,0,0,0.0000,0.0000
12346,0.00,0,61,5020,5040.40,20445.34,1.4878,0.1946,8.2271,0.9254,0.9341,80,0,0,0.0000,0.0000
12346,0.00,0,62,4920,4969.35,15951.33,1.5471,0.1977,5.6016,0.9335,0.9670,90,0,0,0.0000,0.0000
12346,0.00,0,63,4905,4915.25,11082.69,1.5767,0.1984,5.4257,0.9354,0.9341,99,0,0,0.0000,0.0000
12346,0.00,0,64,5005,4895.50,16357.25,1.5819,0.1982,6.1756,0.9364,0.9341,92,0,0,0.0000,0.0000
12346,0.00,0,65,4920,4890.75,15532.19,1.5967,0.1984,7.2592,0.9391,0.9341,108,0,0,0.0000,0.0000
12346,0.00,0,66,4920,4908.80,13185.56,1.5597,0.1965,6.5388,0.9380,0.9341,70,0,0,0.0000,0.0000
12346,0.00,0,67,4840,4915.30,12411.41,1.5435,0.1948,5.9277,0.9357,0.9451,75,0,0,0.0000,0.0000
12346,0.00,0,68,4980,4925.75,12336.19,1.5468,0.1940,5.8582,0.9359,0.9341,91,0,0,0.0000,0.0000
12346,0.00,0,69,4945,4949.20,13912.86,1.5589,0.1945,5.7204,0.9367,0.9341,97,0,0,0.0000,0.0000
12346,0.00,0,70,4810,4951.15,11076.43,1.5739,0.1944,6.2119,0.9388,0.9341,95,0,0,0.0000,0.0000
12346,0.00,0,71,4945,4940.95,15846.85,1.5693,0.1930,6.7321,0.9391,0.9451,99,0,0,0.0000,0.0000
12346,0.00,0,72,4945,4927.45,18698.75,1.5792,0.1922,7.2204,0.9410,0.9451,105,0,0,0.0000,0.0000
12346,0.00,0,73,4945,4898.70,10964.31,1.5679,0.1911,7.0671,0.9410,0.9451,94,0,0,0.0000,0.0000
12346,0.00,0,74,4900,4889.75,8137.69,1.5529,0.1895,6.4283,0.9432,0.9451,81,0,0,0.0000,0.0000
12346,0.00,0,75,4900,4894.80,8268.96,1.5252,0.1867,5.9891,0.9451,0.9451,87,0,0,0.0000,0.0000
12346,0.00,0,76,4945,4895.15,6079.23,1.4862,0.1846,4.5517,0.9451,0.9451,90,0,0,0.0000,0.0000
12346,0.00,0,77,4945,4904.90,7671.49,1.4703,0.1832,4.0582,0.9454,0.9451,90,0,0,0.0000,0.0000
12346,0.00,0,78,4850,4910.60,7176.14,1.4577,0.1820,4.8030,0.9458,0.9451,100,0,0,0.0000,0.0000
12346,0.00,0,79,4850,4908.20,11852.76,1.4625,0.1826,5.3495,0.9454,0.9451,105,0,0,0.0000,0.0000
12346,0.00,0,80,4850,4899.45,13143.45,1.4314,0.1812,5.6046,0.9451,0.9451,92,0,0,0.0000,0.0000
12346,0.00,0,81,4830,4904.65,14494.13,1.4158,0.1797,6.0846,0.9464,0.9560,103,0,0,0.0000,0.0000
12346,0.00,0,82,4750,4896.75,14384.19,1.4287,0.1801,6.6576,0.9477,0.9560,100,0,0,0.0000,0.0000
12346,0.00,0,83,4745,4868.60,15248.04,1.4903,0.1826,7.1505,0.9491,0.9451,95,0,0,0.0000,0.0000
12346,0.00,0,84,4690,4830.00,10353.50,1.5416,0.1849,7.9915,0.9508,0.9560,114,0,0,0.0000,0.0000
12346,0.00,0,85,4845,4780.05,9609.25,1.5274,0.1845,8.0242,0.9516,0.9560,83,0,0,0.0000,0.0000
12346,0.00,0,86,4845,4763.05,8223.95,1.5610,0.1858,8.5879,0.9537,0.9560,94,0,0,0.0000,0.0000
12346,0.00,0,87,4845,4750.05,6464.25,1.5646,0.1862,8.6851,0.9556,0.9560,84,0,0,0.0000,0.0000
12346,0.00,0,88,4790,4752.25,8302.19,1.5740,0.1853,10.3319,0.9571,0.9560,102,0,0,0.0000,0.0000
12346,0.00,0,89,4920,4751.45,9289.15,1.5499,0.1837,10.5804,0.9569,0.9670,79,0,0,0.0000,0.0000
12346,0.00,0,90,4820,4781.45,11404.65,1.5426,0.1822,10.9087,0.9564,0.9560,75,0,0,0.0000,0.0000
12346,0.00,0,91,4820,4821.40,10316.54,1.5381,0.1810,10.7283,0.9600,0.9560,93,0,0,0.0000,0.0000
12346,0.00,0,92,4765,4854.70,6790.41,1.5426,0.1805,10.8408,0.9624,0.9560,101,0,0,0.0000,0.0000
12346,0.00,0,93,4745,4850.50,8056.75,1.5568,0.1802,11.9537,0.9622,0.9560,111,0,0,0.0000,0.0000
12346,0.00,0,94,4965,4856.80,9968.26,1.6464,0.1866,10.0889,0.9609,0.9670,105,0,0,0.0000,0.0000
12346,0.00,0,95,4860,4852.70,14667.21,1.7180,0.1905,7.8440,0.9610,0.9780,116,0,0,0.0000,0.0000
12346,0.00,0,96,4830,4835.80,13892.36,1.7227,0.1916,7.0634,0.9604,0.9670,94,0,0,0.0000,0.0000
12346,0.00,0,97,4830,4795.60,15964.64,1.7262,0.1917,6.9628,0.9618,0.9670,101,0,0,0.0000,0.0000
12346,0.00,0,98,4830,4827.35,13241.73,1.6691,0.1874,7.0964,0.9654,0.9670,96,0,0,0.0000,0.0000
12346,0.00,0,99,4785,4829.60,10412.34,1.6187,0.1836,6.3780,0.9692,0.9670,91,0,0,0.0000,0.0000
12346,0.00,1,0,5345,5198.85,69053.43,2.3992,0.1640,85.6208,0.3983,0.4944,0,0,0,0.0000,0.0000
