seed,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,gini,cv,coverage
1000,Off,4650,17000,4000,1000,7000,5000,0.0698,0.1261,0.9604
1000,Depth1w,5810,13000,5000,0,6000,2000,0.0732,0.1316,0.9505
1000,Depth2w,5495,12000,5000,1000,0,6000,0.0718,0.1263,0.9604
1000,Depth4w,5165,14000,0,1000,5000,8000,0.0659,0.1180,1.0000
1000,DepthFull,5165,14000,0,1000,5000,8000,0.0659,0.1180,1.0000
1001,Off,4675,14000,3000,0,5000,6000,0.0873,0.1563,0.9703
1001,Depth1w,5020,12000,4000,1000,4000,3000,0.0690,0.1311,0.9604
1001,Depth2w,5015,19000,9000,0,4000,6000,0.0641,0.1148,0.9208
1001,Depth4w,4560,17000,5000,1000,5000,6000,0.0427,0.0808,0.9505
1001,DepthFull,4560,17000,5000,1000,5000,6000,0.0427,0.0808,0.9505
1002,Off,4455,10000,6000,0,2000,2000,0.0928,0.1671,0.9406
1002,Depth1w,5840,11000,5000,1000,0,5000,0.0776,0.1399,0.9505
1002,Depth2w,5175,16000,4000,1000,4000,7000,0.0475,0.0886,0.9604
1002,Depth4w,5460,15000,6000,0,3000,6000,0.0564,0.1001,0.9406
1002,DepthFull,5460,15000,6000,0,3000,6000,0.0564,0.1001,0.9406
1003,Off,5320,13000,3000,0,3000,7000,0.1067,0.1995,0.9703
1003,Depth1w,4910,15000,7000,1000,5000,2000,0.0821,0.1515,0.9307
1003,Depth2w,4785,16000,4000,0,4000,8000,0.0709,0.1316,0.9604
1003,Depth4w,4635,11000,4000,0,3000,4000,0.0721,0.1278,0.9604
1003,DepthFull,4635,11000,4000,0,3000,4000,0.0721,0.1278,0.9604
1004,Off,5310,12000,3000,0,2000,7000,0.0832,0.1462,0.9703
1004,Depth1w,4530,16000,5000,1000,2000,8000,0.0503,0.0919,0.9604
1004,Depth2w,5445,14000,5000,0,3000,6000,0.0750,0.1351,0.9505
1004,Depth4w,5415,15000,6000,2000,2000,5000,0.0650,0.1185,0.9406
1004,DepthFull,5415,15000,6000,2000,2000,5000,0.0650,0.1185,0.9406
1005,Off,5270,13000,7000,0,3000,3000,0.0664,0.1265,0.9406
1005,Depth1w,5220,13000,5000,0,3000,5000,0.0710,0.1269,0.9505
1005,Depth2w,4710,18000,6000,0,5000,7000,0.0615,0.1130,0.9406
1005,Depth4w,4680,15000,5000,2000,3000,5000,0.0714,0.1277,0.9505
1005,DepthFull,4680,15000,5000,2000,3000,5000,0.0714,0.1277,0.9505
1006,Off,4935,11000,1000,0,5000,5000,0.0936,0.1643,0.9901
1006,Depth1w,4705,16000,4000,0,5000,7000,0.0704,0.1263,0.9703
1006,Depth2w,4910,12000,3000,0,2000,7000,0.0586,0.1062,0.9703
1006,Depth4w,5375,16000,7000,0,1000,8000,0.0554,0.1032,0.9406
1006,DepthFull,5375,16000,7000,0,1000,8000,0.0554,0.1032,0.9406
