utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
100,false,1,false,236,true,-2762534.4,43800,46000,46000,100,0,0,207268,207268,0.00
100,true,1,true,0,true,90000,90000,90000,90000,100,3,13,220118,220132,0.01
100,false,2,false,139,true,-2856560,46100,49100,49100,100,0,0,201322,201322,0.00
100,true,2,true,0,true,90000,90000,90000,90000,100,3,13,193158,193172,0.01
100,false,3,false,null,false,-2860479.2,0,-52900,-52900,100,0,0,196274,196274,0.00
100,true,3,true,0,true,90000,90000,90000,90000,100,3,13,192490,192504,0.01
101,false,1,false,null,false,-3557932.8,0,-850749.6,-850749.6,100,0,0,194568,194568,0.00
101,true,1,false,null,false,-3557932.8,0,-850749.6,-850749.6,100,0,0,194676,194676,0.00
101,false,2,false,null,false,-3657264.8,0,-848136.8,-848136.8,100,0,0,194727,194727,0.00
101,true,2,false,null,false,-3657264.8,0,-848136.8,-848136.8,100,0,0,194595,194595,0.00
101,false,3,false,null,false,-3756832.8,0,-748743.2,-748743.2,100,0,0,194592,194592,0.00
101,true,3,false,null,false,-3756832.8,0,-748743.2,-748743.2,100,0,0,194467,194467,0.00
102,false,1,false,null,false,-4459892,0,-1249302.4,-1249302.4,100,0,0,195982,195982,0.00
102,true,1,false,null,false,-4459892,0,-1249302.4,-1249302.4,100,0,0,195944,195944,0.00
102,false,2,false,null,false,-4657466.4,0,-1249102.4,-1249102.4,100,0,0,195976,195976,0.00
102,true,2,false,null,false,-4657466.4,0,-1249102.4,-1249102.4,100,0,0,195801,195801,0.00
102,false,3,false,null,false,-4558498.4,0,-1350696,-1350696,100,0,0,196031,196031,0.00
102,true,3,false,null,false,-4558498.4,0,-1350696,-1350696,100,0,0,196067,196067,0.00
103,false,1,false,null,false,-5360377.6,0,-1952045.6,-1952045.6,100,0,0,197819,197819,0.00
103,true,1,false,null,false,-5360377.6,0,-1952045.6,-1952045.6,100,0,0,197844,197844,0.00
103,false,2,false,null,false,-5458645.6,0,-1950452,-1950452,100,0,0,198561,198561,0.00
103,true,2,false,null,false,-5458645.6,0,-1950452,-1950452,100,0,0,211375,211375,0.00
103,false,3,false,null,false,-5557971.2,0,-1749358.4,-1749358.4,100,0,0,222147,222147,0.00
103,true,3,false,null,false,-5557971.2,0,-1749358.4,-1749358.4,100,0,0,213170,213170,0.00
105,false,1,false,null,false,-7558822.4,0,-3050860.8,-3050860.8,100,0,0,216588,216588,0.00
105,true,1,false,null,false,-7558822.4,0,-3050860.8,-3050860.8,100,0,0,201640,201640,0.00
105,false,2,false,null,false,-6558316,0,-3050654.4,-3050654.4,100,0,0,201840,201840,0.00
105,true,2,false,null,false,-6558316,0,-3050654.4,-3050654.4,100,0,0,201141,201141,0.00
105,false,3,false,null,false,-6657484,0,-3249135.2,-3249135.2,100,0,0,201748,201748,0.00
105,true,3,false,null,false,-6657484,0,-3249135.2,-3249135.2,100,0,0,201804,201804,0.00
108,false,1,false,null,false,-10159994.4,0,-4352109.6,-4352109.6,100,0,0,206363,206363,0.00
108,true,1,false,null,false,-10159994.4,0,-4352109.6,-4352109.6,100,0,0,207229,207229,0.00
108,false,2,false,null,false,-10559326.4,0,-4152109.6,-4152109.6,100,0,0,206980,206980,0.00
108,true,2,false,null,false,-10559326.4,0,-4152109.6,-4152109.6,100,0,0,206710,206710,0.00
108,false,3,false,null,false,-10459681.6,0,-4152454.4,-4152454.4,100,0,0,206157,206157,0.00
108,true,3,false,null,false,-10459681.6,0,-4152454.4,-4152454.4,100,0,0,206351,206351,0.00
109,false,1,false,null,false,-11259999.2,0,-4552897.6,-4552897.6,100,0,0,208109,208109,0.00
109,true,1,false,null,false,-11259999.2,0,-4552897.6,-4552897.6,100,0,0,209010,209010,0.00
109,false,2,false,null,false,-11460618.4,0,-4751959.2,-4751959.2,100,0,0,207801,207801,0.00
109,true,2,false,null,false,-11460618.4,0,-4751959.2,-4751959.2,100,0,0,207562,207562,0.00
109,false,3,false,null,false,-11359424.8,0,-4553110.4,-4553110.4,100,0,0,208090,208090,0.00
109,true,3,false,null,false,-11359424.8,0,-4553110.4,-4553110.4,100,0,0,208058,208058,0.00
110,false,1,false,null,false,-12659264.8,0,-5453431.2,-5453431.2,100,0,0,209333,209333,0.00
110,true,1,false,null,false,-12659264.8,0,-5453431.2,-5453431.2,100,0,0,208759,208759,0.00
110,false,2,false,null,false,-12360164.8,0,-5252718.4,-5252718.4,100,0,0,208244,208244,0.00
110,true,2,false,null,false,-12360164.8,0,-5252718.4,-5252718.4,100,0,0,208332,208332,0.00
110,false,3,false,null,false,-12359600.8,0,-5653605.6,-5653605.6,100,0,0,208363,208363,0.00
110,true,3,false,null,false,-12359600.8,0,-5653605.6,-5653605.6,100,0,0,208222,208222,0.00
