utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
98,false,1,false,93,true,-1256908.8,45942.4,53836,53836,100,0,0,17617,17617,0.00
98,true,1,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17436,17438,0.01
98,false,2,false,100,true,-856440.8,44242.4,51942.4,51942.4,100,0,0,17699,17699,0.00
98,true,2,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,9,17793,17802,0.05
85,false,1,true,0,true,44051.2,44051.2,60409.6,60409.6,100,100,0,20737,20737,0.00
85,true,1,true,0,true,74880,74880,74880,74880,100,100,62,15702,15764,0.39
85,false,2,true,0,true,44264,44264,61322.4,61322.4,100,100,0,15220,15220,0.00
85,true,2,true,0,true,74880,74880,74880,74880,100,100,1,15144,15145,0.01
85,false,3,true,0,true,45044.8,45044.8,61048,61048,100,100,0,15976,15976,0.00
85,true,3,true,0,true,74880,74880,74880,74880,100,100,1,13456,13457,0.01
85,false,4,true,0,true,43780.8,43780.8,61167.2,61167.2,100,100,0,14251,14251,0.00
85,true,4,true,0,true,74880,74880,74880,74880,100,100,1,13844,13846,0.01
85,false,5,true,0,true,43932,43932,60135.2,60135.2,100,100,0,15514,15514,0.00
85,true,5,true,0,true,74880,74880,74880,74880,100,100,1,14353,14354,0.01
85,false,6,true,0,true,43870.4,43870.4,61367.2,61367.2,100,100,0,15920,15920,0.00
85,true,6,true,0,true,74880,74880,74880,74880,100,100,1,13735,13737,0.01
85,false,7,true,0,true,44000,44000,60841.6,60841.6,100,100,0,17928,17928,0.00
85,true,7,true,0,true,74880,74880,74880,74880,100,100,1,20869,20870,0.00
85,false,8,true,0,true,43906.4,43906.4,61248,61248,100,100,0,16482,16482,0.00
85,true,8,true,0,true,74880,74880,74880,74880,100,100,1,15506,15507,0.01
85,false,9,true,0,true,44361.6,44361.6,61141.6,61141.6,100,100,0,14996,14996,0.00
85,true,9,true,0,true,74880,74880,74880,74880,100,100,1,15414,15415,0.01
85,false,10,true,0,true,44893.6,44893.6,61535.2,61535.2,100,100,0,14881,14881,0.00
85,true,10,true,0,true,74880,74880,74880,74880,100,100,1,15054,15056,0.01
85,false,11,true,0,true,44148.8,44148.8,62190.4,62190.4,100,100,0,15267,15267,0.00
85,true,11,true,0,true,74880,74880,74880,74880,100,100,1,13838,13840,0.01
85,false,12,true,0,true,44432,44432,61673.6,61673.6,100,100,0,15674,15674,0.00
85,true,12,true,0,true,74880,74880,74880,74880,100,100,1,14845,14846,0.01
85,false,13,true,0,true,43555.2,43555.2,61716,61716,100,100,0,14886,14886,0.00
85,true,13,true,0,true,74880,74880,74880,74880,100,100,1,15539,15541,0.01
85,false,14,true,0,true,43689.6,43689.6,61141.6,61141.6,100,100,0,15728,15728,0.00
85,true,14,true,0,true,74880,74880,74880,74880,100,100,1,15337,15339,0.01
85,false,15,true,0,true,43580.8,43580.8,60709.6,60709.6,100,100,0,15310,15310,0.00
85,true,15,true,0,true,74880,74880,74880,74880,100,100,1,14974,14975,0.01
85,false,16,true,0,true,43812.8,43812.8,61022.4,61022.4,100,100,0,15427,15427,0.00
85,true,16,true,0,true,74880,74880,74880,74880,100,100,1,14258,14259,0.01
85,false,17,true,0,true,44293.6,44293.6,60954.4,60954.4,100,100,0,14317,14317,0.00
85,true,17,true,0,true,74880,74880,74880,74880,100,100,1,13680,13681,0.01
85,false,18,true,0,true,44838.4,44838.4,61880,61880,100,100,0,14537,14537,0.00
85,true,18,true,0,true,74880,74880,74880,74880,100,100,1,14290,14291,0.01
85,false,19,true,0,true,44180.8,44180.8,60780,60780,100,100,0,14997,14997,0.00
85,true,19,true,0,true,74880,74880,74880,74880,100,100,2,14093,14095,0.01
85,false,20,true,0,true,43087.2,43087.2,60122.4,60122.4,100,100,0,14738,14738,0.00
85,true,20,true,0,true,74880,74880,74880,74880,100,100,1,13608,13609,0.01
85,false,21,true,0,true,43500,43500,60448,60448,100,100,0,14368,14368,0.00
85,true,21,true,0,true,74880,74880,74880,74880,100,100,1,13759,13760,0.01
85,false,22,true,0,true,45332,45332,61822.4,61822.4,100,100,0,14403,14403,0.00
