family,instance,utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
A,Control_95,95,false,1,true,0,true,45384,45384,58580,58580,100,47,0,219288,219289,0.00
A,Control_95,95,true,1,true,0,true,84880,84880,84880,84880,100,48,13,207706,207719,0.01
A,Control_95,95,false,2,true,0,true,44522.4,44522.4,58080,58080,100,46,0,186884,186884,0.00
A,Control_95,95,true,2,true,0,true,84880,84880,84880,84880,100,47,12,184982,184995,0.01
A,Control_95,95,false,3,true,0,true,45409.6,45409.6,58973.6,58973.6,100,42,0,204138,204138,0.00
A,Control_95,95,true,3,true,0,true,84880,84880,84880,84880,100,44,13,209620,209634,0.01
A,Control_95,95,false,4,true,0,true,44016,44016,55880,55880,100,50,0,203048,203048,0.00
A,Control_95,95,true,4,true,0,true,84880,84880,84880,84880,100,52,13,182949,182963,0.01
A,Control_95,95,false,5,true,0,true,44190.4,44190.4,57080,57080,100,57,0,184404,184405,0.00
A,Control_95,95,true,5,true,0,true,84880,84880,84880,84880,100,58,13,183440,183453,0.01
A,Control_95,95,false,6,true,0,true,46122.4,46122.4,58373.6,58373.6,100,50,0,184872,184872,0.00
A,Control_95,95,true,6,true,0,true,84880,84880,84880,84880,100,52,12,188417,188430,0.01
A,Control_95,95,false,7,true,0,true,44728.8,44728.8,57780,57780,100,51,0,200512,200512,0.00
A,Control_95,95,true,7,true,0,true,84880,84880,84880,84880,100,52,13,212222,212236,0.01
A,Control_95,95,false,8,true,0,true,45603.2,45603.2,57680,57680,100,44,0,190602,190604,0.00
A,Control_95,95,true,8,true,0,true,84880,84880,84880,84880,100,46,15,183863,183878,0.01
A,Control_95,95,false,9,true,0,true,44309.6,44309.6,57380,57380,100,53,0,208208,208208,0.00
