rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,dur,armed,good_trade_top_10_mfe
1,AXISBANK.NS,29.25,0.001572,-0.007802,-0.0006,-0.381568,2,0,0
2,DLF.NS,29.25,0.000715,-0.003099,-0.0009,-1.258743,2,0,0
3,GODREJPROP.NS,29.25,0.002174,-0.002878,-1e-06,-0.000373,2,0,0
4,JSWSTEEL.NS,29.25,0.001088,-0.004765,-0.00075,-0.689482,2,0,0
5,DLF.NS,29.25,0.001486,-0.001952,-0.0009,-0.605813,2,0,0
6,GODREJPROP.NS,29.25,0.003407,-0.001844,-1e-06,-0.000238,2,0,0
7,ITC.NS,29.25,0.001976,-0.001459,7.7e-05,0.039129,2,0,0
8,GODREJPROP.NS,29.25,0.001781,-0.001386,-0.0009,-0.505244,2,0,0
10,JSWSTEEL.NS,29.25,0.0036,-0.000252,0.000149,0.041475,2,0,0
9,ITC.NS,29.25,0.000566,-0.003841,-0.003091,-5.466646,3,0,0
12,LT.NS,29.25,0.002083,-0.000764,-7e-05,-0.033464,2,0,0
11,KOTAKBANK.NS,29.25,0.000251,-0.004544,-0.002764,-10.0,3,0,0
15,DLF.NS,29.25,0.000792,-0.002128,-0.0009,-1.135661,2,0,0
14,JSWSTEEL.NS,29.25,0.002508,-0.000669,0.000149,0.059542,2,0,0
16,DLF.NS,29.25,0.000715,-0.001743,-0.0009,-1.258204,2,0,0
18,INFY.NS,29.25,0.004175,-0.010101,0.000299,0.071725,2,0,0
20,COFORGE.NS,29.25,0.003502,-0.002018,0.000299,0.085516,2,0,0
21,DLF.NS,29.25,0.003037,-0.001375,0.000149,0.049165,2,0,0
22,GODREJPROP.NS,29.25,0.002921,-0.003857,0.000299,0.102526,2,0,0
19,BSE.NS,29.25,0.000772,-0.004386,-0.00075,-0.971783,2,0,0
23,GODREJPROP.NS,29.25,0.0007,-0.003496,-0.0006,-0.856557,2,0,0
24,GODREJPROP.NS,29.25,0.001532,-0.002339,-0.0006,-0.391583,2,0,0
25,GODREJPROP.NS,29.25,0.000979,-0.001012,-0.0009,-0.9191,2,0,0
26,COFORGE.NS,29.25,0.001346,-0.002452,-0.0009,-0.668466,3,0,0
28,GODREJPROP.NS,29.25,0.001623,-0.005052,-0.0009,-0.554392,2,0,0
27,INFY.NS,29.25,0.000642,-0.003625,-0.003035,-4.723509,3,0,0
29,COFORGE.NS,29.25,0.006762,-0.000459,-1e-06,-0.00012,2,0,0
32,COFORGE.NS,29.25,0.003255,-0.003301,-1e-06,-0.000249,2,0,0
31,INFY.NS,29.25,0.002512,-0.002907,-1e-06,-0.000323,2,0,0
33,COFORGE.NS,29.25,0.001589,-0.000891,-0.0009,-0.566404,2,0,0
30,GODREJPROP.NS,29.25,0.001512,-0.003486,-0.0009,-0.595089,2,0,0
35,COFORGE.NS,29.25,0.002457,-0.000581,-1e-06,-0.00033,2,0,0
36,GODREJPROP.NS,29.25,0.001277,-0.003429,-0.0009,-0.704501,2,0,0
34,NYKAA.NS,29.25,0.002359,-0.001851,0.000149,0.063287,2,0,0
37,JSWSTEEL.NS,29.25,0.003586,-0.001213,0.000149,0.041647,2,0,0
38,COFORGE.NS,29.25,0.000163,-0.003861,-0.003187,-10.0,2,0,0
39,DLF.NS,29.25,0.000175,-0.008083,-0.00335,-10.0,2,0,0
40,COFORGE.NS,29.25,0.0,-0.0144,-0.005325,0.0,2,0,0
41,NYKAA.NS,29.25,0.001415,-0.009233,-0.0006,-0.424085,2,0,0
42,NYKAA.NS,29.25,0.009311,-0.000894,0.000299,0.032164,2,0,1
43,NYKAA.NS,29.25,0.001296,-0.008235,-0.0006,-0.46314,2,0,0
46,CDSL.NS,29.25,0.001808,-0.000417,0.000102,0.056129,2,0,0
45,GODREJPROP.NS,29.25,0.001398,-0.00354,-0.0006,-0.429222,5,0,0
47,GODREJPROP.NS,29.25,0.001043,-0.003277,-0.0006,-0.575337,2,0,0
48,INFY.NS,29.25,0.001013,-0.001593,-0.0009,-0.888402,2,0,0
49,GODREJPROP.NS,29.25,0.000251,-0.003186,-0.003268,-10.0,3,0,0
50,INFY.NS,29.25,0.004401,-0.001711,-0.000197,-0.044727,2,0,0
51,INFY.NS,29.25,0.00114,-0.002368,-0.0009,-0.789163,2,0,0
52,HINDUNILVR.NS,29.25,0.006328,-0.00326,0.000149,0.023598,3,0,0
54,AXISBANK.NS,29.25,0.000925,-0.004392,-0.0006,-0.648728,3,0,0
55,COFORGE.NS,29.25,0.002413,-0.005377,0.000299,0.124083,2,0,0
56,NYKAA.NS,29.25,0.000844,-0.004793,-0.00075,-0.888447,2,0,0
58,NYKAA.NS,29.25,0.000361,-0.009889,-0.009596,-10.0,6,0,0
57,COFORGE.NS,29.25,0.009969,-0.000836,0.000299,0.030038,10,0,1
59,NYKAA.NS,29.25,0.009582,-0.000981,-9.8e-05,-0.010196,2,0,1
60,NYKAA.NS,29.25,0.009902,-0.001017,0.000149,0.015081,2,0,1
61,NYKAA.NS,29.25,0.008684,-0.003448,0.000299,0.034486,5,0,1
62,NYKAA.NS,29.25,0.003239,-0.00171,0.000299,0.092452,2,0,0
63,NYKAA.NS,29.25,0.001637,-0.004069,-0.0006,-0.366627,4,0,0
64,BSE.NS,29.25,0.00487,-0.004114,0.00045,0.092316,2,0,0
65,NYKAA.NS,29.25,0.007033,-0.000702,-1e-06,-0.000115,2,0,0
66,BSE.NS,29.25,0.00199,-0.001097,0.000299,0.150513,2,0,0
68,NYKAA.NS,29.25,0.000899,-0.007079,-0.0009,-1.001011,2,0,0
69,BHARTIARTL.NS,29.25,0.001673,-0.003318,-0.0006,-0.358629,2,0,0
70,BSE.NS,29.25,0.00123,-0.002673,-0.0006,-0.488003,2,0,0
67,GODREJPROP.NS,29.25,0.003297,-0.00415,0.000299,0.090836,4,0,0
73,DEEPAKNTR.NS,29.25,0.000805,-0.00167,-0.00075,-0.931121,2,0,0
74,GODREJPROP.NS,29.25,0.002172,-0.002552,0.000299,0.137846,2,0,0
