rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_10_mfe
1,AXISBANK.NS,29.25,0.001572,-0.007802,-0.0006,-0.381568,0.0248,0.00034,0.05,0.7549,5,40.0,2,0,0,10,1,0
2,PAYTM.NS,29.25,0.002382,-0.006234,-1e-06,-0.00034,0.0361,0.000501,0.05,0.7227,2,70.0,2,0,0,10,1,0
4,TCS.NS,29.25,0.001838,-0.012981,0.00045,0.244598,0.0387,0.00052,0.05,0.8818,5,25.0,2,0,0,10,1,0
5,BSE.NS,29.25,0.002992,-0.005705,0.000299,0.100086,0.3469,0.007085,1.0,0.9915,1,40.0,2,0,0,10,1,0
7,COFORGE.NS,29.25,0.00282,-0.001893,0.00045,0.159418,0.0323,0.000396,0.05,0.8052,4,25.0,2,0,0,10,1,0
12,ONGC.NS,29.25,0.001624,-0.011126,-0.00075,-0.461718,0.2362,0.003531,1.0,0.9819,1,55.0,2,0,0,10,1,0
8,DLF.NS,29.25,0.007743,-0.003959,0.000299,0.038675,0.0341,0.000427,0.05,0.8222,4,40.0,3,0,1,10,1,0
13,GODREJPROP.NS,29.25,0.003149,-0.002217,0.000299,0.095093,0.0365,0.000316,0.05,0.5637,1,40.0,2,0,0,10,1,0
14,JSWSTEEL.NS,29.25,0.000987,-0.003299,-0.0006,-0.607613,0.0323,0.000254,0.05,0.5031,1,40.0,2,0,0,10,1,0
15,TATASTEEL.NS,29.25,0.001384,-0.002873,-0.00075,-0.541821,0.0339,0.000272,0.05,0.5272,1,55.0,2,0,0,10,1,0
11,NYKAA.NS,29.25,0.009443,-0.001032,0.000299,0.031712,0.0352,0.000445,0.05,0.8309,4,40.0,4,0,1,10,1,0
16,GODREJPROP.NS,29.25,0.000401,-0.006505,-0.005658,-10.0,0.4364,0.007705,1.0,0.9948,1,40.0,5,0,0,10,1,0
17,TATASTEEL.NS,29.25,0.001321,-0.001386,-0.0006,-0.454067,0.271,0.004742,0.9999,0.9862,1,40.0,2,0,0,10,1,0
