rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_20_mfe
1,AXISBANK.NS,29.25,0.001572,-0.007802,0.000299,0.19044,0.0248,0.00034,0.05,0.7549,5,40.0,1,0,0,5,1,0
2,PAYTM.NS,29.25,0.002382,-0.001742,-1e-06,-0.00034,0.0361,0.000501,0.05,0.7227,2,70.0,1,0,0,5,1,0
3,PAYTM.NS,29.25,0.00054,-0.007802,-0.005372,-9.948622,0.0279,0.000332,0.05,0.6088,2,70.0,2,0,0,5,1,0
5,TCS.NS,29.25,0.001838,-0.009213,0.00045,0.244598,0.0387,0.000519,0.05,0.8799,5,25.0,1,0,0,5,1,0
6,BSE.NS,29.25,0.002992,-0.004563,0.000299,0.100086,0.3469,0.007087,1.0,0.9919,1,40.0,1,0,0,5,1,0
8,COFORGE.NS,29.25,0.002297,-0.001719,0.00045,0.195773,0.0323,0.000394,0.05,0.8016,4,25.0,1,0,0,5,1,0
9,DLF.NS,29.25,0.00193,-0.003959,0.000299,0.155126,0.0341,0.000425,0.05,0.8188,4,40.0,1,0,0,5,1,0
12,NYKAA.NS,29.25,0.009443,-0.001032,0.000299,0.031712,0.0352,0.000443,0.05,0.8277,4,40.0,1,0,1,5,1,0
13,ONGC.NS,29.25,0.001624,-0.008144,0.000149,0.091928,0.2362,0.003534,1.0,0.9827,1,55.0,1,0,0,5,1,0
15,COFORGE.NS,29.25,0.004398,-0.000323,0.00045,0.102238,0.0313,0.000394,0.05,0.827,5,25.0,1,0,1,5,1,0
16,GODREJPROP.NS,29.25,0.002691,-0.002217,0.000299,0.11128,0.0365,0.000323,0.05,0.5756,1,40.0,1,0,0,5,1,0
17,JSWSTEEL.NS,29.25,0.000987,-0.00203,0.000299,0.303259,0.0323,0.00026,0.05,0.5152,1,40.0,1,0,0,5,1,0
18,TATASTEEL.NS,29.25,0.001384,-0.00218,0.000149,0.107877,0.0339,0.000278,0.05,0.5388,1,55.0,1,0,0,5,1,0
19,GODREJPROP.NS,29.25,0.000838,-0.004776,-0.00075,-0.894503,0.0358,0.000327,0.05,0.5663,1,55.0,2,0,0,5,1,0
20,ITC.NS,29.25,0.000719,-0.003737,-0.0006,-0.834428,0.0311,0.00025,0.05,0.4942,1,40.0,2,0,0,5,1,0
23,POLICYBZR.NS,29.25,0.014,-0.00013,0.000299,0.021389,0.0295,0.000232,0.05,0.4676,1,40.0,1,0,1,5,1,0
22,GODREJPROP.NS,29.25,0.000401,-0.006505,-0.005658,-10.0,0.4364,0.007705,1.0,0.9948,1,40.0,5,0,0,5,1,0
24,TATASTEEL.NS,29.25,0.001321,-0.001386,0.000299,0.226625,0.271,0.004743,0.9999,0.9864,1,40.0,2,0,0,5,1,0
25,CDSL.NS,29.25,0.00152,-0.00206,0.00045,0.295718,0.0257,0.000288,0.05,0.7182,4,25.0,1,0,0,5,1,0
26,ONGC.NS,29.25,0.001949,-4.8e-05,0.00045,0.230632,0.4683,0.008398,1.0,0.9954,1,25.0,1,0,0,5,1,0
27,CDSL.NS,29.25,0.002787,-0.00012,0.00045,0.161292,0.0233,0.000267,0.05,0.7251,5,25.0,1,0,0,5,1,0
21,DEEPAKNTR.NS,29.25,0.001883,-0.001079,0.000149,0.079288,0.017,0.000206,0.05,0.5857,5,55.0,1,0,0,5,1,0
28,DLF.NS,29.25,0.002441,-0.00134,0.00045,0.184173,0.4761,0.008111,1.0,0.9991,5,25.0,1,0,0,5,1,0
29,DLF.NS,29.25,0.002064,-0.002929,0.00045,0.217852,0.3461,0.005991,1.0,0.9978,4,25.0,1,0,0,5,1,0
30,DEEPAKNTR.NS,29.25,0.001458,-0.000499,4e-06,0.002613,0.3923,0.008001,1.0,0.9968,2,55.0,1,0,0,5,1,0
31,ONGC.NS,25.118,2e-06,-0.005377,-0.005,-10.0,0.2672,0.004234,1.0,0.9862,1,40.0,2,0,0,5,1,0
32,DEEPAKNTR.NS,29.25,0.002178,-0.000351,0.000149,0.068567,0.4114,0.00771,1.0,0.9985,4,55.0,1,0,0,5,1,0
33,DEEPAKNTR.NS,29.25,0.0,-0.003264,-0.002757,0.0,0.4793,0.008733,1.0,0.9985,3,55.0,3,0,0,5,1,0
34,PAYTM.NS,29.25,0.000668,-0.00592,-0.005811,-8.701334,0.4057,0.009004,1.0,0.9984,4,55.0,15,0,0,5,1,0
35,DLF.NS,29.25,0.001245,-0.000297,0.00032,0.257152,0.3036,0.00554,1.0,0.989,1,25.0,1,0,0,5,1,0
37,DLF.NS,29.25,0.001938,-0.001454,0.00045,0.23195,0.223,0.004109,1.0,0.9799,1,25.0,1,0,0,5,1,0
38,POLICYBZR.NS,25.118,0.000941,-0.002165,0.000299,0.318248,0.234,0.003962,1.0,0.9817,1,40.0,1,0,0,5,1,0
36,CDSL.NS,29.25,0.000401,-0.003379,-0.003216,-8.02584,0.5268,0.010217,1.0,0.9992,5,40.0,3,0,0,5,1,0
39,PAYTM.NS,29.25,0.006428,-0.00025,0.000149,0.023232,0.19,0.004606,1.0,0.9853,2,55.0,1,0,1,5,1,0
40,POLICYBZR.NS,29.25,0.001254,-0.000645,-1e-06,-0.000646,0.525,0.009976,1.0,0.9963,1,70.0,1,0,0,5,1,0
42,POLICYBZR.NS,29.25,0.00044,-0.000596,-0.000629,-1.429378,0.5681,0.010902,1.0,0.9968,1,70.0,1,0,0,5,1,0
43,DLF.NS,29.25,0.001486,-5.3e-05,-0.000133,-0.089245,0.2826,0.005582,1.0,0.9874,1,70.0,1,0,0,5,1,0
44,COFORGE.NS,29.25,0.0,-0.002403,-0.002381,0.0,0.1212,0.003207,1.0,0.9648,2,70.0,2,0,0,5,1,0
45,SBIN.NS,29.25,0.000626,-0.000875,-0.00014,-0.223822,0.3612,0.006432,1.0,0.998,4,55.0,1,0,0,5,1,0
47,LT.NS,29.25,0.002083,-0.000764,-7e-05,-0.033464,0.4374,0.00804,1.0,0.9947,1,55.0,2,0,0,5,1,0
46,KOTAKBANK.NS,29.25,0.000251,-0.004544,-0.002764,-10.0,0.3578,0.006649,1.0,0.9921,1,55.0,3,0,0,5,1,0
49,SBIN.NS,24.755,0.002036,-0.001816,0.000149,0.073337,0.311,0.005083,1.0,0.9973,4,55.0,1,0,0,5,1,0
50,SBIN.NS,29.25,0.00072,-0.000781,-0.000234,-0.325334,0.5462,0.009998,1.0,0.9991,4,55.0,1,0,0,5,1,0
48,CDSL.NS,24.755,2.8e-05,-0.003391,-0.003623,-10.0,0.3254,0.006214,1.0,0.9967,3,55.0,3,0,0,5,1,0
51,RELIANCE.NS,25.331,0.001181,-0.001519,-1e-06,-0.000686,0.2515,0.003944,1.0,0.9959,4,70.0,1,0,0,5,1,0
52,SBIN.NS,24.755,0.003161,-0.007916,0.000149,0.047244,0.3765,0.005944,1.0,0.9981,4,55.0,2,0,0,5,1,0
53,PAYTM.NS,25.331,0.000352,-0.015782,-0.003044,-8.658624,0.2084,0.003836,1.0,0.977,1,70.0,2,0,0,5,1,0
54,POLICYBZR.NS,25.331,0.004901,-0.000595,-1e-06,-0.000165,0.2631,0.003419,1.0,0.9854,1,70.0,1,0,1,5,1,0
55,POLICYBZR.NS,29.25,0.001419,-0.005936,-1e-06,-0.000571,0.3742,0.005708,1.0,0.9927,1,70.0,1,0,0,5,1,0
57,KOTAKBANK.NS,29.25,0.001003,-0.001165,0.000299,0.298593,0.1853,0.003219,1.0,0.971,1,40.0,1,0,0,5,1,0
58,POLICYBZR.NS,29.25,0.001431,-0.000999,0.000149,0.104337,0.5436,0.008899,1.0,0.9965,1,55.0,1,0,0,5,1,0
59,GODREJPROP.NS,29.25,0.002801,-0.003857,0.000299,0.106919,0.6455,0.010492,1.0,0.9992,3,40.0,1,0,0,5,1,0
60,POLICYBZR.NS,29.25,0.00032,-0.010347,-0.009247,-10.0,0.5682,0.010701,1.0,0.9968,1,55.0,2,0,0,5,1,0
56,BSE.NS,24.755,0.000772,-0.004386,-0.00075,-0.971783,0.3904,0.005226,1.0,0.9967,2,55.0,2,0,0,5,1,0
61,POLICYBZR.NS,24.755,0.002472,-0.000721,0.000149,0.060417,0.3255,0.00475,1.0,0.9904,1,55.0,1,0,0,5,1,0
62,POLICYBZR.NS,29.25,0.00046,-0.005759,-0.004967,-10.0,0.6026,0.01109,1.0,0.9972,1,55.0,2,0,0,5,1,0
63,POLICYBZR.NS,24.755,0.002214,-0.001691,0.000149,0.067439,0.3003,0.004608,1.0,0.9886,1,55.0,1,0,0,5,1,0
64,POLICYBZR.NS,25.331,0.002067,-0.001781,-1e-06,-0.000392,0.28,0.004373,1.0,0.987,1,70.0,1,0,0,5,1,0
65,POLICYBZR.NS,25.331,0.001225,-0.001234,-1e-06,-0.000661,0.2831,0.004416,1.0,0.9873,1,70.0,1,0,0,5,1,0
67,PAYTM.NS,29.25,0.0029,-0.000412,0.000149,0.051484,0.592,0.010548,1.0,0.9985,2,55.0,1,0,0,5,1,0
66,POLICYBZR.NS,31.756,0.002853,-0.000453,0.000149,0.052334,0.1953,0.003588,1.0,0.9736,1,55.0,1,0,0,5,1,0
68,PAYTM.NS,24.704,0.002387,-0.000696,0.000299,0.125429,0.1929,0.002942,1.0,0.993,4,40.0,1,0,0,5,1,0
70,JSWSTEEL.NS,31.756,0.000251,-0.004145,-0.003241,-10.0,0.1863,0.003939,1.0,0.9711,1,55.0,2,0,0,5,1,0
73,TCS.NS,24.501,0.001098,-0.001297,-1e-06,-0.000737,0.5029,0.009247,1.0,0.9959,1,70.0,1,0,0,5,1,0
74,GODREJPROP.NS,29.25,0.001277,-0.001622,-1e-06,-0.000634,0.4051,0.00858,1.0,0.9987,5,70.0,1,0,0,5,1,0
72,POLICYBZR.NS,31.756,0.006732,-0.000864,0.000149,0.02218,0.1659,0.003307,1.0,0.9905,4,55.0,1,0,1,5,1,0
75,ONGC.NS,29.25,0.004331,-0.000348,0.000299,0.069146,0.9458,0.014396,0.9999,0.9998,5,40.0,1,0,1,5,1,0
76,ONGC.NS,29.25,0.000961,-0.003556,0.000299,0.311627,0.8918,0.013572,1.0,0.9997,4,40.0,1,0,0,5,1,0
77,ONGC.NS,24.704,0.000961,-0.002067,0.000299,0.311477,0.1997,0.002724,0.9999,0.9872,2,40.0,1,0,0,5,1,0
78,NYKAA.NS,29.25,0.000208,-0.007717,-0.006579,-10.0,0.7959,0.012713,0.9999,0.9997,5,40.0,4,0,0,5,1,0
79,GODREJPROP.NS,31.756,0.000484,-0.004289,-0.002527,-5.218003,0.1728,0.003715,1.0,0.993,5,55.0,2,0,0,5,1,0
80,HINDUNILVR.NS,31.756,0.006328,-0.001534,0.000149,0.023598,0.1669,0.002927,1.0,0.9642,1,55.0,1,0,1,5,1,0
81,NYKAA.NS,29.25,0.003191,-0.004475,0.000149,0.046799,0.893,0.013588,1.0,0.9996,3,55.0,1,0,1,5,1,0
82,NYKAA.NS,29.25,0.003858,-0.002613,0.000149,0.03871,0.767,0.012479,1.0,0.9994,3,55.0,1,0,1,5,1,0
83,DLF.NS,29.25,0.001833,-0.000279,0.00045,0.245267,0.501,0.008689,1.0,0.9979,2,25.0,1,0,0,5,1,0
84,POLICYBZR.NS,24.501,0.000753,-0.002623,-0.0009,-1.195431,0.5558,0.01013,1.0,0.9993,5,70.0,2,0,0,5,1,0
85,DEEPAKNTR.NS,31.756,0.000744,-0.000931,-0.000195,-0.261887,0.1497,0.003274,1.0,0.9908,5,55.0,1,0,0,5,1,0
86,NYKAA.NS,29.25,0.002322,-0.001137,-1e-06,-0.000349,0.4112,0.00872,1.0,0.9988,5,70.0,1,0,0,5,1,0
87,TATASTEEL.NS,24.704,0.001669,-0.000107,0.000286,0.17156,0.1978,0.003118,0.9999,0.9934,4,40.0,1,0,0,5,1,0
88,NYKAA.NS,29.25,0.008835,-0.000443,-1e-06,-9.2e-05,0.6608,0.01306,1.0,0.9995,5,70.0,1,0,1,5,1,0
89,TATASTEEL.NS,24.704,0.005215,-0.000764,0.000299,0.057417,0.1979,0.003019,0.9999,0.9947,5,40.0,1,0,1,5,1,0
90,DEEPAKNTR.NS,29.03,0.001497,-0.002887,0.000299,0.200073,0.9307,0.014474,1.0,0.9996,3,40.0,1,0,0,5,1,0
91,BHARTIARTL.NS,25.783,0.001186,-0.000768,0.00045,0.379127,0.5966,0.008289,1.0,0.999,3,25.0,1,0,0,5,1,0
92,KOTAKBANK.NS,29.25,0.003361,-0.002845,0.00045,0.133766,0.7966,0.012121,1.0,0.9995,3,25.0,1,0,1,5,1,0
93,INFY.NS,25.783,0.002691,-0.001389,0.00045,0.16708,0.5986,0.008263,1.0,0.9971,1,25.0,1,0,0,5,1,0
94,CDSL.NS,25.92,0.001734,-0.000189,0.00045,0.259299,0.2067,0.002902,1.0,0.9952,5,25.0,1,0,0,5,1,0
95,KOTAKBANK.NS,25.92,0.001017,-0.001079,0.00045,0.442264,0.2258,0.003294,1.0,0.9959,5,25.0,1,0,0,5,1,0
96,COFORGE.NS,23.921,0.000744,-0.000735,0.000193,0.25904,0.4928,0.006963,1.0,0.9991,5,25.0,1,0,0,5,1,0
97,GODREJPROP.NS,29.25,0.000219,-0.009751,-0.009004,-10.0,0.7042,0.013326,1.0,0.9995,4,70.0,7,0,0,5,1,0
98,NYKAA.NS,29.173,0.002675,-7.5e-05,0.000149,0.055824,0.1897,0.004136,1.0,0.9928,4,55.0,1,0,0,5,1,0
99,NYKAA.NS,29.25,0.003692,-0.000824,5.5e-05,0.015015,0.904,0.014472,1.0,0.9996,3,55.0,2,0,1,5,1,0
100,NYKAA.NS,25.74,0.000925,-0.00148,-4e-05,-0.043371,0.4362,0.006581,1.0,0.9989,5,70.0,1,0,0,5,1,0
102,DEEPAKNTR.NS,29.25,0.005028,-0.000107,0.000149,0.029698,0.9606,0.017499,1.0,0.9997,4,55.0,1,0,1,5,1,0
101,SBIN.NS,29.25,0.000799,-0.001208,-0.00022,-0.274853,0.8197,0.01328,1.0,0.9985,1,70.0,2,0,0,5,1,0
103,DEEPAKNTR.NS,29.25,0.00186,-0.001333,0.000149,0.080293,0.9606,0.017683,1.0,0.9996,3,55.0,1,0,0,5,1,0
106,DEEPAKNTR.NS,29.25,0.003226,-0.002283,0.000149,0.046288,0.9606,0.015121,1.0,0.9998,5,55.0,1,0,1,5,1,0
105,POLICYBZR.NS,29.25,0.000101,-0.003161,-0.003717,-10.0,0.8559,0.014141,1.0,0.9986,1,70.0,2,0,0,5,1,0
104,SBIN.NS,29.25,0.001584,-0.001845,-0.000185,-0.116852,0.8926,0.016751,1.0,0.9994,2,70.0,3,0,0,5,1,0
107,SBIN.NS,29.25,0.005067,-0.002453,-1e-06,-0.00016,0.8922,0.018199,1.0,0.9996,3,70.0,1,0,1,5,1,0
108,TATASTEEL.NS,29.25,0.001001,-0.004857,0.00045,0.448984,0.7749,0.01179,0.9999,0.9994,3,25.0,1,0,0,5,1,0
109,GODREJPROP.NS,27.887,0.010972,-0.000198,0.000149,0.013609,0.9606,0.014261,1.0,0.9997,4,55.0,1,0,1,5,1,0
110,GODREJPROP.NS,27.887,0.001808,-0.003143,0.000149,0.082569,0.9606,0.017213,1.0,0.9997,4,55.0,1,0,0,5,1,0
111,AXISBANK.NS,29.25,0.000698,-0.000629,0.000213,0.30522,0.8265,0.012576,1.0,0.9995,3,25.0,1,0,0,5,1,0
112,HINDUNILVR.NS,29.25,0.001206,-0.000555,0.000429,0.355862,0.6873,0.01105,1.0,0.9978,1,25.0,1,0,0,5,1,0
114,ONGC.NS,23.146,0.002955,-0.000743,0.00045,0.152149,0.5892,0.00711,0.9999,0.9994,5,25.0,1,0,0,5,1,0
116,NYKAA.NS,24.33,0.00237,-0.001452,0.000299,0.12637,0.1733,0.00266,0.9999,0.9669,1,40.0,1,0,0,5,1,0
118,PAYTM.NS,24.33,0.000662,-0.000548,-0.000165,-0.248523,0.1925,0.003089,1.0,0.973,1,40.0,1,0,0,5,1,0
120,ONGC.NS,27.887,0.00172,-0.0003,0.000149,0.086823,0.9606,0.015139,1.0,0.9994,2,55.0,1,0,0,5,1,0
119,POLICYBZR.NS,24.33,0.0,-0.006283,-0.003412,0.0,0.153,0.00251,1.0,0.9853,3,40.0,2,0,0,5,1,0
121,ONGC.NS,27.887,0.002258,-0.000662,0.000149,0.066124,0.9606,0.015418,1.0,0.9997,4,55.0,1,0,0,5,1,0
122,INFY.NS,24.33,0.000876,-0.000946,1.1e-05,0.012429,0.1698,0.002406,1.0,0.9656,1,40.0,1,0,0,5,1,0
123,CDSL.NS,20.103,0.001073,-0.004825,0.00045,0.418869,0.4224,0.00443,1.0,0.9943,1,25.0,1,0,0,5,1,0
125,PAYTM.NS,23.146,0.001629,-0.001964,0.00045,0.27607,0.5137,0.006296,1.0,0.9961,1,25.0,1,0,0,5,1,0
124,DLF.NS,20.103,0.001421,-0.004829,0.00045,0.316357,0.4539,0.004922,1.0,0.995,1,25.0,2,0,0,5,1,0
126,TCS.NS,23.146,0.000817,-0.003412,-0.00045,-0.550508,0.563,0.007168,1.0,0.9968,1,25.0,2,0,0,5,1,0
127,TATASTEEL.NS,29.25,0.002652,-0.000453,0.00045,0.169545,0.6425,0.009757,0.9999,0.9975,1,25.0,1,0,0,5,1,0
128,TATASTEEL.NS,23.146,0.001028,-0.001839,0.00045,0.437213,0.5126,0.006779,0.9999,0.999,4,25.0,2,0,0,5,1,0
129,COFORGE.NS,34.885,0.001343,-0.003062,-1e-06,-0.000603,0.6053,0.012737,1.0,0.999,3,70.0,1,0,0,5,1,0
130,AXISBANK.NS,24.33,0.000851,-0.003126,-0.0006,-0.705002,0.1577,0.002575,1.0,0.9862,3,40.0,2,0,0,5,1,0
131,DLF.NS,24.33,0.001731,-0.001243,0.000221,0.127884,0.1777,0.002473,1.0,0.9891,3,40.0,3,0,0,5,1,0
133,COFORGE.NS,27.756,0.002981,-0.000252,0.000149,0.050086,0.9461,0.017337,1.0,0.9996,3,55.0,1,0,0,5,1,0
132,INFY.NS,29.654,0.00134,-0.014915,-1e-06,-0.000604,0.6519,0.012541,1.0,0.9992,3,70.0,11,0,0,5,1,0
135,COFORGE.NS,27.756,0.003969,-0.001924,0.000149,0.03762,0.9096,0.013309,1.0,0.9996,3,55.0,1,0,1,5,1,0
136,RELIANCE.NS,22.524,0.00069,-0.000562,0.000176,0.254431,0.2887,0.003555,1.0,0.9958,3,25.0,1,0,0,5,1,0
137,PAYTM.NS,27.756,0.004802,-0.000929,0.000149,0.031099,0.9606,0.014917,1.0,0.9996,3,55.0,1,0,1,5,1,0
138,COFORGE.NS,27.756,0.000906,-0.001882,-9.5e-05,-0.104836,0.95,0.015028,1.0,0.9996,3,55.0,3,0,0,5,1,0
139,POLICYBZR.NS,24.308,0.00496,-0.001292,0.00045,0.090647,0.8187,0.010353,1.0,0.9995,3,25.0,1,0,1,5,1,0
