rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_20_mfe
21,DEEPAKNTR.NS,29.25,0.001883,-0.001079,0.000149,0.079288,0.017,0.000208,0.05,0.5917,5,55.0,1,0,0,5,1,0
37,CDSL.NS,29.25,0.003745,-0.000861,0.00045,0.120054,0.0264,0.000279,0.05,0.6772,3,25.0,1,0,0,5,1,0
43,DEEPAKNTR.NS,29.25,0.001034,-0.000171,-0.000149,-0.143921,0.4114,0.007711,1.0,0.9985,4,55.0,1,0,0,5,1,0
73,ADANIPORTS.NS,29.25,0.004417,-0.000236,0.00045,0.101778,0.6866,0.011079,1.0,0.9995,4,25.0,1,0,0,5,1,0
96,POLICYBZR.NS,29.25,0.000576,-0.004512,-0.003469,-6.024894,0.525,0.009978,1.0,0.9965,4,70.0,3,0,0,5,1,0
142,JSWSTEEL.NS,29.25,0.002001,-0.001249,0.000149,0.074621,0.0444,0.00071,0.05,0.9077,5,55.0,1,0,0,5,1,0
161,SBIN.NS,29.25,0.001472,-0.002098,0.000149,0.10142,0.311,0.006007,1.0,0.9974,4,55.0,1,0,0,5,1,0
172,ONGC.NS,29.25,0.030992,-0.012688,-1e-06,-2.6e-05,0.0402,0.000766,0.05,0.8656,4,70.0,1,0,1,5,1,0
198,GODREJPROP.NS,29.25,0.003105,-0.002603,0.000299,0.096459,0.0405,0.000512,0.05,0.8305,3,40.0,1,0,0,5,1,0
219,GODREJPROP.NS,29.25,0.002191,-7.7e-05,0.000299,0.136649,0.0384,0.000565,0.05,0.8551,4,40.0,1,0,0,5,1,0
237,ADANIPORTS.NS,29.25,0.00474,-0.001348,0.000299,0.063178,0.0418,0.000584,0.05,0.8974,5,40.0,1,0,1,5,1,0
243,ADANIPORTS.NS,29.25,0.002148,-5.2e-05,0.000299,0.139405,0.023,0.000261,0.05,0.6794,4,40.0,1,0,0,5,1,0
254,ADANIENT.NS,29.25,0.000699,-0.000858,-0.0001,-0.143595,0.2581,0.004867,1.0,0.997,5,55.0,1,0,0,5,1,0
282,TCS.NS,29.25,0.002134,-0.000966,-1e-06,-0.000379,0.2047,0.00398,1.0,0.9769,4,70.0,1,0,0,5,1,0
