rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_20_mfe
21,DEEPAKNTR.NS,29.25,0.003697,-0.001079,0.000149,0.040388,0.017,0.000208,0.05,0.5917,5,55.0,5,0,0,5,1,0
36,CDSL.NS,29.25,0.003745,-0.001529,0.00045,0.120054,0.0264,0.000279,0.05,0.6766,3,25.0,5,0,0,5,1,0
41,DEEPAKNTR.NS,29.25,0.001034,-0.002184,-0.000149,-0.143921,0.4114,0.007711,1.0,0.9985,4,55.0,5,0,0,5,1,0
71,ADANIPORTS.NS,29.25,0.004417,-0.000236,0.00045,0.101778,0.6866,0.011079,1.0,0.9995,4,25.0,5,0,0,5,1,0
93,POLICYBZR.NS,29.25,0.000576,-0.004512,-0.003469,-6.024894,0.525,0.009978,1.0,0.9965,4,70.0,3,0,0,5,1,0
139,JSWSTEEL.NS,29.25,0.025338,-0.003666,0.000149,0.005893,0.0444,0.00071,0.05,0.9077,5,55.0,5,0,1,5,1,1
158,SBIN.NS,29.25,0.004949,-0.00689,0.000149,0.030173,0.311,0.006007,1.0,0.9974,4,55.0,5,0,0,5,1,0
169,ONGC.NS,29.25,0.030992,-0.01456,-1e-06,-2.6e-05,0.0402,0.000765,0.05,0.8653,4,70.0,5,0,1,5,1,0
193,GODREJPROP.NS,29.25,0.004186,-0.004823,0.000299,0.071537,0.0405,0.000512,0.05,0.8306,3,40.0,5,0,0,5,1,0
212,GODREJPROP.NS,29.25,0.013174,-7.7e-05,0.000299,0.02273,0.0384,0.000565,0.05,0.8551,4,40.0,5,0,1,5,1,1
227,ADANIPORTS.NS,29.25,0.00474,-0.003938,0.000299,0.063178,0.0418,0.000584,0.05,0.8974,5,40.0,5,0,0,5,1,0
230,NYKAA.NS,29.25,0.004347,-0.001169,0.000299,0.068893,0.0274,0.000361,0.05,0.7893,5,40.0,5,0,0,5,1,0
240,ADANIENT.NS,29.25,0.000699,-0.00208,-0.002416,-3.455679,0.2581,0.004867,1.0,0.997,5,55.0,3,0,0,5,1,0
268,TCS.NS,29.25,0.002134,-0.001865,-1e-06,-0.000379,0.2047,0.003979,1.0,0.9767,4,70.0,5,0,0,5,1,0
278,NYKAA.NS,29.25,0.022853,-0.008317,-2.3e-05,-0.001002,0.2332,0.004293,1.0,0.9909,2,40.0,5,0,1,5,1,0
