timestamp,price,quantity,subtype,side
1005,39996,98,CANCEL,BUY
1007,39998,81,TRADE,BUY
1011,39999,87,TRADE,BUY
1015,39998,97,NEW_ORDER,BUY
1017,39994,82,CANCEL,SELL
1018,39998,97,TRADE,SELL
1020,40000,93,CANCEL,SELL
1023,39996,90,CANCEL,SELL
1027,39999,95,NEW_ORDER,SELL
1029,40004,99,CANCEL,BUY
1030,40004,93,TRADE,BUY
1031,40008,82,TRADE,BUY
1034,40011,93,NEW_ORDER,SELL
1035,40010,96,TRADE,BUY
1039,40005,99,CANCEL,SELL
1040,40004,93,NEW_ORDER,SELL
1041,40000,97,NEW_ORDER,BUY
1045,40000,1040,CANCEL,SELL
1048,40003,99,TRADE,SELL
1053,40008,86,NEW_ORDER,BUY
1054,40007,720,TRADE,BUY
1057,40008,83,TRADE,BUY
1060,40006,84,TRADE,BUY
1063,40003,1040,CANCEL,BUY
1067,40003,85,NEW_ORDER,BUY
1072,40005,87,TRADE,BUY
1076,40001,89,CANCEL,BUY
1081,40001,87,CANCEL,BUY
1086,39999,87,TRADE,BUY
1090,39999,97,CANCEL,BUY
1091,39999,96,CANCEL,SELL
1096,40001,97,CANCEL,BUY
1097,39999,86,NEW_ORDER,SELL
1101,39994,90,TRADE,BUY
1106,39995,94,NEW_ORDER,SELL
1108,39993,93,TRADE,BUY
1111,39997,90,CANCEL,SELL
1114,39997,1040,TRADE,BUY
1118,40000,83,NEW_ORDER,SELL
1122,39997,91,TRADE,SELL
1124,39997,97,TRADE,BUY
1129,39995,96,NEW_ORDER,SELL
1134,39993,81,CANCEL,BUY
1138,39993,85,TRADE,BUY
1141,39990,98,CANCEL,SELL
1143,39986,89,TRADE,BUY
1146,39982,80,NEW_ORDER,BUY
1150,39983,85,CANCEL,BUY
1153,39981,89,TRADE,BUY
1156,39980,880,TRADE,BUY
1157,39984,98,TRADE,SELL
1160,39981,81,NEW_ORDER,SELL
1165,39985,94,NEW_ORDER,BUY
1168,39987,98,CANCEL,BUY
1170,39991,86,TRADE,BUY
1173,39992,98,TRADE,BUY
1177,39988,960,TRADE,BUY
1181,39989,82,CANCEL,SELL
1186,39986,94,CANCEL,BUY
1187,39988,94,TRADE,BUY
1188,39984,960,CANCEL,BUY
1193,39989,82,TRADE,BUY
1194,39986,87,TRADE,BUY
1195,39982,96,CANCEL,SELL
1200,39979,87,CANCEL,BUY
1204,39977,640,NEW_ORDER,SELL
1205,39980,84,CANCEL,BUY
1206,39984,96,TRADE,BUY
1211,39984,81,NEW_ORDER,SELL
1215,39980,96,CANCEL,BUY
1219,39977,97,TRADE,BUY
1224,39979,99,TRADE,BUY
1226,39977,90,CANCEL,SELL
1229,39976,89,TRADE,BUY
1232,39973,91,CANCEL,BUY
1233,39977,94,CANCEL,SELL
1237,39973,92,NEW_ORDER,SELL
1242,39969,83,CANCEL,SELL
1246,39974,87,CANCEL,BUY
1250,39969,92,CANCEL,SELL
1253,39972,1120,TRADE,SELL
1256,39976,92,NEW_ORDER,SELL
1257,39971,880,TRADE,BUY
1260,39966,97,TRADE,BUY
1265,39963,83,TRADE,BUY
1269,39962,94,NEW_ORDER,BUY
1274,39966,87,CANCEL,SELL
1278,39963,80,NEW_ORDER,BUY
1281,39966,94,CANCEL,BUY
1285,39962,98,TRADE,BUY
1288,39958,99,TRADE,BUY
1293,39954,960,TRADE,SELL
1298,39951,94,TRADE,SELL
1301,39946,87,TRADE,BUY
1304,39946,84,TRADE,SELL
1305,39949,80,TRADE,BUY
1307,39951,480,CANCEL,BUY
1311,39956,96,TRADE,SELL
1315,39960,81,CANCEL,SELL
1317,39961,85,NEW_ORDER,SELL
1320,39957,81,TRADE,BUY
1324,39955,93,CANCEL,BUY
1325,39952,880,TRADE,BUY
1330,39957,83,CANCEL,BUY
1335,39956,99,NEW_ORDER,BUY
1339,39957,91,NEW_ORDER,SELL
1341,39959,90,CANCEL,BUY
1346,39958,85,NEW_ORDER,BUY
1351,39955,94,CANCEL,SELL
1354,39956,400,TRADE,BUY
1357,39960,85,CANCEL,SELL
1359,39958,98,TRADE,BUY
1362,39954,84,NEW_ORDER,SELL
1367,39955,84,TRADE,BUY
1370,39955,94,NEW_ORDER,SELL
1374,39952,92,NEW_ORDER,SELL
1376,39952,1040,CANCEL,SELL
1377,39957,720,TRADE,SELL
1378,39956,87,NEW_ORDER,SELL
1382,39954,86,TRADE,BUY
1386,39954,90,TRADE,BUY
1388,39950,84,TRADE,BUY
1392,39945,80,TRADE,BUY
1397,39943,87,CANCEL,BUY
1401,39942,720,CANCEL,BUY
1403,39944,99,NEW_ORDER,SELL
1404,39944,90,CANCEL,SELL
1405,39948,94,NEW_ORDER,SELL
1410,39945,92,TRADE,BUY
1412,39948,89,NEW_ORDER,SELL
1415,39949,96,TRADE,SELL
1420,39946,98,CANCEL,SELL
1422,39945,89,TRADE,BUY
