timestamp,price,quantity,subtype,side
1003,40001,111,CANCEL,SELL
1008,40001,1000,CANCEL,SELL
1011,40003,105,TRADE,SELL
1016,40002,116,NEW_ORDER,BUY
1020,40002,103,CANCEL,BUY
1022,40003,106,CANCEL,SELL
1026,40002,106,TRADE,SELL
1027,40001,100,TRADE,SELL
1028,40000,103,TRADE,SELL
1032,40000,111,TRADE,SELL
1033,40001,600,TRADE,SELL
1035,40000,104,TRADE,SELL
1040,39999,115,TRADE,SELL
1042,39999,119,CANCEL,SELL
1044,40000,104,CANCEL,BUY
1047,40000,114,NEW_ORDER,SELL
1049,40001,114,TRADE,SELL
1053,40001,101,TRADE,SELL
1056,39998,1000,CANCEL,BUY
1059,39999,118,CANCEL,SELL
1061,39999,106,TRADE,SELL
1064,39998,109,TRADE,SELL
1066,39998,108,TRADE,SELL
1070,39996,113,CANCEL,SELL
1073,39996,107,CANCEL,BUY
1078,39995,700,TRADE,BUY
1082,39995,111,NEW_ORDER,BUY
1083,39993,108,NEW_ORDER,BUY
1087,39993,104,CANCEL,BUY
1089,39994,107,CANCEL,BUY
1094,39995,118,CANCEL,SELL
1098,39993,107,NEW_ORDER,SELL
1100,39995,700,NEW_ORDER,SELL
1105,39995,114,CANCEL,BUY
1108,39993,111,CANCEL,SELL
1113,39993,106,NEW_ORDER,BUY
1117,39991,102,CANCEL,SELL
1118,39991,115,TRADE,SELL
1121,39990,107,NEW_ORDER,BUY
1123,39988,113,NEW_ORDER,SELL
1127,39988,108,TRADE,BUY
1128,39987,116,NEW_ORDER,BUY
1130,39985,100,NEW_ORDER,BUY
1132,39986,100,TRADE,SELL
1137,39985,108,TRADE,SELL
1139,39985,102,NEW_ORDER,BUY
1144,39983,116,TRADE,SELL
1145,39981,108,NEW_ORDER,SELL
1149,39979,112,TRADE,SELL
1151,39979,117,CANCEL,BUY
1153,39980,1400,CANCEL,BUY
1157,39979,106,NEW_ORDER,BUY
1158,39978,105,TRADE,BUY
1162,39978,103,TRADE,SELL
1163,39977,112,TRADE,BUY
1168,39978,115,CANCEL,SELL
1172,39977,104,CANCEL,BUY
1176,39977,107,TRADE,SELL
1181,39974,104,TRADE,SELL
1182,39973,600,NEW_ORDER,BUY
1184,39973,102,NEW_ORDER,BUY
1188,39972,113,NEW_ORDER,BUY
1192,39973,102,TRADE,SELL
1193,39973,118,CANCEL,BUY
1197,39974,111,TRADE,SELL
1198,39973,119,CANCEL,SELL
1201,39973,118,TRADE,SELL
1204,39971,103,CANCEL,SELL
1205,39968,103,CANCEL,SELL
1208,39968,119,TRADE,BUY
1210,39967,104,CANCEL,SELL
1211,39968,110,CANCEL,SELL
1216,39966,101,CANCEL,SELL
1219,39965,500,CANCEL,SELL
1222,39965,600,CANCEL,SELL
1227,39964,103,TRADE,SELL
1231,39963,110,TRADE,SELL
1235,39964,109,NEW_ORDER,SELL
1240,39963,116,TRADE,BUY
1242,39964,119,CANCEL,BUY
1245,39963,119,TRADE,SELL
1248,39963,109,NEW_ORDER,SELL
1251,39961,109,NEW_ORDER,SELL
1254,39959,1300,CANCEL,BUY
1259,39957,102,NEW_ORDER,BUY
1261,39957,103,NEW_ORDER,SELL
1262,39957,102,CANCEL,SELL
1265,39957,117,TRADE,SELL
1270,39957,116,CANCEL,BUY
1273,39955,115,NEW_ORDER,BUY
1275,39955,112,CANCEL,BUY
1279,39955,102,CANCEL,BUY
1280,39954,117,NEW_ORDER,SELL
1283,39953,106,CANCEL,BUY
1288,39952,111,TRADE,SELL
1291,39952,101,CANCEL,BUY
1293,39950,101,TRADE,SELL
1294,39949,117,CANCEL,BUY
1297,39950,112,NEW_ORDER,SELL
1302,39948,101,TRADE,SELL
