timestamp,price,quantity,subtype,side
1004,40002,118,TRADE,BUY
1008,40004,101,TRADE,BUY
1010,40005,103,TRADE,BUY
1013,40007,105,NEW_ORDER,BUY
1018,40009,116,TRADE,BUY
1022,40009,500,TRADE,BUY
1027,40011,103,TRADE,BUY
1028,40010,118,TRADE,BUY
1031,40012,109,NEW_ORDER,BUY
1032,40014,102,NEW_ORDER,SELL
1035,40015,1400,NEW_ORDER,SELL
1036,40017,104,CANCEL,SELL
1039,40018,109,NEW_ORDER,SELL
1043,40019,114,TRADE,BUY
1046,40021,111,NEW_ORDER,SELL
1049,40019,116,NEW_ORDER,BUY
1053,40019,118,CANCEL,BUY
1056,40020,114,CANCEL,BUY
1057,40019,103,TRADE,BUY
1059,40019,106,CANCEL,SELL
1063,40018,109,CANCEL,SELL
1065,40019,107,CANCEL,SELL
1066,40020,103,CANCEL,SELL
1069,40021,107,NEW_ORDER,SELL
1071,40021,115,TRADE,SELL
1073,40021,101,TRADE,BUY
1076,40024,103,TRADE,BUY
1078,40024,117,TRADE,BUY
1083,40024,100,CANCEL,SELL
1088,40025,114,CANCEL,SELL
1093,40025,111,NEW_ORDER,SELL
1098,40026,108,CANCEL,SELL
1103,40027,102,NEW_ORDER,SELL
1104,40028,104,NEW_ORDER,BUY
1108,40030,107,CANCEL,SELL
1109,40029,900,CANCEL,BUY
1111,40030,103,CANCEL,SELL
1115,40029,1000,NEW_ORDER,BUY
1116,40030,110,CANCEL,BUY
1121,40032,112,CANCEL,SELL
1126,40034,102,CANCEL,SELL
1129,40033,102,CANCEL,BUY
1132,40033,114,CANCEL,BUY
1134,40032,108,CANCEL,BUY
1135,40032,103,TRADE,SELL
1139,40032,500,CANCEL,BUY
1141,40031,109,TRADE,BUY
1145,40030,119,NEW_ORDER,BUY
1150,40030,114,NEW_ORDER,BUY
1154,40029,101,TRADE,BUY
1156,40031,1100,NEW_ORDER,BUY
1157,40032,108,NEW_ORDER,SELL
1161,40031,104,TRADE,BUY
1164,40033,700,NEW_ORDER,SELL
1169,40036,1000,NEW_ORDER,BUY
1171,40038,110,TRADE,SELL
1176,40037,117,TRADE,BUY
1181,40039,113,CANCEL,BUY
1182,40039,109,CANCEL,BUY
1183,40038,108,NEW_ORDER,SELL
1187,40038,115,NEW_ORDER,SELL
1191,40039,102,CANCEL,BUY
1194,40041,100,CANCEL,BUY
1197,40043,109,TRADE,BUY
1202,40043,100,TRADE,BUY
1205,40043,117,TRADE,BUY
1208,40044,109,CANCEL,BUY
1211,40045,106,CANCEL,BUY
1215,40048,116,TRADE,SELL
1217,40047,105,TRADE,SELL
1220,40048,117,TRADE,BUY
1223,40048,113,TRADE,BUY
1226,40047,102,TRADE,BUY
1230,40048,107,TRADE,BUY
1233,40047,100,TRADE,BUY
