timestamp,price,quantity,subtype,side
1002,39998,53,TRADE,SELL
1003,40003,500,NEW_ORDER,SELL
1006,39994,54,CANCEL,SELL
1008,39996,65,TRADE,BUY
1009,39986,600,CANCEL,SELL
1011,39980,300,CANCEL,SELL
1014,39987,52,CANCEL,SELL
1016,39986,450,NEW_ORDER,BUY
1019,39985,56,TRADE,BUY
1020,39991,51,TRADE,BUY
1022,39990,60,TRADE,BUY
1024,39992,64,TRADE,SELL
1026,39992,66,TRADE,BUY
1029,39985,51,TRADE,SELL
1030,39989,52,CANCEL,SELL
1032,39991,51,CANCEL,SELL
1033,39993,250,TRADE,BUY
1035,39998,51,TRADE,SELL
1037,40004,50,NEW_ORDER,SELL
1038,39998,68,NEW_ORDER,SELL
1039,39997,61,TRADE,SELL
1042,39995,55,TRADE,SELL
1045,39995,68,NEW_ORDER,BUY
1046,40002,500,NEW_ORDER,BUY
1047,39999,55,TRADE,SELL
1048,40001,54,NEW_ORDER,BUY
1049,40001,52,TRADE,SELL
1051,39998,52,NEW_ORDER,SELL
1054,39997,69,NEW_ORDER,SELL
1055,40002,450,TRADE,BUY
1057,40009,59,TRADE,BUY
1060,40009,55,TRADE,BUY
1063,40009,58,TRADE,SELL
1066,40012,57,NEW_ORDER,BUY
1068,40003,53,NEW_ORDER,BUY
1071,39998,53,CANCEL,SELL
1074,39994,56,TRADE,BUY
1076,39997,65,TRADE,BUY
1078,39997,66,TRADE,BUY
1079,39998,51,TRADE,BUY
1081,39995,61,NEW_ORDER,BUY
1083,39994,350,CANCEL,BUY
1084,39996,65,CANCEL,SELL
1085,39995,54,TRADE,BUY
1086,39989,56,TRADE,SELL
1087,39996,55,CANCEL,BUY
1089,39995,51,CANCEL,BUY
1092,39996,52,NEW_ORDER,SELL
1094,39991,66,CANCEL,SELL
1096,39999,69,CANCEL,SELL
1097,40006,67,TRADE,BUY
1100,39997,58,TRADE,SELL
1101,39995,54,TRADE,BUY
1103,39987,54,CANCEL,SELL
1105,39992,69,NEW_ORDER,SELL
1108,39988,56,TRADE,SELL
1110,39996,650,NEW_ORDER,BUY
1113,39989,400,TRADE,BUY
1114,39990,69,NEW_ORDER,BUY
1117,39995,53,CANCEL,BUY
1120,39993,50,TRADE,BUY
1123,40001,53,TRADE,BUY
1126,40011,53,NEW_ORDER,SELL
1129,40007,52,TRADE,BUY
1132,40000,58,NEW_ORDER,SELL
1134,39994,54,NEW_ORDER,SELL
1135,39998,69,TRADE,SELL
1138,40002,65,TRADE,SELL
1139,39999,68,NEW_ORDER,SELL
1141,39995,54,TRADE,SELL
1143,40002,67,TRADE,BUY
1144,39995,58,TRADE,BUY
1145,39996,53,NEW_ORDER,BUY
1147,40001,62,NEW_ORDER,SELL
1148,40005,56,TRADE,BUY
1151,40004,65,TRADE,SELL
1152,40008,61,TRADE,SELL
1153,40005,58,TRADE,BUY
1155,40004,53,TRADE,SELL
1156,40001,58,CANCEL,BUY
1159,39999,51,CANCEL,SELL
1162,40005,500,TRADE,BUY
1164,40010,61,CANCEL,BUY
1165,40008,60,CANCEL,SELL
1167,40012,60,NEW_ORDER,BUY
1170,40016,54,TRADE,SELL
1173,40022,56,NEW_ORDER,BUY
1174,40019,550,TRADE,BUY
1176,40022,400,CANCEL,BUY
1177,40017,59,NEW_ORDER,SELL
1180,40008,63,CANCEL,SELL
1182,40002,69,TRADE,SELL
1185,39998,67,TRADE,SELL
1186,40006,51,CANCEL,BUY
1188,40012,59,CANCEL,BUY
1190,40012,56,TRADE,BUY
1193,40015,700,CANCEL,SELL
1194,40011,61,TRADE,BUY
1195,40003,57,CANCEL,SELL
1196,40006,53,NEW_ORDER,BUY
1198,40009,59,CANCEL,SELL
1201,40010,59,NEW_ORDER,SELL
1203,40017,53,CANCEL,BUY
1204,40020,58,CANCEL,SELL
1207,40014,54,TRADE,BUY
1209,40017,67,CANCEL,BUY
1211,40009,65,NEW_ORDER,BUY
1212,40007,58,TRADE,SELL
1213,40006,650,TRADE,SELL
1214,39999,60,TRADE,BUY
1215,40006,400,TRADE,BUY
1218,40008,51,TRADE,SELL
1219,40015,63,NEW_ORDER,BUY
1221,40011,700,TRADE,BUY
1224,40017,67,TRADE,BUY
1225,40024,51,CANCEL,BUY
1226,40032,57,TRADE,BUY
1227,40030,55,NEW_ORDER,SELL
1230,40034,68,NEW_ORDER,BUY
1233,40036,65,NEW_ORDER,SELL
1236,40040,60,CANCEL,BUY
1237,40036,66,NEW_ORDER,SELL
1240,40044,68,TRADE,SELL
1243,40039,63,TRADE,BUY
1244,40040,62,CANCEL,BUY
1245,40042,62,NEW_ORDER,BUY
1247,40052,59,TRADE,SELL
1250,40043,59,TRADE,BUY
1253,40047,62,NEW_ORDER,SELL
1256,40048,63,NEW_ORDER,SELL
1259,40056,61,TRADE,BUY
1260,40054,61,TRADE,BUY
1262,40058,51,TRADE,SELL
1264,40059,50,TRADE,BUY
1266,40057,65,TRADE,SELL
1269,40055,53,TRADE,SELL
1270,40058,53,CANCEL,SELL
1271,40054,51,CANCEL,SELL
1272,40052,450,CANCEL,SELL
1274,40045,54,NEW_ORDER,SELL
1276,40040,60,NEW_ORDER,SELL
1277,40041,59,TRADE,SELL
1279,40042,58,CANCEL,SELL
1281,40047,52,TRADE,BUY
1283,40042,64,TRADE,SELL
1286,40049,550,CANCEL,SELL
1287,40059,62,TRADE,BUY
1290,40058,58,NEW_ORDER,BUY
1293,40050,57,CANCEL,BUY
1296,40052,450,CANCEL,SELL
1299,40050,52,NEW_ORDER,BUY
1300,40051,58,CANCEL,BUY
1301,40056,67,CANCEL,BUY
1304,40064,61,NEW_ORDER,SELL
1306,40057,600,CANCEL,SELL
1307,40064,57,CANCEL,BUY
1309,40060,55,NEW_ORDER,SELL
1310,40065,69,TRADE,SELL
1313,40073,50,CANCEL,BUY
1316,40080,53,CANCEL,SELL
1318,40087,62,CANCEL,SELL
1320,40086,51,TRADE,SELL
1322,40087,62,NEW_ORDER,SELL
1325,40081,63,CANCEL,BUY
1328,40078,61,CANCEL,SELL
1329,40071,250,TRADE,BUY
1331,40071,54,NEW_ORDER,BUY
1332,40070,62,TRADE,BUY
1335,40074,55,NEW_ORDER,BUY
1338,40068,50,CANCEL,SELL
1340,40068,56,CANCEL,SELL
1342,40074,59,TRADE,SELL
1343,40080,66,TRADE,BUY
1344,40071,54,TRADE,SELL
1345,40071,66,NEW_ORDER,SELL
1347,40079,50,TRADE,SELL
1350,40087,65,CANCEL,BUY
1352,40079,50,NEW_ORDER,SELL
1353,40072,58,CANCEL,SELL
1354,40078,60,NEW_ORDER,BUY
1355,40075,64,CANCEL,SELL
1356,40081,55,TRADE,BUY
1359,40075,58,TRADE,BUY
1362,40073,64,TRADE,SELL
1364,40064,700,NEW_ORDER,BUY
1365,40061,51,NEW_ORDER,BUY
1366,40056,65,TRADE,BUY
1368,40046,62,CANCEL,SELL
1371,40053,59,TRADE,SELL
1374,40048,61,CANCEL,BUY
1376,40045,59,TRADE,BUY
1377,40042,55,CANCEL,BUY
1380,40042,59,TRADE,SELL
1381,40038,55,TRADE,SELL
1383,40038,52,TRADE,SELL
1384,40032,60,NEW_ORDER,BUY
1386,40023,50,CANCEL,SELL
1387,40022,54,TRADE,SELL
1388,40027,650,TRADE,SELL
1389,40024,350,TRADE,SELL
