timestamp,price,quantity,subtype,side
1004,40003,91,NEW_ORDER,BUY
1007,40005,82,NEW_ORDER,BUY
1011,40004,1120,TRADE,SELL
1015,40001,90,CANCEL,BUY
1019,39998,91,NEW_ORDER,SELL
1022,40000,95,NEW_ORDER,SELL
1026,40001,640,NEW_ORDER,SELL
1029,40003,800,TRADE,SELL
1031,39999,96,CANCEL,SELL
1033,40004,99,CANCEL,BUY
1034,40003,83,NEW_ORDER,BUY
1035,40004,95,NEW_ORDER,BUY
1036,40000,97,CANCEL,SELL
1037,40002,91,NEW_ORDER,SELL
1038,40003,89,CANCEL,BUY
1039,40007,83,TRADE,BUY
1040,40006,88,TRADE,BUY
1042,40003,98,NEW_ORDER,SELL
1044,40005,89,CANCEL,BUY
1048,40001,82,TRADE,BUY
1053,40003,96,TRADE,BUY
1055,40006,84,TRADE,BUY
1058,40009,82,CANCEL,BUY
1060,40011,400,NEW_ORDER,BUY
1064,40014,560,TRADE,BUY
1067,40016,88,TRADE,BUY
1068,40012,88,NEW_ORDER,BUY
1071,40011,84,TRADE,SELL
1074,40011,84,TRADE,BUY
1076,40014,92,NEW_ORDER,BUY
1078,40014,89,CANCEL,BUY
1083,40019,97,CANCEL,SELL
1085,40019,84,NEW_ORDER,SELL
1089,40019,95,TRADE,BUY
1090,40023,82,NEW_ORDER,BUY
1094,40023,82,TRADE,BUY
1099,40019,96,CANCEL,BUY
1103,40017,97,TRADE,BUY
1106,40017,97,TRADE,BUY
1110,40019,480,NEW_ORDER,SELL
1111,40022,90,NEW_ORDER,SELL
1112,40023,99,TRADE,BUY
1114,40026,82,CANCEL,SELL
1117,40027,94,CANCEL,SELL
1121,40030,98,TRADE,BUY
1122,40035,95,NEW_ORDER,SELL
1125,40033,83,CANCEL,BUY
1126,40033,81,CANCEL,SELL
1130,40036,99,NEW_ORDER,SELL
1133,40037,80,TRADE,BUY
1138,40036,92,CANCEL,BUY
1141,40037,92,TRADE,BUY
1146,40038,1120,CANCEL,SELL
1148,40040,97,NEW_ORDER,SELL
1153,40037,90,TRADE,BUY
1155,40036,85,NEW_ORDER,SELL
1157,40032,89,NEW_ORDER,SELL
1159,40029,480,TRADE,BUY
1163,40025,1040,NEW_ORDER,BUY
1165,40026,97,CANCEL,BUY
1167,40026,92,TRADE,BUY
1172,40028,99,NEW_ORDER,BUY
1177,40032,81,TRADE,BUY
1182,40028,86,TRADE,BUY
1185,40031,98,TRADE,BUY
1187,40029,91,NEW_ORDER,SELL
1188,40029,89,NEW_ORDER,SELL
1191,40032,89,NEW_ORDER,BUY
1194,40031,85,TRADE,BUY
1196,40029,93,TRADE,BUY
1201,40026,95,CANCEL,SELL
1203,40028,82,TRADE,SELL
1208,40026,82,CANCEL,SELL
1210,40023,880,NEW_ORDER,BUY
1213,40025,84,TRADE,BUY
1215,40024,95,TRADE,BUY
1217,40021,80,CANCEL,BUY
1220,40024,800,CANCEL,SELL
1224,40026,85,NEW_ORDER,BUY
1228,40023,97,TRADE,BUY
1231,40018,89,CANCEL,SELL
1234,40014,98,TRADE,BUY
1237,40015,85,TRADE,BUY
1239,40010,99,NEW_ORDER,SELL
1242,40014,88,NEW_ORDER,SELL
1246,40012,80,NEW_ORDER,SELL
1250,40015,81,NEW_ORDER,BUY
1253,40016,96,CANCEL,BUY
1258,40014,92,TRADE,BUY
1261,40013,85,NEW_ORDER,BUY
1266,40010,90,NEW_ORDER,SELL
1267,40014,97,CANCEL,SELL
1268,40016,87,NEW_ORDER,SELL
1272,40019,98,TRADE,BUY
1277,40016,82,CANCEL,BUY
1281,40016,960,NEW_ORDER,SELL
1286,40017,95,NEW_ORDER,SELL
1289,40015,93,TRADE,BUY
1294,40017,1120,NEW_ORDER,BUY
1295,40018,90,NEW_ORDER,BUY
1299,40022,84,TRADE,BUY
1304,40018,83,NEW_ORDER,SELL
1308,40016,400,TRADE,BUY
1309,40011,83,TRADE,BUY
1310,40014,88,TRADE,BUY
1313,40011,85,TRADE,BUY
1317,40008,91,TRADE,BUY
1321,40003,720,TRADE,SELL
1322,40007,97,CANCEL,SELL
1323,40010,97,CANCEL,SELL
1327,40007,86,TRADE,BUY
1328,40011,86,TRADE,BUY
1329,40016,90,TRADE,SELL
1332,40019,83,TRADE,BUY
1334,40016,96,TRADE,BUY
1336,40012,92,TRADE,BUY
1338,40011,84,TRADE,SELL
1342,40015,1040,CANCEL,SELL
1346,40014,90,NEW_ORDER,SELL
1350,40015,84,CANCEL,SELL
1355,40012,92,CANCEL,BUY
1360,40007,81,CANCEL,SELL
1364,40004,91,CANCEL,BUY
1366,40002,97,CANCEL,BUY
1369,40002,84,TRADE,BUY
1371,40004,91,NEW_ORDER,SELL
1374,40006,880,TRADE,BUY
1376,40009,91,NEW_ORDER,BUY
1381,40009,95,NEW_ORDER,SELL
1385,40005,85,CANCEL,SELL
1388,40001,91,NEW_ORDER,SELL
1392,40003,80,TRADE,SELL
1396,40003,83,NEW_ORDER,BUY
1400,40003,95,CANCEL,SELL
1404,39998,87,NEW_ORDER,SELL
1405,39996,87,TRADE,SELL
