timestamp,price,quantity,subtype,side
1002,40000,112,TRADE,BUY
1006,40000,119,TRADE,BUY
1007,40000,110,TRADE,BUY
1008,39999,109,TRADE,SELL
1012,39999,101,CANCEL,BUY
1017,39999,118,CANCEL,SELL
1018,39998,112,NEW_ORDER,BUY
1023,39997,103,TRADE,BUY
1028,39998,119,NEW_ORDER,SELL
1032,39998,104,NEW_ORDER,BUY
1037,39998,103,TRADE,BUY
1038,39998,106,TRADE,BUY
1039,39997,107,CANCEL,BUY
1042,39998,113,TRADE,BUY
1044,39997,108,CANCEL,SELL
1046,39997,100,TRADE,BUY
1050,39997,118,NEW_ORDER,SELL
1055,39997,108,CANCEL,BUY
1060,39996,104,CANCEL,BUY
1064,39997,100,TRADE,SELL
1065,39997,118,TRADE,SELL
1069,39997,112,CANCEL,BUY
1070,39996,110,TRADE,SELL
1071,39996,107,TRADE,BUY
1076,39996,103,CANCEL,SELL
1079,39997,109,TRADE,BUY
1084,39997,108,NEW_ORDER,BUY
1088,39996,101,TRADE,BUY
1090,39996,107,CANCEL,SELL
1094,39995,107,NEW_ORDER,BUY
1098,39995,1000,CANCEL,BUY
1099,39995,102,TRADE,BUY
1102,39995,112,TRADE,BUY
1105,39996,108,NEW_ORDER,SELL
1108,39996,116,CANCEL,SELL
1110,39997,115,TRADE,SELL
1112,39997,101,CANCEL,SELL
1117,39997,104,CANCEL,BUY
1121,39996,102,TRADE,BUY
1126,39997,108,TRADE,BUY
1130,39998,106,CANCEL,BUY
1134,39998,108,CANCEL,BUY
1139,39997,100,CANCEL,SELL
1144,39998,600,CANCEL,BUY
1148,39998,107,NEW_ORDER,SELL
1149,39998,103,TRADE,BUY
1151,39997,700,NEW_ORDER,SELL
1155,39998,700,CANCEL,BUY
1158,39998,116,NEW_ORDER,BUY
1161,39998,110,NEW_ORDER,SELL
1164,39998,118,TRADE,SELL
1168,39997,109,NEW_ORDER,BUY
1169,39998,109,TRADE,BUY
1170,39997,101,TRADE,SELL
1171,39997,108,NEW_ORDER,SELL
1174,39998,114,TRADE,BUY
1175,39998,108,TRADE,SELL
1180,39998,104,TRADE,SELL
1185,39998,115,NEW_ORDER,BUY
1189,39998,109,TRADE,SELL
1190,39998,100,NEW_ORDER,SELL
1195,39999,117,CANCEL,BUY
1199,40000,108,TRADE,SELL
1200,40000,800,TRADE,BUY
1202,40000,115,CANCEL,SELL
1206,40000,101,TRADE,BUY
1210,40000,1100,TRADE,SELL
1213,40000,600,TRADE,SELL
1215,40000,101,CANCEL,SELL
1217,40000,103,TRADE,SELL
1222,40000,109,NEW_ORDER,SELL
1223,40000,119,TRADE,SELL
1227,39999,114,NEW_ORDER,SELL
1229,39999,103,NEW_ORDER,SELL
1232,39998,104,CANCEL,SELL
1235,39998,112,CANCEL,BUY
1237,39998,114,CANCEL,SELL
1241,39997,101,NEW_ORDER,SELL
1242,39998,1200,TRADE,SELL
1247,39997,600,CANCEL,SELL
1251,39996,119,NEW_ORDER,SELL
1254,39996,112,CANCEL,BUY
1259,39996,108,NEW_ORDER,SELL
1260,39996,101,TRADE,SELL
1261,39996,115,TRADE,SELL
1265,39995,114,CANCEL,BUY
1269,39995,100,NEW_ORDER,BUY
1271,39995,113,NEW_ORDER,SELL
1274,39995,103,NEW_ORDER,SELL
1277,39995,102,CANCEL,SELL
1279,39994,102,CANCEL,BUY
1283,39994,700,CANCEL,BUY
1287,39993,115,NEW_ORDER,SELL
1288,39994,104,CANCEL,SELL
1289,39994,107,TRADE,BUY
1293,39994,1400,NEW_ORDER,BUY
1297,39993,108,NEW_ORDER,BUY
1301,39993,119,TRADE,BUY
1302,39992,117,NEW_ORDER,SELL
1304,39993,110,CANCEL,SELL
1305,39993,107,CANCEL,SELL
1307,39993,115,CANCEL,SELL
1309,39993,100,TRADE,SELL
1312,39993,112,CANCEL,BUY
1314,39992,110,NEW_ORDER,BUY
1316,39991,102,TRADE,BUY
1320,39992,109,TRADE,SELL
1321,39992,1100,NEW_ORDER,SELL
1323,39992,109,NEW_ORDER,BUY
1327,39992,119,CANCEL,BUY
1331,39993,115,TRADE,BUY
1332,39992,119,CANCEL,BUY
1333,39993,107,TRADE,SELL
1334,39993,106,TRADE,BUY
1335,39994,112,CANCEL,BUY
1339,39994,102,CANCEL,SELL
1340,39994,115,NEW_ORDER,BUY
1342,39994,101,NEW_ORDER,BUY
1345,39993,1400,TRADE,SELL
1346,39993,104,TRADE,SELL
1351,39993,110,TRADE,BUY
1352,39994,110,NEW_ORDER,SELL
1356,39993,105,CANCEL,BUY
1361,39994,113,CANCEL,SELL
1365,39995,114,CANCEL,BUY
1370,39994,119,TRADE,SELL
1373,39994,113,TRADE,BUY
1375,39993,102,NEW_ORDER,SELL
1376,39993,111,TRADE,BUY
1378,39992,108,TRADE,BUY
1380,39992,115,CANCEL,BUY
1383,39992,107,NEW_ORDER,SELL
1385,39991,115,CANCEL,SELL
1390,39990,101,CANCEL,BUY
1392,39991,110,NEW_ORDER,BUY
1397,39992,105,CANCEL,SELL
1400,39992,107,NEW_ORDER,BUY
1402,39992,105,CANCEL,SELL
1403,39993,103,NEW_ORDER,BUY
1408,39992,119,TRADE,SELL
1413,39991,111,NEW_ORDER,BUY
1415,39992,100,NEW_ORDER,SELL
1417,39991,113,CANCEL,SELL
1418,39992,114,TRADE,BUY
1420,39992,110,NEW_ORDER,SELL
1421,39992,100,CANCEL,BUY
1422,39992,119,TRADE,SELL
1423,39991,118,CANCEL,BUY
1425,39991,115,NEW_ORDER,SELL
1429,39991,700,TRADE,BUY
1433,39991,113,TRADE,BUY
1437,39991,104,NEW_ORDER,BUY
1438,39991,116,TRADE,SELL
1441,39992,107,NEW_ORDER,SELL
1443,39992,105,NEW_ORDER,SELL
1444,39992,100,NEW_ORDER,SELL
1447,39991,106,CANCEL,BUY
1451,39992,117,CANCEL,SELL
1453,39992,106,CANCEL,BUY
1458,39993,900,TRADE,BUY
1462,39993,115,TRADE,SELL
1466,39993,105,TRADE,SELL
1468,39992,104,CANCEL,BUY
1473,39993,111,CANCEL,SELL
1477,39993,105,CANCEL,BUY
1481,39993,109,TRADE,BUY
1483,39993,115,TRADE,SELL
1488,39993,113,CANCEL,BUY
1490,39994,118,TRADE,BUY
1492,39994,116,CANCEL,SELL
1494,39995,1300,NEW_ORDER,BUY
1496,39995,115,CANCEL,BUY
1501,39995,103,CANCEL,BUY
1505,39995,110,TRADE,SELL
1506,39995,110,CANCEL,BUY
1508,39995,110,TRADE,SELL
1512,39995,107,NEW_ORDER,SELL
1516,39996,105,CANCEL,SELL
1519,39996,117,CANCEL,BUY
1523,39997,101,CANCEL,SELL
1526,39998,116,TRADE,SELL
1528,39997,113,NEW_ORDER,SELL
1530,39997,115,TRADE,BUY
1534,39996,117,TRADE,SELL
1538,39997,117,TRADE,BUY
