timestamp,price,quantity,subtype,side
1001,40001,117,CANCEL,SELL
1003,40002,102,CANCEL,SELL
1006,40003,103,TRADE,BUY
1008,40002,110,CANCEL,SELL
1009,40003,100,TRADE,SELL
1014,40003,117,CANCEL,BUY
1015,40002,107,TRADE,SELL
1018,40004,108,CANCEL,BUY
1023,40004,118,NEW_ORDER,SELL
1025,40005,108,CANCEL,BUY
1026,40002,101,TRADE,SELL
1028,40001,1100,NEW_ORDER,BUY
1029,40001,103,TRADE,SELL
1030,39999,106,CANCEL,SELL
1031,39997,100,TRADE,SELL
1036,39996,105,CANCEL,BUY
1038,39996,600,TRADE,SELL
1042,39996,108,CANCEL,SELL
1046,39995,107,CANCEL,BUY
1048,39994,104,CANCEL,SELL
1051,39995,111,CANCEL,SELL
1052,39995,119,NEW_ORDER,BUY
1056,39994,101,NEW_ORDER,SELL
1058,39995,116,CANCEL,BUY
1063,39994,112,NEW_ORDER,BUY
1067,39994,100,TRADE,SELL
1069,39993,116,NEW_ORDER,SELL
1073,39994,114,NEW_ORDER,BUY
1074,39993,105,NEW_ORDER,BUY
1078,39994,100,TRADE,SELL
1082,39994,117,CANCEL,BUY
1086,39993,107,TRADE,SELL
1087,39993,116,NEW_ORDER,SELL
1090,39992,111,TRADE,BUY
1093,39990,116,CANCEL,BUY
1098,39991,114,TRADE,SELL
1101,39989,101,NEW_ORDER,SELL
1105,39991,118,CANCEL,BUY
1109,39989,115,TRADE,SELL
1111,39987,113,NEW_ORDER,SELL
1113,39986,109,CANCEL,SELL
1115,39986,116,NEW_ORDER,SELL
1116,39986,108,TRADE,SELL
1121,39987,116,NEW_ORDER,SELL
1124,39987,111,CANCEL,BUY
1129,39987,1400,TRADE,SELL
1134,39986,700,NEW_ORDER,SELL
1136,39986,116,NEW_ORDER,BUY
1141,39984,107,NEW_ORDER,SELL
1144,39982,107,TRADE,SELL
1148,39981,111,TRADE,BUY
1149,39980,111,NEW_ORDER,BUY
1152,39980,103,NEW_ORDER,BUY
1157,39978,114,CANCEL,SELL
1161,39979,112,CANCEL,BUY
1162,39977,116,CANCEL,BUY
1163,39978,102,NEW_ORDER,SELL
1167,39977,102,TRADE,SELL
1172,39978,114,CANCEL,SELL
1176,39977,118,NEW_ORDER,SELL
1179,39978,100,CANCEL,SELL
1181,39976,109,TRADE,SELL
1182,39976,108,TRADE,BUY
1186,39976,110,NEW_ORDER,BUY
1188,39974,106,TRADE,SELL
1189,39972,107,TRADE,SELL
1194,39971,110,CANCEL,SELL
1199,39969,107,TRADE,SELL
1202,39970,100,CANCEL,SELL
1205,39968,114,NEW_ORDER,SELL
1207,39968,105,NEW_ORDER,SELL
1209,39969,118,CANCEL,SELL
1214,39967,111,TRADE,BUY
1216,39966,104,NEW_ORDER,SELL
1217,39966,113,TRADE,BUY
1222,39965,105,CANCEL,BUY
1226,39964,1400,TRADE,SELL
1230,39965,111,NEW_ORDER,BUY
1232,39963,103,NEW_ORDER,SELL
1237,39964,119,NEW_ORDER,SELL
1239,39965,100,CANCEL,SELL
1240,39964,107,CANCEL,SELL
1243,39963,113,NEW_ORDER,BUY
1244,39963,108,TRADE,SELL
1248,39962,110,TRADE,SELL
1251,39962,108,NEW_ORDER,SELL
1256,39962,106,TRADE,SELL
1259,39961,1000,NEW_ORDER,BUY
1260,39961,103,NEW_ORDER,BUY
1261,39959,106,CANCEL,BUY
1266,39959,106,CANCEL,BUY
1267,39957,100,TRADE,SELL
1270,39957,115,TRADE,SELL
1275,39955,104,TRADE,SELL
1280,39954,116,CANCEL,SELL
1282,39955,107,CANCEL,SELL
1287,39955,118,NEW_ORDER,BUY
1288,39955,118,TRADE,SELL
1290,39954,700,CANCEL,BUY
1292,39953,107,TRADE,SELL
1294,39952,112,TRADE,BUY
1297,39950,107,TRADE,SELL
1300,39948,119,CANCEL,BUY
1302,39948,103,NEW_ORDER,BUY
1307,39947,104,CANCEL,SELL
1308,39945,112,TRADE,SELL
1313,39943,116,NEW_ORDER,BUY
1316,39942,116,NEW_ORDER,SELL
1319,39939,105,NEW_ORDER,BUY
1322,39938,119,CANCEL,BUY
1327,39938,100,TRADE,SELL
1328,39936,110,NEW_ORDER,BUY
1333,39935,100,NEW_ORDER,BUY
1337,39934,108,TRADE,SELL
1339,39932,102,TRADE,SELL
1342,39933,107,CANCEL,BUY
1343,39935,106,TRADE,SELL
1348,39936,109,TRADE,SELL
1350,39936,117,TRADE,SELL
1353,39934,111,TRADE,SELL
1355,39935,102,TRADE,BUY
1359,39935,106,CANCEL,SELL
1364,39936,119,TRADE,BUY
1367,39938,100,NEW_ORDER,SELL
1370,39938,101,CANCEL,BUY
1371,39939,117,TRADE,SELL
1373,39937,114,TRADE,SELL
1378,39938,117,CANCEL,BUY
1381,39937,117,TRADE,SELL
1383,39935,1400,CANCEL,BUY
1388,39933,111,TRADE,SELL
1389,39933,100,CANCEL,BUY
1390,39933,106,TRADE,SELL
1392,39933,114,NEW_ORDER,BUY
1395,39934,108,CANCEL,SELL
1400,39936,115,TRADE,SELL
1401,39935,113,TRADE,BUY
1404,39935,107,CANCEL,SELL
1405,39935,108,CANCEL,SELL
1408,39935,110,TRADE,SELL
1411,39934,108,CANCEL,BUY
1412,39936,600,NEW_ORDER,BUY
1414,39934,111,NEW_ORDER,BUY
1418,39935,108,CANCEL,BUY
1422,39935,106,NEW_ORDER,SELL
1427,39935,117,NEW_ORDER,SELL
1428,39933,110,TRADE,SELL
1430,39931,119,CANCEL,SELL
1435,39930,103,NEW_ORDER,SELL
1438,39928,110,NEW_ORDER,SELL
1441,39928,110,TRADE,SELL
1445,39925,106,TRADE,SELL
1449,39925,105,NEW_ORDER,SELL
1453,39926,115,TRADE,SELL
