timestamp,price,quantity,subtype,side
1002,40002,106,CANCEL,BUY
1007,40004,500,TRADE,BUY
1011,40003,114,CANCEL,SELL
1015,40003,100,NEW_ORDER,BUY
1020,40005,115,TRADE,BUY
1021,40007,111,CANCEL,SELL
1026,40007,118,CANCEL,SELL
1030,40008,115,TRADE,BUY
1033,40007,114,NEW_ORDER,BUY
1037,40007,109,CANCEL,SELL
1042,40006,119,TRADE,SELL
1045,40007,103,TRADE,BUY
1049,40006,112,CANCEL,SELL
1051,40007,103,CANCEL,BUY
1053,40010,116,CANCEL,SELL
1055,40011,115,CANCEL,SELL
1060,40012,102,CANCEL,SELL
1061,40011,109,CANCEL,BUY
1065,40013,114,TRADE,BUY
1068,40014,102,CANCEL,SELL
1069,40016,101,CANCEL,BUY
1071,40015,112,TRADE,BUY
1076,40015,114,TRADE,BUY
1081,40016,104,NEW_ORDER,SELL
1082,40019,109,CANCEL,BUY
1084,40018,101,CANCEL,SELL
1089,40020,113,NEW_ORDER,BUY
1091,40021,113,CANCEL,SELL
1094,40022,600,CANCEL,BUY
1097,40021,102,NEW_ORDER,BUY
1099,40022,104,CANCEL,SELL
1101,40023,800,CANCEL,BUY
1106,40025,103,TRADE,BUY
1107,40027,107,CANCEL,SELL
1111,40027,113,CANCEL,BUY
1115,40028,118,NEW_ORDER,SELL
1116,40030,500,TRADE,SELL
1120,40033,110,NEW_ORDER,SELL
1121,40033,1000,CANCEL,SELL
1124,40033,117,TRADE,BUY
1125,40033,107,CANCEL,BUY
1130,40036,116,NEW_ORDER,SELL
1133,40036,104,NEW_ORDER,BUY
1138,40038,116,TRADE,SELL
1139,40040,109,TRADE,BUY
1140,40041,500,CANCEL,SELL
1144,40040,104,NEW_ORDER,SELL
1147,40040,115,CANCEL,SELL
1149,40039,117,NEW_ORDER,SELL
1150,40038,103,NEW_ORDER,SELL
1151,40040,107,CANCEL,BUY
1156,40040,108,TRADE,SELL
1160,40041,100,TRADE,BUY
1164,40043,104,CANCEL,BUY
1165,40044,119,CANCEL,BUY
1167,40044,105,NEW_ORDER,SELL
1171,40043,103,CANCEL,BUY
1174,40044,102,NEW_ORDER,SELL
1178,40045,900,TRADE,BUY
1182,40047,118,CANCEL,BUY
1185,40049,800,NEW_ORDER,BUY
1188,40048,103,TRADE,BUY
1192,40047,101,CANCEL,SELL
1196,40047,118,TRADE,BUY
1201,40047,110,NEW_ORDER,BUY
1202,40046,500,TRADE,BUY
1205,40045,109,TRADE,BUY
1209,40046,114,TRADE,BUY
1213,40045,102,CANCEL,BUY
1215,40043,103,TRADE,SELL
1219,40044,110,NEW_ORDER,SELL
1222,40045,116,TRADE,SELL
1223,40047,100,NEW_ORDER,SELL
1224,40049,100,CANCEL,BUY
1227,40051,1400,CANCEL,BUY
1230,40049,108,TRADE,BUY
1234,40050,112,NEW_ORDER,SELL
1239,40052,112,TRADE,BUY
1241,40051,116,TRADE,BUY
1245,40052,111,NEW_ORDER,BUY
1247,40054,100,CANCEL,BUY
1251,40054,119,TRADE,BUY
1255,40053,116,CANCEL,SELL
1259,40054,109,TRADE,BUY
1261,40056,115,TRADE,SELL
1263,40056,114,CANCEL,BUY
1268,40055,110,NEW_ORDER,BUY
1273,40055,111,NEW_ORDER,SELL
1278,40055,102,TRADE,SELL
1283,40057,116,TRADE,SELL
1286,40058,101,CANCEL,BUY
1291,40060,105,CANCEL,SELL
1292,40062,104,CANCEL,SELL
1295,40063,118,TRADE,BUY
1297,40063,108,TRADE,BUY
1302,40065,114,NEW_ORDER,BUY
1306,40066,119,CANCEL,BUY
1311,40065,114,NEW_ORDER,SELL
1314,40065,119,TRADE,SELL
1316,40066,106,CANCEL,SELL
1320,40067,118,CANCEL,BUY
1322,40068,113,TRADE,BUY
1325,40070,110,CANCEL,SELL
1328,40070,108,NEW_ORDER,BUY
1330,40071,111,TRADE,SELL
1335,40071,107,TRADE,BUY
1339,40070,119,NEW_ORDER,SELL
1342,40069,110,NEW_ORDER,BUY
1345,40071,103,TRADE,BUY
1347,40070,118,CANCEL,BUY
1350,40072,110,NEW_ORDER,BUY
1354,40074,103,NEW_ORDER,BUY
1356,40072,107,CANCEL,BUY
1359,40071,101,TRADE,BUY
1361,40070,108,TRADE,BUY
1364,40069,111,TRADE,SELL
1365,40068,119,CANCEL,SELL
1367,40067,119,CANCEL,BUY
1371,40067,117,CANCEL,SELL
1375,40066,109,NEW_ORDER,BUY
1376,40067,110,NEW_ORDER,BUY
1380,40068,102,CANCEL,SELL
1384,40069,115,NEW_ORDER,SELL
1387,40070,111,CANCEL,BUY
1390,40069,101,CANCEL,BUY
1394,40069,118,TRADE,BUY
1399,40069,105,CANCEL,SELL
1401,40072,114,TRADE,BUY
1404,40071,103,TRADE,BUY
1407,40072,109,TRADE,SELL
1410,40071,117,NEW_ORDER,SELL
1411,40071,1100,NEW_ORDER,BUY
1415,40070,110,TRADE,SELL
1420,40069,119,TRADE,BUY
1424,40069,111,NEW_ORDER,BUY
1428,40068,104,NEW_ORDER,SELL
1432,40070,1200,TRADE,BUY
1436,40070,104,NEW_ORDER,BUY
1437,40071,109,TRADE,BUY
1439,40071,109,TRADE,SELL
1444,40071,112,NEW_ORDER,BUY
1449,40070,111,TRADE,BUY
1450,40072,106,CANCEL,BUY
1454,40073,103,CANCEL,BUY
1457,40075,119,NEW_ORDER,BUY
1460,40074,102,TRADE,BUY
1464,40075,116,CANCEL,SELL
1465,40074,109,CANCEL,BUY
1469,40073,700,NEW_ORDER,BUY
1471,40075,500,NEW_ORDER,SELL
1476,40076,116,NEW_ORDER,BUY
1481,40075,110,TRADE,BUY
1484,40074,108,NEW_ORDER,SELL
1487,40073,118,TRADE,BUY
1492,40071,117,CANCEL,SELL
1493,40073,118,TRADE,BUY
1498,40075,102,TRADE,BUY
1501,40075,109,NEW_ORDER,SELL
1503,40077,109,CANCEL,BUY
1506,40079,500,CANCEL,SELL
1509,40079,100,TRADE,BUY
1511,40079,105,TRADE,BUY
1514,40079,116,CANCEL,SELL
1517,40081,110,NEW_ORDER,BUY
1520,40080,108,TRADE,SELL
1524,40080,116,TRADE,SELL
1527,40080,110,TRADE,BUY
1529,40080,111,CANCEL,BUY
1532,40081,117,TRADE,SELL
1536,40081,115,TRADE,BUY
1541,40081,112,CANCEL,BUY
1544,40083,109,NEW_ORDER,SELL
1549,40083,118,CANCEL,SELL
1550,40082,119,NEW_ORDER,BUY
1554,40084,107,CANCEL,SELL
1555,40085,110,TRADE,SELL
1559,40086,108,TRADE,BUY
1564,40086,104,CANCEL,SELL
1569,40086,118,NEW_ORDER,SELL
1572,40086,118,NEW_ORDER,SELL
1577,40086,103,NEW_ORDER,BUY
1580,40087,105,NEW_ORDER,BUY
1584,40086,113,TRADE,BUY
1585,40087,109,TRADE,BUY
1587,40087,116,TRADE,SELL
1589,40088,105,CANCEL,SELL
1590,40088,114,NEW_ORDER,BUY
1591,40088,115,TRADE,BUY
1596,40089,113,NEW_ORDER,BUY
1599,40091,113,CANCEL,SELL
1602,40090,111,CANCEL,SELL
1607,40092,115,NEW_ORDER,BUY
1610,40093,109,CANCEL,SELL
1613,40093,113,TRADE,SELL
1617,40092,109,NEW_ORDER,SELL
1619,40093,107,TRADE,BUY
1624,40093,100,TRADE,BUY
1629,40095,104,NEW_ORDER,BUY
1631,40094,108,NEW_ORDER,SELL
1633,40097,105,CANCEL,SELL
