timestamp,price,quantity,subtype,side
1002,39994,59,NEW_ORDER,SELL
1005,39991,53,CANCEL,BUY
1006,39997,51,CANCEL,SELL
1007,40005,61,NEW_ORDER,SELL
1009,40003,54,CANCEL,BUY
1010,40004,66,CANCEL,BUY
1011,40004,59,NEW_ORDER,BUY
1014,40008,63,TRADE,SELL
1017,39999,57,NEW_ORDER,SELL
1020,39992,56,TRADE,BUY
1022,40000,65,NEW_ORDER,SELL
1025,39994,59,NEW_ORDER,BUY
1027,39988,55,TRADE,SELL
1030,39984,55,TRADE,BUY
1032,39985,52,NEW_ORDER,SELL
1033,39978,64,TRADE,BUY
1036,39981,67,TRADE,SELL
1038,39972,65,NEW_ORDER,BUY
1040,39974,61,TRADE,SELL
1041,39984,350,NEW_ORDER,BUY
1044,39993,59,TRADE,BUY
1047,39985,54,CANCEL,BUY
1049,39992,62,TRADE,SELL
1050,39986,64,NEW_ORDER,SELL
1051,39978,64,NEW_ORDER,BUY
1052,39983,57,TRADE,SELL
1053,39992,650,CANCEL,SELL
1054,39986,55,TRADE,SELL
1057,39989,58,TRADE,SELL
1058,39997,64,NEW_ORDER,SELL
1060,39999,57,TRADE,SELL
1063,39997,250,CANCEL,BUY
1065,39989,67,TRADE,BUY
1066,39980,59,NEW_ORDER,SELL
1068,39971,58,NEW_ORDER,BUY
1070,39970,58,CANCEL,SELL
1072,39963,56,TRADE,SELL
1075,39970,250,TRADE,BUY
1076,39978,57,TRADE,SELL
1079,39968,550,TRADE,BUY
1081,39963,52,NEW_ORDER,SELL
1084,39958,250,CANCEL,SELL
1087,39966,62,TRADE,SELL
1090,39969,52,NEW_ORDER,SELL
1092,39967,60,TRADE,SELL
1094,39970,69,NEW_ORDER,BUY
1095,39979,51,CANCEL,BUY
1096,39986,60,CANCEL,SELL
1098,39989,59,TRADE,BUY
1101,39980,52,TRADE,SELL
1102,39972,61,CANCEL,BUY
1104,39982,56,TRADE,SELL
1107,39991,62,NEW_ORDER,SELL
1108,39998,69,TRADE,BUY
1110,39990,69,NEW_ORDER,BUY
1113,39983,61,CANCEL,SELL
1115,39979,50,NEW_ORDER,SELL
1116,39976,53,TRADE,BUY
