timestamp,price,quantity,subtype,side
1005,39997,85,NEW_ORDER,BUY
1006,39995,89,TRADE,BUY
1010,39993,97,CANCEL,BUY
1013,39995,98,TRADE,BUY
1015,39997,85,TRADE,BUY
1018,40001,87,NEW_ORDER,BUY
1023,40002,80,NEW_ORDER,BUY
1026,40003,86,NEW_ORDER,BUY
1028,40007,83,TRADE,BUY
1030,40005,97,TRADE,BUY
1033,40000,81,TRADE,BUY
1035,39996,93,TRADE,BUY
1040,39992,93,CANCEL,SELL
1044,39992,89,NEW_ORDER,SELL
1046,39993,97,CANCEL,SELL
1049,39993,82,TRADE,BUY
1053,39991,84,TRADE,BUY
1058,39995,82,CANCEL,BUY
1059,39990,95,CANCEL,BUY
1062,39994,92,NEW_ORDER,SELL
1065,39994,640,TRADE,BUY
1068,39995,81,CANCEL,SELL
1073,39995,91,CANCEL,SELL
1077,39999,88,TRADE,BUY
1078,39995,92,CANCEL,SELL
1083,39997,80,NEW_ORDER,SELL
1085,39993,96,TRADE,BUY
1090,39997,88,NEW_ORDER,BUY
1091,39996,91,NEW_ORDER,SELL
1096,39993,85,CANCEL,SELL
1099,39995,94,CANCEL,SELL
1103,39993,97,CANCEL,BUY
1108,39996,720,NEW_ORDER,BUY
1112,39996,89,TRADE,BUY
1114,39997,87,CANCEL,BUY
1119,39993,92,TRADE,SELL
1124,39992,83,TRADE,BUY
1128,39997,93,NEW_ORDER,SELL
1132,39994,90,CANCEL,SELL
1133,39990,83,CANCEL,BUY
1137,39995,82,TRADE,BUY
1142,39994,480,CANCEL,BUY
1146,39995,83,TRADE,SELL
1149,39994,83,CANCEL,SELL
1154,39991,81,CANCEL,BUY
1159,39991,82,TRADE,BUY
1160,39996,88,TRADE,BUY
1165,39991,95,CANCEL,BUY
1169,39990,87,CANCEL,SELL
1171,39992,87,CANCEL,SELL
1175,39990,86,NEW_ORDER,BUY
1178,39991,81,NEW_ORDER,BUY
1180,39987,89,TRADE,BUY
1183,39988,83,TRADE,BUY
1184,39988,86,NEW_ORDER,BUY
1189,39990,98,CANCEL,SELL
1190,39987,81,TRADE,BUY
1192,39984,91,CANCEL,SELL
1194,39989,82,NEW_ORDER,SELL
1197,39993,91,NEW_ORDER,BUY
1202,39996,880,TRADE,SELL
1207,40001,88,CANCEL,BUY
1209,39996,98,CANCEL,SELL
1210,39996,83,NEW_ORDER,SELL
1211,39992,89,CANCEL,BUY
1213,39993,1040,TRADE,BUY
1218,39997,97,TRADE,BUY
1219,39993,95,TRADE,BUY
1220,39997,87,TRADE,BUY
1225,39993,90,TRADE,BUY
1230,39997,84,TRADE,BUY
1231,39998,85,NEW_ORDER,SELL
1234,39996,93,NEW_ORDER,BUY
1235,40000,82,NEW_ORDER,BUY
1240,40005,96,CANCEL,BUY
1241,40002,640,CANCEL,BUY
1242,39998,81,NEW_ORDER,SELL
1245,40003,90,CANCEL,SELL
1246,40003,95,NEW_ORDER,SELL
1247,39999,92,NEW_ORDER,BUY
1251,40000,98,TRADE,BUY
1253,40003,1120,CANCEL,BUY
1258,40006,87,TRADE,BUY
1263,40003,94,TRADE,BUY
1268,40003,99,NEW_ORDER,SELL
1270,40006,86,CANCEL,BUY
1274,40007,99,NEW_ORDER,SELL
1277,40011,89,NEW_ORDER,SELL
1279,40012,91,TRADE,BUY
1283,40011,96,TRADE,BUY
1287,40011,89,NEW_ORDER,SELL
1290,40008,92,CANCEL,SELL
1295,40007,91,CANCEL,SELL
1299,40011,88,TRADE,BUY
1304,40010,87,NEW_ORDER,BUY
1306,40010,87,TRADE,BUY
1308,40006,94,NEW_ORDER,SELL
1311,40004,81,NEW_ORDER,SELL
1312,40003,89,TRADE,BUY
1314,40004,91,NEW_ORDER,BUY
1318,40001,81,CANCEL,SELL
1323,39998,720,CANCEL,BUY
1326,39999,89,TRADE,BUY
1330,39995,96,CANCEL,SELL
1331,39996,1120,TRADE,BUY
1333,39996,96,TRADE,BUY
1338,39991,81,TRADE,BUY
1342,39987,85,TRADE,BUY
1343,39986,81,TRADE,SELL
1348,39982,89,TRADE,BUY
1352,39979,93,TRADE,BUY
1354,39977,93,TRADE,BUY
1357,39972,93,NEW_ORDER,BUY
1361,39975,92,TRADE,BUY
1363,39972,99,TRADE,BUY
1364,39970,95,CANCEL,SELL
1367,39969,97,NEW_ORDER,BUY
1372,39966,88,TRADE,BUY
1373,39970,93,TRADE,SELL
1375,39970,400,TRADE,BUY
1376,39965,85,CANCEL,BUY
1377,39962,96,TRADE,SELL
1380,39964,98,NEW_ORDER,BUY
1382,39964,98,NEW_ORDER,BUY
1383,39967,86,CANCEL,SELL
1387,39969,83,NEW_ORDER,BUY
1390,39970,95,TRADE,BUY
1393,39973,94,NEW_ORDER,SELL
1397,39968,720,TRADE,BUY
1402,39971,84,TRADE,BUY
1407,39969,84,TRADE,BUY
1410,39968,87,CANCEL,BUY
1415,39965,88,NEW_ORDER,BUY
1420,39962,1120,NEW_ORDER,BUY
1422,39966,89,TRADE,BUY
1427,39965,83,CANCEL,SELL
1430,39963,81,TRADE,BUY
1435,39966,90,TRADE,BUY
1438,39967,90,TRADE,BUY
1440,39970,81,TRADE,SELL
1445,39974,90,TRADE,BUY
1450,39977,83,TRADE,BUY
1453,39981,92,TRADE,BUY
1455,39976,92,TRADE,SELL
1459,39977,91,TRADE,SELL
1461,39979,96,TRADE,BUY
1466,39979,90,TRADE,BUY
1467,39976,86,NEW_ORDER,SELL
1472,39975,92,TRADE,SELL
1475,39978,400,CANCEL,BUY
1478,39980,960,TRADE,BUY
1479,39979,97,TRADE,BUY
1480,39977,92,CANCEL,SELL
1485,39981,87,TRADE,SELL
1486,39978,94,NEW_ORDER,SELL
1489,39982,80,NEW_ORDER,SELL
1494,39980,85,NEW_ORDER,SELL
1498,39978,97,NEW_ORDER,BUY
1501,39978,89,TRADE,SELL
1503,39982,95,TRADE,BUY
1505,39985,95,TRADE,BUY
1508,39988,93,NEW_ORDER,BUY
1511,39988,85,TRADE,SELL
1515,39990,86,NEW_ORDER,SELL
1520,39991,98,TRADE,BUY
1524,39992,640,CANCEL,BUY
1525,39989,640,TRADE,BUY
1530,39986,85,CANCEL,SELL
1533,39986,81,TRADE,BUY
1538,39986,83,NEW_ORDER,SELL
1540,39991,86,TRADE,BUY
1542,39992,92,TRADE,BUY
1547,39993,93,TRADE,BUY
1548,39996,98,TRADE,BUY
1549,39998,99,TRADE,BUY
1551,39997,95,NEW_ORDER,SELL
1554,39997,93,TRADE,SELL
1557,40000,81,TRADE,BUY
1560,40001,89,CANCEL,SELL
1561,40006,960,NEW_ORDER,SELL
1562,40004,85,TRADE,BUY
1565,40004,90,TRADE,BUY
1568,40005,96,TRADE,BUY
1572,40002,83,NEW_ORDER,SELL
1573,40003,96,NEW_ORDER,BUY
1575,40003,89,NEW_ORDER,SELL
1579,39999,880,CANCEL,SELL
