timestamp,price,quantity,subtype,side
1003,40001,117,TRADE,SELL
1007,40002,109,TRADE,SELL
1011,40001,109,NEW_ORDER,SELL
1014,40001,106,NEW_ORDER,SELL
1019,40002,104,TRADE,SELL
1024,40003,112,CANCEL,BUY
1025,40004,107,CANCEL,BUY
1029,40005,107,TRADE,SELL
1030,40002,118,CANCEL,BUY
1031,40003,106,CANCEL,SELL
1033,40003,109,TRADE,SELL
1036,40002,102,TRADE,SELL
1038,40004,115,TRADE,SELL
1042,40001,106,TRADE,SELL
1044,40001,109,TRADE,SELL
1048,40000,110,TRADE,SELL
1051,39997,101,CANCEL,SELL
1053,39997,117,TRADE,SELL
1058,39998,114,CANCEL,SELL
1060,39998,100,CANCEL,SELL
1063,39997,116,NEW_ORDER,BUY
1065,39995,105,TRADE,SELL
1069,39995,102,NEW_ORDER,BUY
1073,39994,1400,NEW_ORDER,BUY
1077,39995,109,NEW_ORDER,SELL
1079,39993,111,NEW_ORDER,SELL
1080,39993,119,CANCEL,BUY
1083,39993,116,TRADE,BUY
1088,39994,106,NEW_ORDER,SELL
1090,39994,112,TRADE,SELL
1095,39994,100,TRADE,BUY
1097,39995,110,TRADE,SELL
1098,39994,103,NEW_ORDER,BUY
1100,39994,118,TRADE,SELL
1101,39995,112,TRADE,SELL
1105,39993,113,NEW_ORDER,SELL
1107,39991,106,CANCEL,BUY
1112,39988,110,CANCEL,SELL
1116,39986,114,TRADE,SELL
1120,39985,105,NEW_ORDER,BUY
1121,39984,118,NEW_ORDER,SELL
1123,39982,116,NEW_ORDER,BUY
1126,39980,117,TRADE,SELL
1127,39977,110,NEW_ORDER,BUY
1129,39978,112,CANCEL,SELL
1130,39976,104,CANCEL,SELL
1131,39975,101,CANCEL,BUY
1136,39974,104,NEW_ORDER,BUY
1137,39974,105,NEW_ORDER,BUY
1138,39972,110,CANCEL,BUY
1141,39970,101,TRADE,SELL
1143,39971,112,NEW_ORDER,BUY
1146,39971,105,TRADE,SELL
1148,39969,119,TRADE,BUY
1150,39970,105,CANCEL,SELL
1154,39970,116,CANCEL,BUY
1157,39968,115,TRADE,SELL
1162,39967,119,CANCEL,BUY
1166,39965,109,CANCEL,SELL
1168,39963,116,NEW_ORDER,SELL
1170,39964,109,TRADE,SELL
1171,39961,116,CANCEL,BUY
1174,39962,108,CANCEL,BUY
1178,39962,106,TRADE,SELL
1181,39960,113,CANCEL,SELL
1183,39959,117,TRADE,BUY
1184,39960,1100,CANCEL,SELL
1186,39959,114,NEW_ORDER,BUY
1189,39958,106,CANCEL,BUY
1193,39956,1200,CANCEL,SELL
1197,39955,112,TRADE,BUY
1199,39953,117,TRADE,SELL
1203,39954,112,CANCEL,SELL
1204,39952,102,TRADE,SELL
1208,39953,119,TRADE,SELL
1213,39952,114,NEW_ORDER,BUY
1216,39951,110,TRADE,SELL
1217,39952,108,TRADE,SELL
1218,39951,110,NEW_ORDER,SELL
1219,39949,105,TRADE,SELL
1224,39948,114,TRADE,SELL
1228,39949,115,TRADE,SELL
1232,39949,112,CANCEL,BUY
1234,39948,105,NEW_ORDER,BUY
1238,39949,101,NEW_ORDER,BUY
1241,39949,102,TRADE,SELL
1246,39949,100,CANCEL,BUY
1248,39949,114,TRADE,SELL
1252,39948,101,CANCEL,BUY
1253,39947,1200,NEW_ORDER,SELL
1258,39946,106,TRADE,BUY
1259,39947,110,TRADE,SELL
1261,39947,101,NEW_ORDER,BUY
1263,39944,1100,TRADE,SELL
1268,39945,112,CANCEL,BUY
1269,39944,1400,CANCEL,BUY
1272,39943,103,TRADE,SELL
1277,39943,113,TRADE,SELL
1282,39944,119,NEW_ORDER,SELL
1284,39942,102,TRADE,SELL
1287,39941,119,TRADE,SELL
1290,39942,113,NEW_ORDER,SELL
1295,39940,600,TRADE,SELL
1300,39940,113,NEW_ORDER,BUY
1301,39939,101,TRADE,BUY
1305,39937,102,NEW_ORDER,SELL
1310,39937,103,TRADE,SELL
1311,39937,107,CANCEL,SELL
1315,39936,110,CANCEL,SELL
1318,39933,104,NEW_ORDER,SELL
1323,39934,102,CANCEL,SELL
1326,39935,114,NEW_ORDER,SELL
1328,39936,100,NEW_ORDER,BUY
1332,39937,1000,NEW_ORDER,BUY
1337,39936,107,NEW_ORDER,BUY
1340,39934,100,NEW_ORDER,SELL
1345,39932,108,CANCEL,BUY
1347,39931,110,TRADE,BUY
1351,39931,1400,TRADE,SELL
1356,39931,115,CANCEL,BUY
1358,39932,117,CANCEL,SELL
1362,39932,700,CANCEL,BUY
1364,39930,103,TRADE,SELL
1365,39931,113,NEW_ORDER,BUY
1369,39930,103,CANCEL,BUY
1370,39929,104,NEW_ORDER,BUY
1372,39929,105,TRADE,SELL
1375,39928,101,TRADE,SELL
1379,39927,102,TRADE,SELL
1381,39928,106,TRADE,SELL
1382,39929,116,CANCEL,SELL
1386,39929,103,TRADE,SELL
1390,39930,100,NEW_ORDER,BUY
1392,39929,114,CANCEL,SELL
1395,39927,106,CANCEL,BUY
1400,39926,118,CANCEL,BUY
1401,39927,105,TRADE,SELL
1402,39928,119,NEW_ORDER,SELL
1407,39926,111,NEW_ORDER,BUY
1410,39926,100,CANCEL,BUY
1413,39926,108,TRADE,SELL
1418,39924,105,TRADE,SELL
1420,39925,117,NEW_ORDER,BUY
1422,39926,113,TRADE,SELL
1427,39927,100,NEW_ORDER,BUY
1429,39925,112,TRADE,BUY
1434,39924,113,TRADE,SELL
1436,39923,106,CANCEL,SELL
1437,39922,105,NEW_ORDER,SELL
1439,39922,113,CANCEL,BUY
1440,39921,116,TRADE,SELL
1445,39922,114,CANCEL,BUY
1450,39920,118,CANCEL,BUY
1452,39921,115,TRADE,SELL
1457,39921,108,CANCEL,BUY
1461,39922,108,TRADE,SELL
1463,39920,118,NEW_ORDER,BUY
1465,39919,110,TRADE,SELL
1466,39918,900,TRADE,SELL
1468,39917,110,TRADE,BUY
1472,39916,111,NEW_ORDER,BUY
1474,39917,104,CANCEL,SELL
1477,39918,600,TRADE,SELL
1482,39918,115,CANCEL,SELL
1485,39916,109,TRADE,SELL
1488,39917,113,TRADE,BUY
1493,39919,100,CANCEL,BUY
1496,39917,110,NEW_ORDER,SELL
1501,39918,118,CANCEL,BUY
1504,39920,108,CANCEL,SELL
1505,39918,116,TRADE,SELL
1508,39918,114,NEW_ORDER,BUY
1511,39917,112,NEW_ORDER,SELL
1513,39915,111,TRADE,SELL
1518,39915,108,CANCEL,BUY
1521,39916,600,TRADE,SELL
1522,39914,109,CANCEL,BUY
1526,39912,113,TRADE,BUY
1531,39910,116,TRADE,SELL
1533,39910,118,CANCEL,BUY
1538,39909,118,NEW_ORDER,BUY
1540,39907,104,TRADE,BUY
1543,39905,119,CANCEL,SELL
1547,39905,116,NEW_ORDER,BUY
1550,39904,102,NEW_ORDER,SELL
1554,39903,109,TRADE,SELL
1559,39905,112,NEW_ORDER,SELL
1564,39905,116,TRADE,BUY
1566,39906,1100,TRADE,SELL
1571,39904,600,TRADE,BUY
1574,39905,100,NEW_ORDER,BUY
1578,39905,113,CANCEL,BUY
1583,39902,104,TRADE,SELL
1584,39901,104,TRADE,SELL
1586,39903,103,CANCEL,BUY
1590,39900,107,TRADE,SELL
1591,39898,103,TRADE,BUY
1592,39896,105,NEW_ORDER,SELL
1595,39897,100,NEW_ORDER,SELL
1599,39898,119,CANCEL,SELL
