timestamp,price,quantity,subtype,side
1005,40002,105,CANCEL,SELL
1009,40003,102,TRADE,BUY
1012,40004,108,TRADE,BUY
1017,40003,110,NEW_ORDER,BUY
1020,40005,112,CANCEL,BUY
1021,40005,101,TRADE,BUY
1022,40006,113,NEW_ORDER,BUY
1023,40005,118,CANCEL,BUY
1024,40006,107,CANCEL,BUY
1029,40005,113,CANCEL,SELL
1031,40006,105,TRADE,SELL
1036,40008,103,TRADE,BUY
1037,40009,114,NEW_ORDER,SELL
1039,40010,1300,TRADE,BUY
1041,40010,109,TRADE,BUY
1043,40011,113,CANCEL,BUY
1044,40011,800,CANCEL,BUY
1049,40013,111,CANCEL,BUY
1051,40014,103,NEW_ORDER,SELL
1053,40016,111,TRADE,BUY
1057,40017,101,CANCEL,BUY
1059,40017,113,NEW_ORDER,SELL
1064,40020,107,TRADE,BUY
1068,40020,114,NEW_ORDER,SELL
1071,40020,109,CANCEL,SELL
1076,40021,105,CANCEL,SELL
1078,40023,106,CANCEL,BUY
1080,40021,1400,CANCEL,SELL
1081,40021,110,NEW_ORDER,SELL
1083,40020,118,NEW_ORDER,SELL
1086,40022,105,CANCEL,BUY
1088,40025,108,TRADE,BUY
1090,40026,111,CANCEL,SELL
1095,40028,112,CANCEL,SELL
1097,40029,118,CANCEL,BUY
1098,40030,600,NEW_ORDER,BUY
1100,40030,600,TRADE,BUY
1101,40030,112,CANCEL,SELL
1105,40030,100,NEW_ORDER,SELL
1108,40031,101,TRADE,BUY
1113,40032,116,NEW_ORDER,SELL
1115,40031,100,TRADE,BUY
1119,40033,110,CANCEL,BUY
1123,40032,110,TRADE,BUY
1124,40034,118,CANCEL,BUY
1126,40037,116,CANCEL,SELL
1128,40038,117,TRADE,BUY
1133,40040,1400,NEW_ORDER,SELL
1136,40039,114,CANCEL,BUY
1138,40039,104,TRADE,BUY
1141,40040,700,NEW_ORDER,SELL
1143,40039,119,CANCEL,SELL
1144,40041,115,TRADE,SELL
1147,40043,105,NEW_ORDER,BUY
1148,40045,118,TRADE,BUY
1149,40047,108,NEW_ORDER,BUY
1154,40045,109,CANCEL,SELL
1156,40048,102,TRADE,BUY
1160,40048,700,NEW_ORDER,BUY
1165,40050,110,TRADE,BUY
1168,40051,107,CANCEL,SELL
1173,40053,102,TRADE,BUY
1178,40051,112,CANCEL,BUY
1183,40051,113,TRADE,BUY
1187,40053,115,NEW_ORDER,BUY
1191,40054,115,TRADE,BUY
1193,40054,102,NEW_ORDER,BUY
1195,40056,113,NEW_ORDER,SELL
1198,40056,1000,CANCEL,SELL
1200,40057,118,CANCEL,BUY
1205,40059,800,TRADE,BUY
1206,40059,113,NEW_ORDER,SELL
1208,40061,103,TRADE,BUY
1213,40060,700,CANCEL,BUY
1218,40060,114,CANCEL,BUY
1222,40061,110,NEW_ORDER,BUY
1225,40062,119,NEW_ORDER,SELL
1228,40062,103,TRADE,BUY
1229,40061,114,CANCEL,BUY
1231,40062,104,NEW_ORDER,BUY
1232,40063,110,TRADE,SELL
1233,40062,117,NEW_ORDER,SELL
1236,40061,108,CANCEL,SELL
1237,40062,107,TRADE,BUY
1241,40064,107,TRADE,BUY
1246,40063,118,CANCEL,BUY
1247,40063,101,NEW_ORDER,SELL
1251,40065,103,CANCEL,BUY
1254,40066,110,NEW_ORDER,SELL
1256,40066,113,CANCEL,BUY
1260,40068,115,TRADE,BUY
1262,40070,114,CANCEL,SELL
1267,40071,107,CANCEL,BUY
1271,40072,109,CANCEL,BUY
1276,40072,103,TRADE,SELL
1279,40070,104,CANCEL,SELL
1283,40073,105,TRADE,BUY
1288,40074,118,NEW_ORDER,SELL
1291,40074,117,TRADE,SELL
1294,40076,111,NEW_ORDER,SELL
1296,40077,105,TRADE,BUY
1299,40077,104,NEW_ORDER,BUY
1304,40078,103,CANCEL,SELL
1308,40076,103,TRADE,BUY
1309,40077,114,TRADE,BUY
1311,40078,114,TRADE,BUY
1316,40079,119,TRADE,BUY
1317,40079,111,CANCEL,BUY
1319,40078,102,CANCEL,SELL
1322,40079,105,CANCEL,SELL
1326,40078,103,NEW_ORDER,BUY
1327,40079,117,NEW_ORDER,SELL
1331,40081,119,NEW_ORDER,SELL
1336,40081,112,CANCEL,BUY
1338,40083,105,TRADE,BUY
1340,40082,119,TRADE,SELL
1341,40084,113,TRADE,BUY
1345,40084,102,CANCEL,BUY
1350,40084,116,TRADE,BUY
1353,40085,118,CANCEL,BUY
1357,40085,100,TRADE,BUY
1358,40084,118,TRADE,BUY
1361,40085,108,NEW_ORDER,BUY
1362,40083,105,NEW_ORDER,SELL
1365,40085,117,TRADE,BUY
1369,40085,117,TRADE,BUY
1371,40087,108,TRADE,BUY
1373,40088,102,CANCEL,SELL
1377,40087,101,TRADE,BUY
1381,40088,103,TRADE,BUY
1384,40087,116,NEW_ORDER,SELL
1385,40089,113,NEW_ORDER,SELL
1388,40089,110,TRADE,BUY
1390,40088,104,CANCEL,BUY
1393,40090,104,CANCEL,BUY
1394,40090,112,NEW_ORDER,SELL
1399,40089,116,NEW_ORDER,BUY
1404,40089,107,TRADE,BUY
1406,40089,109,CANCEL,BUY
1409,40091,109,CANCEL,SELL
1414,40092,117,TRADE,BUY
1416,40094,105,NEW_ORDER,SELL
1417,40096,102,NEW_ORDER,SELL
1421,40098,105,TRADE,BUY
1424,40099,1200,TRADE,BUY
1425,40099,105,TRADE,BUY
1430,40099,101,TRADE,BUY
1434,40098,103,CANCEL,BUY
1436,40100,109,TRADE,BUY
1441,40100,113,TRADE,BUY
1445,40099,112,TRADE,BUY
1448,40098,106,TRADE,BUY
1453,40097,106,NEW_ORDER,SELL
1458,40096,114,CANCEL,BUY
1461,40096,108,NEW_ORDER,SELL
1465,40097,110,CANCEL,SELL
1466,40097,700,CANCEL,BUY
1471,40099,114,NEW_ORDER,BUY
1472,40100,113,NEW_ORDER,SELL
1474,40100,108,CANCEL,BUY
1476,40101,117,NEW_ORDER,SELL
1479,40100,118,CANCEL,BUY
1482,40101,102,CANCEL,SELL
1485,40102,109,NEW_ORDER,BUY
1489,40101,113,TRADE,BUY
1491,40101,700,TRADE,BUY
1492,40103,116,TRADE,BUY
1497,40104,118,CANCEL,BUY
1502,40104,101,TRADE,BUY
1507,40104,1300,TRADE,BUY
1508,40104,110,CANCEL,BUY
1512,40102,107,CANCEL,BUY
1517,40103,105,TRADE,BUY
1518,40104,1100,CANCEL,BUY
1520,40103,108,TRADE,BUY
1524,40102,104,CANCEL,BUY
1526,40102,115,TRADE,SELL
1529,40102,111,TRADE,SELL
1533,40103,104,TRADE,BUY
1536,40102,115,NEW_ORDER,BUY
1537,40102,107,NEW_ORDER,BUY
1540,40103,111,TRADE,BUY
1542,40104,106,NEW_ORDER,SELL
1543,40107,108,CANCEL,SELL
1547,40109,101,NEW_ORDER,BUY
1550,40109,118,CANCEL,BUY
1554,40109,119,NEW_ORDER,SELL
1558,40110,106,CANCEL,BUY
1561,40112,800,NEW_ORDER,BUY
1564,40114,115,TRADE,SELL
1567,40113,110,TRADE,BUY
1571,40112,103,NEW_ORDER,BUY
1572,40115,105,TRADE,SELL
1574,40116,112,CANCEL,SELL
1575,40117,114,TRADE,BUY
1578,40116,116,TRADE,BUY
1581,40115,108,TRADE,BUY
1584,40115,1300,TRADE,BUY
1588,40117,111,CANCEL,SELL
1591,40119,110,TRADE,BUY
