timestamp,price,quantity,subtype,side
1002,40000,60,CANCEL,BUY
1005,39994,67,NEW_ORDER,BUY
1007,40001,63,NEW_ORDER,SELL
1009,39992,250,CANCEL,BUY
1011,39994,53,TRADE,BUY
1014,39993,56,NEW_ORDER,SELL
1017,39986,56,NEW_ORDER,BUY
1019,39995,59,TRADE,SELL
1021,40004,67,NEW_ORDER,BUY
1024,40013,53,NEW_ORDER,SELL
1026,40020,56,NEW_ORDER,BUY
1027,40030,53,CANCEL,SELL
1028,40034,300,CANCEL,SELL
1030,40034,59,TRADE,BUY
1031,40033,60,CANCEL,BUY
1034,40039,65,TRADE,BUY
1035,40044,61,NEW_ORDER,SELL
1038,40048,54,TRADE,BUY
1039,40044,52,NEW_ORDER,SELL
1041,40042,61,NEW_ORDER,SELL
1044,40033,66,NEW_ORDER,BUY
1045,40031,57,TRADE,SELL
1047,40036,68,TRADE,SELL
1050,40046,56,TRADE,BUY
1052,40050,61,CANCEL,BUY
1053,40042,53,TRADE,SELL
1054,40043,63,TRADE,SELL
1057,40040,450,NEW_ORDER,BUY
1060,40031,67,TRADE,BUY
1062,40027,50,NEW_ORDER,SELL
1065,40027,400,CANCEL,SELL
1067,40025,68,CANCEL,BUY
1069,40033,57,NEW_ORDER,SELL
1072,40035,67,CANCEL,SELL
1074,40040,68,TRADE,BUY
1075,40049,69,CANCEL,SELL
1077,40055,55,TRADE,SELL
1078,40059,59,CANCEL,SELL
1080,40057,61,CANCEL,BUY
1081,40054,59,TRADE,BUY
1083,40050,67,TRADE,SELL
1084,40055,69,CANCEL,SELL
1087,40053,500,NEW_ORDER,SELL
1088,40051,700,NEW_ORDER,SELL
1091,40054,54,NEW_ORDER,SELL
1093,40047,51,TRADE,SELL
1096,40049,53,TRADE,BUY
1099,40043,65,CANCEL,BUY
1101,40045,52,TRADE,BUY
1102,40046,59,NEW_ORDER,SELL
1105,40046,700,NEW_ORDER,BUY
1107,40037,50,NEW_ORDER,BUY
1108,40043,58,CANCEL,BUY
