seed,arm,unassigned,violations,gini,cv,mean_utilization
2000,Off,401,71,0.1021,0.1979,1266.45
2000,HorizonLocal,279,107,0.1022,0.1979,1266.15
2000,FullEcology,292,79,0.0988,0.1901,1267.73
2001,Off,276,57,0.1025,0.1992,1263.33
2001,HorizonLocal,204,63,0.1019,0.1985,1266.72
2001,FullEcology,167,81,0.0998,0.1936,1266.08
2002,Off,326,247,0.1013,0.1963,1271.83
2002,HorizonLocal,340,244,0.1013,0.1965,1270.54
2002,FullEcology,303,250,0.1001,0.1926,1271.41
2003,Off,347,128,0.1029,0.1994,1266.28
2003,HorizonLocal,312,133,0.1011,0.1970,1265.81
2003,FullEcology,293,156,0.0985,0.1906,1265.82
2004,Off,346,97,0.1021,0.1985,1267.10
2004,HorizonLocal,260,142,0.1016,0.1977,1265.03
2004,FullEcology,361,95,0.0980,0.1893,1264.47
2005,Off,306,393,0.1016,0.1975,1266.47
2005,HorizonLocal,390,333,0.1014,0.1972,1264.02
2005,FullEcology,354,363,0.1001,0.1940,1260.61
2006,Off,407,107,0.1002,0.1951,1264.67
2006,HorizonLocal,314,133,0.1012,0.1971,1265.23
2006,FullEcology,348,131,0.0990,0.1914,1264.85
2007,Off,251,184,0.1013,0.1970,1267.49
2007,HorizonLocal,286,129,0.1009,0.1962,1266.93
2007,FullEcology,263,183,0.1004,0.1932,1269.99
2008,Off,385,420,0.1014,0.1971,1266.79
2008,HorizonLocal,337,443,0.1017,0.1981,1267.22
2008,FullEcology,422,387,0.0991,0.1907,1266.21
2009,Off,362,361,0.1013,0.1966,1270.90
2009,HorizonLocal,319,368,0.1010,0.1963,1273.40
2009,FullEcology,424,272,0.0989,0.1908,1272.54
2010,Off,486,326,0.1024,0.1987,1269.48
2010,HorizonLocal,467,354,0.1019,0.1971,1272.08
2010,FullEcology,440,352,0.0981,0.1893,1269.44
2011,Off,290,229,0.1015,0.1981,1265.62
2011,HorizonLocal,255,246,0.1013,0.1976,1267.64
2011,FullEcology,399,194,0.0991,0.1927,1268.85
2012,Off,285,171,0.1018,0.1980,1264.92
2012,HorizonLocal,276,156,0.1016,0.1976,1263.96
2012,FullEcology,217,226,0.0996,0.1925,1265.25
2013,Off,266,150,0.1028,0.1992,1273.97
2013,HorizonLocal,252,157,0.1005,0.1954,1272.35
2013,FullEcology,283,133,0.1000,0.1943,1273.40
2014,Off,311,257,0.1021,0.1983,1270.57
2014,HorizonLocal,388,171,0.1018,0.1980,1265.57
2014,FullEcology,404,193,0.0980,0.1894,1267.28
2015,Off,259,98,0.1011,0.1963,1268.71
2015,HorizonLocal,282,85,0.1014,0.1970,1269.40
2015,FullEcology,320,77,0.0991,0.1905,1267.25
2016,Off,249,181,0.1018,0.1982,1266.68
2016,HorizonLocal,306,141,0.1009,0.1962,1267.77
2016,FullEcology,294,133,0.0982,0.1893,1268.36
2017,Off,350,218,0.1019,0.1979,1269.49
2017,HorizonLocal,316,242,0.1020,0.1981,1269.67
2017,FullEcology,327,260,0.1002,0.1926,1265.31
2018,Off,251,109,0.1024,0.1984,1266.75
2018,HorizonLocal,377,48,0.1006,0.1960,1266.50
2018,FullEcology,315,80,0.0984,0.1897,1269.29
2019,Off,376,158,0.1019,0.1980,1268.63
2019,HorizonLocal,420,99,0.1018,0.1982,1268.48
2019,FullEcology,328,163,0.0998,0.1934,1266.17
2020,Off,221,159,0.1030,0.1999,1261.98
2020,HorizonLocal,209,166,0.1013,0.1970,1264.49
2020,FullEcology,265,140,0.1004,0.1944,1264.35
2021,Off,196,85,0.1022,0.1991,1264.29
2021,HorizonLocal,236,90,0.1019,0.1983,1266.76
2021,FullEcology,219,95,0.0991,0.1919,1265.84
2022,Off,471,302,0.1023,0.1982,1272.02
2022,HorizonLocal,518,283,0.1017,0.1972,1267.67
2022,FullEcology,437,360,0.0990,0.1906,1267.56
2023,Off,345,272,0.1026,0.1995,1262.36
2023,HorizonLocal,316,282,0.1016,0.1980,1264.65
2023,FullEcology,403,203,0.1008,0.1937,1262.31
2024,Off,307,180,0.1018,0.1974,1263.35
2024,HorizonLocal,332,150,0.1006,0.1960,1266.23
2024,FullEcology,363,163,0.1000,0.1933,1261.75
2025,Off,290,195,0.1019,0.1980,1265.76
2025,HorizonLocal,387,149,0.1018,0.1978,1267.13
2025,FullEcology,331,178,0.1002,0.1937,1266.09
2026,Off,334,338,0.1015,0.1979,1263.73
2026,HorizonLocal,430,284,0.1018,0.1983,1264.91
2026,FullEcology,467,260,0.0979,0.1891,1258.27
2027,Off,388,71,0.1018,0.1986,1256.64
2027,HorizonLocal,311,113,0.1025,0.1996,1257.12
2027,FullEcology,328,93,0.0994,0.1925,1256.40
2028,Off,260,134,0.1022,0.1992,1260.34
2028,HorizonLocal,276,110,0.1017,0.1981,1260.42
2028,FullEcology,244,144,0.0984,0.1910,1263.05
2029,Off,272,226,0.1011,0.1962,1269.06
2029,HorizonLocal,403,151,0.1021,0.1991,1266.73
2029,FullEcology,250,249,0.0996,0.1927,1264.89
