seed,arm,unassigned_capital,violations,gini,total_return
2000,Off,96,0,0.0745,27111.78
2000,HorizonLocal,0,0,0.0716,27144.25
2000,FullEcology,0,0,0.0613,27144.25
2001,Off,0,0,0.0753,27357.38
2001,HorizonLocal,90,0,0.0804,27320.34
2001,FullEcology,84,0,0.0665,27346.28
2002,Off,128,0,0.0784,27262.75
2002,HorizonLocal,0,0,0.0715,27323.65
2002,FullEcology,174,0,0.0673,27263.47
2003,Off,0,0,0.0713,28303.05
2003,HorizonLocal,0,0,0.0716,28303.05
2003,FullEcology,174,0,0.0623,28248.70
2004,Off,96,0,0.0742,26725.07
2004,HorizonLocal,0,0,0.0773,26769.88
2004,FullEcology,232,0,0.0647,26740.59
2005,Off,0,0,0.0768,27846.96
2005,HorizonLocal,0,0,0.0744,27846.96
2005,FullEcology,0,0,0.0678,27846.96
2006,Off,79,0,0.0809,28084.32
2006,HorizonLocal,0,0,0.0774,28100.51
2006,FullEcology,0,0,0.0698,28100.51
2007,Off,188,0,0.0758,27433.78
2007,HorizonLocal,0,0,0.0739,27478.75
2007,FullEcology,54,0,0.0684,27458.77
2008,Off,0,0,0.0730,27264.57
2008,HorizonLocal,0,0,0.0815,27264.57
2008,FullEcology,113,0,0.0713,27229.03
2009,Off,207,0,0.0754,27432.67
2009,HorizonLocal,0,0,0.0761,27458.67
2009,FullEcology,330,0,0.0662,27375.83
2010,Off,0,0,0.0756,27042.00
2010,HorizonLocal,88,0,0.0711,27025.69
2010,FullEcology,79,0,0.0665,27019.58
2011,Off,0,0,0.0760,27661.30
2011,HorizonLocal,0,0,0.0701,27661.30
2011,FullEcology,143,0,0.0641,27619.04
2012,Off,75,0,0.0665,27321.52
2012,HorizonLocal,0,0,0.0720,27333.22
2012,FullEcology,98,0,0.0646,27304.43
2013,Off,96,0,0.0762,27696.23
2013,HorizonLocal,0,0,0.0750,27714.03
2013,FullEcology,0,0,0.0645,27714.03
2014,Off,0,0,0.0754,28133.85
2014,HorizonLocal,0,0,0.0762,28133.85
2014,FullEcology,0,0,0.0723,28133.85
2015,Off,0,0,0.0787,27905.75
2015,HorizonLocal,84,0,0.0735,27900.30
2015,FullEcology,0,0,0.0675,27905.75
2016,Off,0,0,0.0764,28015.29
2016,HorizonLocal,0,0,0.0761,28015.29
2016,FullEcology,182,0,0.0636,27986.17
2017,Off,0,0,0.0770,27237.87
2017,HorizonLocal,0,0,0.0731,27237.87
2017,FullEcology,0,0,0.0645,27237.87
2018,Off,208,0,0.0769,28032.07
2018,HorizonLocal,258,0,0.0776,28006.08
2018,FullEcology,132,0,0.0690,28053.44
2019,Off,0,0,0.0758,27472.34
2019,HorizonLocal,96,0,0.0727,27446.87
2019,FullEcology,248,0,0.0669,27385.18
2020,Off,0,0,0.0757,26700.46
2020,HorizonLocal,0,0,0.0774,26700.46
2020,FullEcology,121,0,0.0667,26672.98
2021,Off,0,0,0.0811,28262.71
2021,HorizonLocal,0,0,0.0752,28262.71
2021,FullEcology,0,0,0.0697,28262.71
2022,Off,64,0,0.0784,27769.67
2022,HorizonLocal,0,0,0.0802,27785.80
2022,FullEcology,0,0,0.0680,27785.80
2023,Off,147,0,0.0724,26790.91
2023,HorizonLocal,61,0,0.0718,26822.75
2023,FullEcology,0,0,0.0649,26848.14
2024,Off,77,0,0.0814,26729.82
2024,HorizonLocal,57,0,0.0774,26724.99
2024,FullEcology,84,0,0.0644,26723.77
2025,Off,83,0,0.0769,27757.34
2025,HorizonLocal,0,0,0.0722,27782.64
2025,FullEcology,0,0,0.0686,27782.64
2026,Off,0,0,0.0786,28571.65
2026,HorizonLocal,0,0,0.0808,28571.65
2026,FullEcology,0,0,0.0703,28571.65
2027,Off,150,0,0.0723,26797.40
2027,HorizonLocal,0,0,0.0778,26827.91
2027,FullEcology,123,0,0.0702,26811.91
2028,Off,0,0,0.0769,27388.48
2028,HorizonLocal,0,0,0.0790,27388.48
2028,FullEcology,72,0,0.0615,27346.29
2029,Off,83,0,0.0730,26647.95
2029,HorizonLocal,35,0,0.0776,26688.44
2029,FullEcology,35,0,0.0689,26688.44
