ticker,direction,date,entry_price,exit_reason,realized_return,h300_counterfactual_ret,candidate_stop_pct,coverage_quality,n_obs,was_ever_positive,max_positive_ret,max_positive_time,max_adverse_ret,max_adverse_time,best_exit_time,best_exit_ret,recoverable_pp,invert_opportunity,invert_peak_ret,invert_peak_time,loss_category
ADANIENT_NS,LONG,20260903,2901.000000,HORIZON,-0.001310,-0.001310,-0.007627,USABLE,5,True,0.003964,09:50,-0.001344,10:13,09:50,0.003964,-0.005274,False,0.000000,None,THESIS_DETERIORATION
BAJFINANCE_NS,LONG,20260903,1049.000000,STOP,-0.000953,0.006959,-0.000951,LIMITED,4,True,0.009342,10:10,-0.000477,09:38,10:10,0.009342,-0.010295,False,-0.000954,09:39,STOP_PREMATURE
BERGEPAINT_NS,LONG,20260904,485.299988,STOP,-0.001648,0.000000,-0.001648,SPARSE,1,True,0.005255,09:27,-0.001648,10:06,09:27,0.005255,-0.006903,False,0.000309,10:06,STOP_PREMATURE
CIPLA_NS,LONG,20260904,1385.000000,STOP,-0.002996,0.002310,-0.002996,LIMITED,2,True,0.003899,10:11,-0.005126,09:34,10:11,0.003899,-0.006895,False,0.002245,09:34,STOP_PREMATURE
BRITANNIA_NS,LONG,20260907,5042.500000,STOP,-0.002082,-0.000099,-0.002082,USABLE,5,True,0.002181,09:53,-0.001091,09:55,09:53,0.002181,-0.004263,False,0.000595,09:55,STOP_PREMATURE
HDFCBANK_NS,LONG,20260907,710.500000,STOP,-0.002266,-0.002182,-0.002264,USABLE,5,True,0.001548,09:27,-0.002393,10:10,09:27,0.001548,-0.003814,False,-0.000071,10:11,THESIS_DETERIORATION
MRF_NS,LONG,20260907,128890.000000,HORIZON,-0.000698,-0.000698,-0.003304,LIMITED,3,True,0.003142,09:29,-0.001358,09:33,09:29,0.003142,-0.003840,False,0.000000,None,THESIS_DETERIORATION
NESTLEIND_NS,LONG,20260907,1398.000000,STOP,-0.002790,-0.001144,-0.002790,USABLE,5,True,0.002790,09:27,-0.002504,09:58,09:27,0.002790,-0.005580,False,0.000000,None,THESIS_DETERIORATION
ONGC_NS,LONG,20260907,233.699997,HORIZON,-0.000342,-0.000342,-0.037430,USABLE,5,True,0.001669,10:00,-0.000856,10:11,10:00,0.001669,-0.002011,False,0.000000,None,THESIS_DETERIORATION
TATASTEEL_NS,LONG,20260907,185.610001,HORIZON,-0.000054,-0.000054,-0.002852,USABLE,5,True,0.008728,09:30,-0.000862,10:12,09:30,0.008728,-0.008782,False,0.000000,None,THESIS_DETERIORATION
