ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
ADANIGREEN_NS,LONG,20260908,1280.000000,1363.590213,1199.802005,-0.003281,1275.800000,MEDIUM,USABLE,5,1275.800320,10:05,STOP,-0.003281,-0.003281,0.005469,39,0.003438,-0.006719
AMBUJACEM_NS,LONG,20260908,396.950012,413.343314,380.599025,-0.001852,396.210000,MEDIUM,USABLE,5,396.214861,10:02,STOP,-0.001852,-0.002015,0.003023,36,0.005164,-0.007016
ASIANPAINT_NS,LONG,20260908,2476.899902,2556.330090,2399.746188,-0.000505,2475.650000,LOW,LIMITED,4,2475.649068,09:46,STOP,-0.000505,-0.000565,0.002665,20,0.001090,-0.001595
BHARTIARTL_NS,LONG,20260908,1832.199951,1905.590561,1782.276072,-0.000546,1831.200000,MEDIUM,USABLE,5,1831.500000,10:14,HORIZON,-0.000382,-0.000546,0.004694,48,-0.000382,0.000000
BOSCHLTD_NS,SHORT,20260908,48470.000000,46689.002445,50486.348041,-0.001135,48414.990000,LOW,LIMITED,4,48414.986550,09:59,STOP,0.001135,-0.000516,0.003920,33,-0.002269,0.003404
CANBK_NS,SHORT,20260908,124.570000,120.596650,130.016548,-0.007851,123.590000,LOW,LIMITED,4,123.592001,09:27,STOP,0.007851,-0.000080,0.000562,1,-0.001044,0.008895
DRREDDY_NS,LONG,20260908,1145.599976,1183.456885,1107.334671,-0.005000,1139.870000,LOW,LIMITED,3,1147.000000,10:14,HORIZON,0.001222,-0.001397,0.002793,48,0.001222,0.000000
GODREJPROP_NS,LONG,20260908,1895.400024,1998.898556,1791.554255,-0.005000,1885.920000,MEDIUM,USABLE,5,1899.900024,10:14,HORIZON,0.002374,-0.004959,0.003166,48,0.002374,0.000000
HDFCBANK_NS,LONG,20260908,706.349976,721.642640,689.189571,-0.001133,705.550000,MEDIUM,USABLE,5,707.099976,10:14,HORIZON,0.001062,-0.001133,0.001557,48,0.001062,0.000000
HDFCLIFE_NS,LONG,20260908,539.750000,561.387549,521.226293,-0.005000,537.050000,MEDIUM,USABLE,5,541.450012,10:14,HORIZON,0.003150,-0.001390,0.009727,48,0.003150,0.000000
INDUSTOWER_NS,LONG,20260908,373.750000,391.967676,357.552267,-0.001472,373.200000,MEDIUM,USABLE,5,373.950012,10:14,HORIZON,0.000535,-0.001472,0.003211,48,0.000535,0.000000
IOC_NS,LONG,20260908,134.789993,139.528877,130.001980,-0.003487,134.320000,MEDIUM,USABLE,5,134.949997,10:14,HORIZON,0.001187,-0.000668,0.005935,48,0.001187,0.000000
ITC_NS,LONG,20260908,263.500000,268.852286,256.821677,-0.001518,263.100000,MEDIUM,USABLE,5,263.100007,10:04,STOP,-0.001518,-0.001518,0.000380,38,0.003036,-0.004554
JSWSTEEL_NS,SHORT,20260908,1306.699951,1252.062068,1365.092845,-0.001990,1304.100000,MEDIUM,USABLE,5,1304.099618,09:27,STOP,0.001990,0.000000,0.002066,1,-0.001760,0.003750
JUBLFOOD_NS,SHORT,20260908,472.799988,455.973568,488.775123,-0.004146,470.840000,LOW,LIMITED,4,470.839759,09:27,STOP,0.004146,0.000000,0.001269,1,-0.002961,0.007107
LUPIN_NS,LONG,20260908,2095.699951,2178.879138,2029.535310,-0.005000,2085.220000,MEDIUM,USABLE,5,2100.600098,10:14,HORIZON,0.002338,-0.000334,0.005487,48,0.002338,0.000000
MARUTI_NS,LONG,20260908,12636.000000,12972.958076,12244.382599,-0.001306,12619.500000,LOW,LIMITED,4,12619.497384,10:11,STOP,-0.001306,-0.001425,0.003166,45,-0.000317,-0.000989
ONGC_NS,LONG,20260908,232.919998,240.158596,224.201699,-0.000856,232.720000,MEDIUM,USABLE,5,232.949997,10:14,HORIZON,0.000129,-0.000601,0.004508,48,0.000129,0.000000
PNB_NS,SHORT,20260908,116.300003,109.697830,121.358002,-0.001282,116.150000,MEDIUM,USABLE,5,116.150906,09:28,STOP,0.001282,0.000000,0.002150,2,-0.001118,0.002400
RECLTD_NS,LONG,20260908,315.600006,327.367344,301.366397,-0.000474,315.450000,MEDIUM,USABLE,5,315.450412,09:34,STOP,-0.000474,-0.000951,0.002852,8,0.000634,-0.001108
SBILIFE_NS,LONG,20260908,1723.599976,1790.199251,1669.556249,-0.000772,1722.270000,MEDIUM,USABLE,5,1722.269356,09:41,STOP,-0.000772,-0.000812,0.003771,15,0.000464,-0.001236
SBIN_NS,SHORT,20260908,1006.099976,967.612478,1037.332768,-0.006213,999.850000,LOW,LIMITED,3,999.849076,09:27,STOP,0.006213,0.000000,0.001093,1,-0.002684,0.008897
TATACONSUM_NS,LONG,20260908,1009.900024,1053.928669,980.721528,-0.000792,1009.100000,LOW,LIMITED,4,1009.100184,09:57,STOP,-0.000792,-0.000792,0.001881,31,0.005050,-0.005842
TITAN_NS,SHORT,20260908,4990.500000,4822.315420,5135.901667,-0.000549,4987.760000,LOW,LIMITED,4,4987.760215,09:31,STOP,0.000549,0.000000,0.002605,5,0.000301,0.000248
TRENT_NS,LONG,20260908,2784.500000,2932.575463,2657.158150,-0.004776,2771.200000,MEDIUM,USABLE,5,2771.201228,09:44,STOP,-0.004776,-0.004776,0.000000,18,0.002047,-0.006823
ULTRACEMCO_NS,LONG,20260908,11113.000000,11424.264221,10799.725289,-0.002610,11084.000000,LOW,LIMITED,4,11083.995070,09:59,STOP,-0.002610,-0.005219,0.001980,33,0.002250,-0.004860
UNITDSPR_NS,SHORT,20260908,1434.500000,1383.947091,1499.403374,-0.002231,1431.300000,LOW,LIMITED,1,1431.299630,09:27,STOP,0.002231,0.000000,0.002998,1,-0.001603,0.003834
UPL_NS,LONG,20260908,573.700012,594.634146,554.810904,-0.002092,572.500000,LOW,LIMITED,4,572.499832,10:06,STOP,-0.002092,-0.002789,0.002440,40,0.002963,-0.005055
VBL_NS,LONG,20260908,404.450012,420.368616,389.888078,-0.001854,403.700000,MEDIUM,USABLE,5,403.700162,10:05,STOP,-0.001854,-0.001854,0.003091,39,0.003709,-0.005563
VEDL_NS,SHORT,20260908,272.250000,258.955838,284.503110,-0.002020,271.700000,MEDIUM,USABLE,5,271.700055,09:33,STOP,0.002020,0.000000,0.003857,7,-0.001469,0.003489
WIPRO_NS,SHORT,20260908,172.199997,164.436518,177.512231,-0.007111,170.980000,LOW,LIMITED,3,170.975483,09:27,STOP,0.007111,0.000000,0.002032,1,-0.000000,0.007111
