ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
BAJAJ-AUTO_NS,LONG,20260909,11790.000000,12161.760138,11452.682285,-0.028610,11452.680000,LOW,SPARSE,1,STRONG_FAVOUR,adaptive_risk,11844.000000,10:14,HORIZON,0.004580,0.000000,0.005683,48,0.004580,0.000000
BAJAJFINSV_NS,LONG,20260909,1927.000000,1997.135710,1855.417215,-0.037147,1855.420000,LOW,SPARSE,1,STRONG_FAVOUR,adaptive_risk,1931.500000,10:14,HORIZON,0.002335,0.000000,0.004722,48,0.002335,0.000000
BAJFINANCE_NS,LONG,20260909,1039.300049,1078.735818,1004.141040,-0.000951,1038.310000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,1042.900024,10:14,HORIZON,0.003464,0.000000,0.007697,48,0.003464,0.000000
BANKBARODA_NS,LONG,20260909,234.100006,244.558751,222.630276,-0.048995,222.630000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,235.860001,10:14,HORIZON,0.007518,0.000000,0.009099,48,0.007518,0.000000
BHARTIARTL_NS,LONG,20260909,1814.699951,1887.389581,1765.252913,-0.000882,1813.100000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1823.300049,10:14,HORIZON,0.004739,0.000000,0.005676,48,0.004739,0.000000
CANBK_NS,LONG,20260909,124.080002,130.931045,117.432736,-0.053572,117.430000,LOW,SPARSE,1,NORMAL,adaptive_risk,124.900002,10:14,HORIZON,0.006609,0.000000,0.006609,48,0.006609,0.000000
COALINDIA_NS,SHORT,20260909,431.000000,413.742844,447.048246,-0.007193,427.900000,LOW,SPARSE,1,NORMAL,mae_h60_p50,427.900000,09:27,STOP,0.007193,-0.006381,0.000000,1,-0.006613,0.013805
COLPAL_NS,LONG,20260909,1800.000000,1877.368578,1745.745106,-0.001083,1798.050000,LOW,LIMITED,4,NORMAL,mae_h300_p50,1798.050000,10:02,STOP,-0.001083,-0.001111,0.004444,36,-0.000889,-0.000194
DABUR_NS,LONG,20260909,371.549988,382.356590,361.124347,-0.002934,370.460000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,370.460000,09:56,STOP,-0.002934,-0.002961,0.002019,30,-0.007267,0.004333
GODREJPROP_NS,LONG,20260909,1857.099976,1958.507128,1755.352601,-0.054788,1755.350000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,1884.699951,10:14,HORIZON,0.014862,0.000000,0.025416,48,0.014862,0.000000
HCLTECH_NS,LONG,20260909,1229.800049,1275.714760,1181.838023,-0.039000,1181.840000,LOW,SPARSE,1,NORMAL,adaptive_risk,1245.300049,10:14,HORIZON,0.012604,0.000000,0.013498,48,0.012604,0.000000
HDFCBANK_NS,LONG,20260909,687.099976,701.975872,670.407240,-0.002264,685.540000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,692.900024,10:14,HORIZON,0.008441,0.000000,0.015864,48,0.008441,0.000000
HDFCLIFE_NS,LONG,20260909,514.000000,529.518815,495.937370,-0.035141,495.940000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,516.349976,10:14,HORIZON,0.004572,0.000000,0.027043,48,0.004572,0.000000
HEROMOTOCO_NS,LONG,20260909,5218.000000,5413.834251,5005.011963,-0.002300,5206.000000,LOW,SPARSE,1,NORMAL,mae_h300_p50,5206.000000,10:07,STOP,-0.002300,-0.002300,0.006037,41,-0.001150,-0.001150
INFY_NS,LONG,20260909,1035.000000,1063.742742,994.233643,-0.039388,994.230000,LOW,SPARSE,1,NORMAL,adaptive_risk,1044.000000,10:14,HORIZON,0.008696,0.000000,0.018164,48,0.008696,0.000000
ITC_NS,LONG,20260909,260.799988,266.097431,254.190096,-0.001518,260.400000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,261.850006,10:14,HORIZON,0.004026,0.000000,0.008436,48,0.004026,0.000000
LICI_NS,LONG,20260909,407.500000,423.440427,395.061008,-0.002209,406.600000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,406.600006,10:14,HORIZON,-0.002209,-0.002209,0.005153,48,-0.002209,0.000000
LUPIN_NS,LONG,20260909,2100.000000,2183.349857,2033.699600,-0.031572,2033.700000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,2097.500000,10:14,HORIZON,-0.001190,-0.001810,0.009429,48,-0.001190,0.000000
