ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,coverage_quality,n_obs,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,bars_held,inversion_occurred,inversion_bar,inversion_direction,inversion_entry_price,inversion_stop_price,inversion_exit_price,inversion_exit_reason,inversion_realized_ret,combined_realized_ret,h300_counterfactual_ret
APOLLOHOSP_NS,LONG,20260904,8650.000000,9003.396940,8366.268768,-0.001927,8633.330000,LIMITED,2,8706.000000,10:14,HORIZON,0.006474,0.000000,48,False,None,None,None,None,None,None,None,0.006474,0.006474
ASIANPAINT_NS,LONG,20260904,2527.300049,2608.346488,2448.576405,-0.000505,2526.020000,LIMITED,4,2545.899902,10:14,HORIZON,0.007360,0.000000,48,False,None,None,None,None,None,None,None,0.007360,0.007360
BANDHANBNK_NS,LONG,20260904,164.949997,173.968312,155.775964,-0.008525,163.540000,USABLE,5,165.789993,10:14,HORIZON,0.005092,0.000000,48,False,None,None,None,None,None,None,None,0.005092,0.005092
BANKBARODA_NS,LONG,20260904,239.000000,249.677659,227.290194,-0.048995,227.290000,USABLE,5,240.369995,10:14,HORIZON,0.005732,0.000000,48,False,None,None,None,None,None,None,None,0.005732,0.005732
BERGEPAINT_NS,LONG,20260904,485.299988,502.924371,465.426272,-0.001648,484.500000,SPARSE,1,484.500000,09:49,STOP,-0.001648,-0.001648,23,False,None,None,None,None,None,None,None,-0.001648,0.000000
BHARTIARTL_NS,LONG,20260904,1840.000000,1913.703049,1789.863584,-0.000882,1838.380000,USABLE,5,1861.300049,10:14,HORIZON,0.011576,0.000000,48,False,None,None,None,None,None,None,None,0.011576,0.011576
BPCL_NS,LONG,20260904,315.700012,328.297737,301.619556,-0.044601,301.620000,LIMITED,2,320.100006,10:14,HORIZON,0.013937,0.000000,48,False,None,None,None,None,None,None,None,0.013937,0.013937
BRITANNIA_NS,LONG,20260904,5101.500000,5278.900456,4980.600462,-0.002488,5088.810000,USABLE,5,5142.000000,10:14,HORIZON,0.007939,0.000000,48,False,None,None,None,None,None,None,None,0.007939,0.007939
CHOLAFIN_NS,LONG,20260904,1839.000000,1921.220731,1754.993971,-0.045680,1754.990000,SPARSE,1,1852.199951,10:14,HORIZON,0.007178,0.000000,48,False,None,None,None,None,None,None,None,0.007178,0.007178
CIPLA_NS,LONG,20260904,1385.000000,1434.461677,1348.511238,-0.002996,1380.850000,LIMITED,2,1380.850000,09:31,STOP,-0.002996,-0.003177,5,False,None,None,None,None,None,None,None,-0.002996,0.002310
COLPAL_NS,LONG,20260904,1829.199951,1907.823617,1774.064924,-0.001083,1827.220000,LIMITED,4,1833.699951,10:14,HORIZON,0.002460,0.000000,48,False,None,None,None,None,None,None,None,0.002460,0.002460
DRREDDY_NS,LONG,20260904,1151.000000,1189.035356,1112.554324,-0.033402,1112.550000,LIMITED,3,1162.500000,10:14,HORIZON,0.009991,0.000000,48,False,None,None,None,None,None,None,None,0.009991,0.009991
GAIL_NS,LONG,20260904,173.399994,179.854333,166.153626,-0.010987,171.490000,LIMITED,4,173.649994,10:14,HORIZON,0.001442,0.000000,48,False,None,None,None,None,None,None,None,0.001442,0.001442
GODREJPROP_NS,LONG,20260904,1982.000000,2090.227333,1873.409564,-0.054788,1873.410000,USABLE,5,2016.500000,10:14,HORIZON,0.017407,0.000000,48,False,None,None,None,None,None,None,None,0.017407,0.017407
HAVELLS_NS,LONG,20260904,1154.000000,1194.924169,1118.677492,-0.030609,1118.680000,SPARSE,1,1165.900024,10:14,HORIZON,0.010312,0.000000,48,False,None,None,None,None,None,None,None,0.010312,0.010312
HEROMOTOCO_NS,SHORT,20260904,5300.000000,5023.018738,5532.918777,-0.006794,5263.990000,LIMITED,3,5263.990000,09:27,STOP,0.006794,-0.000755,1,False,None,None,None,None,None,None,None,0.006794,0.000849
INDHOTEL_NS,LONG,20260904,720.000000,743.319838,684.293222,-0.006621,715.230000,USABLE,5,726.200012,10:14,HORIZON,0.008611,0.000000,48,False,None,None,None,None,None,None,None,0.008611,0.008611
LICI_NS,LONG,20260904,415.350006,427.084921,402.431452,-0.002209,414.430000,USABLE,5,417.000000,10:14,HORIZON,0.003973,-0.000120,48,False,None,None,None,None,None,None,None,0.003973,0.003973
LT_NS,LONG,20260904,3964.100098,4139.987705,3804.206290,-0.004576,3945.960000,LIMITED,2,3979.800049,10:14,HORIZON,0.003961,0.000000,48,False,None,None,None,None,None,None,None,0.003961,0.003961
LUPIN_NS,LONG,20260904,2110.000000,2193.746761,2043.383883,-0.031572,2043.380000,USABLE,5,2127.199951,10:14,HORIZON,0.008152,0.000000,48,False,None,None,None,None,None,None,None,0.008152,0.008152
MARICO_NS,LONG,20260904,815.150024,831.785701,791.816692,-0.028625,791.820000,SPARSE,1,820.250000,10:14,HORIZON,0.006256,0.000000,48,False,None,None,None,None,None,None,None,0.006256,0.006256
MARUTI_NS,LONG,20260904,12694.000000,13032.504733,12300.585052,-0.001308,12677.400000,LIMITED,4,12759.000000,10:14,HORIZON,0.005121,0.000000,48,False,None,None,None,None,None,None,None,0.005121,0.005121
MPHASIS_NS,LONG,20260904,2422.000000,2544.144042,2309.777008,-0.006273,2406.810000,LIMITED,2,2460.100098,10:14,HORIZON,0.015731,0.000000,48,False,None,None,None,None,None,None,None,0.015731,0.015731
PETRONET_NS,LONG,20260904,288.100006,297.146921,280.031208,-0.000345,288.000000,LIMITED,2,291.600006,10:14,HORIZON,0.012149,0.000000,48,False,None,None,None,None,None,None,None,0.012149,0.012149
PNB_NS,SHORT,20260904,117.000000,110.778212,121.706491,-0.008563,116.000000,USABLE,5,116.000000,09:27,STOP,0.008547,0.000000,1,False,None,None,None,None,None,None,None,0.008547,-0.000769
POLYCAB_NS,LONG,20260904,8300.000000,8785.713965,7918.537249,-0.004130,8265.720000,USABLE,5,8382.000000,10:14,HORIZON,0.009880,0.000000,48,False,None,None,None,None,None,None,None,0.009880,0.009880
SUNPHARMA_NS,LONG,20260904,1899.000000,1954.046285,1840.155203,-0.000792,1897.500000,LIMITED,3,1906.900024,10:14,HORIZON,0.004160,0.000000,48,False,None,None,None,None,None,None,None,0.004160,0.004160
TATACONSUM_NS,LONG,20260904,1010.000000,1054.033003,980.818615,-0.000446,1009.550000,LIMITED,4,1016.400024,10:14,HORIZON,0.006337,0.000000,48,False,None,None,None,None,None,None,None,0.006337,0.006337
TECHM_NS,LONG,20260904,1596.900024,1668.545155,1530.611738,-0.001918,1593.840000,LIMITED,2,1601.099976,10:14,HORIZON,0.002630,0.000000,48,False,None,None,None,None,None,None,None,0.002630,0.002630
TORNTPHARM_NS,LONG,20260904,4857.000000,5026.057729,4682.927690,-0.008038,4817.960000,LIMITED,2,4911.000000,10:14,HORIZON,0.011118,0.000000,48,False,None,None,None,None,None,None,None,0.011118,0.011118
UNITDSPR_NS,LONG,20260904,1471.699951,1521.987517,1416.012923,-0.037839,1416.010000,LIMITED,3,1482.400024,10:15,HORIZON,0.007271,0.000000,48,False,None,None,None,None,None,None,None,0.007271,0.007271
VBL_NS,LONG,20260904,407.600006,423.642589,392.924659,-0.002085,406.750000,USABLE,5,408.600006,10:14,HORIZON,0.002453,0.000000,48,False,None,None,None,None,None,None,None,0.002453,0.002453
