ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,coverage_quality,n_obs,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,bars_held,reassess_triggered,reassess_bar,reassess_time_ist,h300_counterfactual_ret
ADANIGREEN_NS,LONG,20260908,1280.000000,1363.590213,1199.802005,-0.062655,1199.800000,USABLE,5,adaptive_risk,1279.400024,09:44,REASSESS_EXIT,-0.000469,-0.000547,18,True,30,09:44,0.003438
AMBUJACEM_NS,LONG,20260908,396.950012,413.343314,380.599025,-0.003149,395.700000,USABLE,5,mae_h300_p50,396.750000,09:32,REASSESS_EXIT,-0.000504,-0.001008,6,True,18,09:32,0.005164
ASIANPAINT_NS,LONG,20260908,2476.899902,2556.330090,2399.746188,-0.000505,2475.650000,LIMITED,4,mae_h300_p50,2480.000000,09:36,REASSESS_EXIT,0.001252,0.000000,10,True,22,09:36,0.001090
BHARTIARTL_NS,LONG,20260908,1832.199951,1905.590561,1782.276072,-0.000546,1831.200000,USABLE,5,mae_h300_p75,1834.500000,09:43,REASSESS_EXIT,0.001255,0.000000,17,True,29,09:43,-0.000382
BOSCHLTD_NS,SHORT,20260908,48470.000000,46689.002445,50486.348041,-0.001135,48414.990000,LIMITED,4,mae_h300_p50,48414.990000,09:59,STOP,0.001135,-0.000516,33,False,None,None,-0.002269
CANBK_NS,SHORT,20260908,124.570000,120.596650,130.016548,-0.014132,122.810000,LIMITED,4,mae_h300_p50,122.810000,09:27,STOP,0.014129,-0.000080,1,False,None,None,-0.001044
DRREDDY_NS,LONG,20260908,1145.599976,1183.456885,1107.334671,-0.033402,1107.330000,LIMITED,3,adaptive_risk,1146.800049,09:44,REASSESS_EXIT,0.001048,-0.001397,18,True,30,09:44,0.001222
GODREJPROP_NS,LONG,20260908,1895.400024,1998.898556,1791.554255,-0.054788,1791.550000,USABLE,5,adaptive_risk,1890.699951,09:58,REASSESS_EXIT,-0.002480,-0.004959,32,True,44,09:58,0.002374
HDFCBANK_NS,LONG,20260908,706.349976,721.642640,689.189571,-0.001133,705.550000,USABLE,5,mae_h300_p75,705.700012,09:42,REASSESS_EXIT,-0.000920,-0.000920,16,True,28,09:42,0.001062
HDFCLIFE_NS,LONG,20260908,539.750000,561.387549,521.226293,-0.034319,521.230000,USABLE,5,adaptive_risk,541.000000,09:40,REASSESS_EXIT,0.002316,0.000000,14,True,26,09:40,0.003150
INDUSTOWER_NS,LONG,20260908,373.750000,391.967676,357.552267,-0.043338,357.550000,USABLE,5,adaptive_risk,373.950012,10:14,HORIZON,0.000535,-0.001472,48,False,None,None,0.000535
IOC_NS,LONG,20260908,134.789993,139.528877,130.001980,-0.003487,134.320000,USABLE,5,mae_h300_p75,135.149994,09:44,REASSESS_EXIT,0.002671,0.000000,18,True,30,09:44,0.001187
ITC_NS,LONG,20260908,263.500000,268.852286,256.821677,-0.025345,256.820000,USABLE,5,adaptive_risk,263.100006,10:04,REASSESS_EXIT,-0.001518,-0.001518,38,True,50,10:04,0.003036
JSWSTEEL_NS,SHORT,20260908,1306.699951,1252.062068,1365.092845,-0.044687,1248.310000,USABLE,5,adaptive_risk,1248.310000,09:27,STOP,0.044685,0.000000,1,False,None,None,-0.001760
JUBLFOOD_NS,SHORT,20260908,472.799988,455.973568,488.775123,-0.005848,470.040000,LIMITED,4,mae_h300_p50,470.040000,09:27,STOP,0.005838,0.000000,1,False,None,None,-0.002961
LUPIN_NS,LONG,20260908,2095.699951,2178.879138,2029.535310,-0.031572,2029.540000,USABLE,5,adaptive_risk,2096.199951,10:05,REASSESS_EXIT,0.000239,0.000000,39,True,51,10:05,0.002338
MARUTI_NS,LONG,20260908,12636.000000,12972.958076,12244.382599,-0.001308,12619.470000,LIMITED,4,mae_h60_p50,12641.000000,09:43,REASSESS_EXIT,0.000396,0.000000,17,True,29,09:43,-0.000317
ONGC_NS,LONG,20260908,232.919998,240.158596,224.201699,-0.037430,224.200000,USABLE,5,adaptive_risk,233.529999,09:37,REASSESS_EXIT,0.002619,0.000000,11,True,23,09:37,0.000129
PNB_NS,SHORT,20260908,116.300003,109.697830,121.358002,-0.008563,115.300000,USABLE,5,mae_h300_p50,115.300000,09:27,STOP,0.008598,0.000000,1,False,None,None,-0.001118
RECLTD_NS,LONG,20260908,315.600006,327.367344,301.366397,-0.045100,301.370000,USABLE,5,adaptive_risk,315.549988,09:32,REASSESS_EXIT,-0.000158,-0.000317,6,True,18,09:32,0.000634
SBILIFE_NS,LONG,20260908,1723.599976,1790.199251,1669.556249,-0.031355,1669.560000,USABLE,5,adaptive_risk,1722.400024,09:40,REASSESS_EXIT,-0.000696,-0.000696,14,True,26,09:40,0.000464
SBIN_NS,SHORT,20260908,1006.099976,967.612478,1037.332768,-0.009743,996.300000,LIMITED,3,mae_h300_p50,996.300000,09:27,STOP,0.009741,0.000000,1,False,None,None,-0.002684
TATACONSUM_NS,LONG,20260908,1009.900024,1053.928669,980.721528,-0.000792,1009.100000,LIMITED,4,mae_h300_p50,1010.099976,09:46,REASSESS_EXIT,0.000198,-0.000693,20,True,32,09:46,0.005050
TITAN_NS,SHORT,20260908,4990.500000,4822.315420,5135.901667,-0.000751,4986.750000,LIMITED,4,mae_h300_p50,4986.750000,09:31,STOP,0.000751,0.000000,5,False,None,None,0.000301
