ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
ADANIENT.NS,1219,1210,1019,200,0,1015,195,465,185,336,17,185,195,0,195,0.2689655172413793,0.2923076923076923,3.0532067372025864,4.416855840870797,0.26021505376344084,0.35135135135135137,0.2261904761904762,0.2923076923076923
ADANIGREEN.NS,1219,1210,1022,197,0,1013,197,454,173,357,27,173,197,0,197,0.25074037512339586,0.23857868020304568,3.6357008422298316,5.247860985584861,0.22466960352422907,0.35260115606936415,0.226890756302521,0.23857868020304568
ADANIPORTS.NS,1218,1209,1029,189,0,1020,189,533,144,314,17,144,189,0,189,0.2803921568627451,0.25925925925925924,2.6099574748051246,3.9987403439653164,0.26454033771106944,0.4097222222222222,0.2484076433121019,0.25925925925925924
AMBUJACEM.NS,1219,1210,1035,184,0,1033,177,414,185,405,8,185,177,0,177,0.2700871248789932,0.21468926553672316,2.4625195791913015,3.6173297139790885,0.2971014492753623,0.24864864864864866,0.25925925925925924,0.21468926553672316
APOLLOHOSP.NS,1219,1210,1017,202,0,1012,198,532,190,261,6,190,198,0,198,0.2855731225296443,0.21717171717171718,2.3602252551348717,3.491541311228997,0.29699248120300753,0.2789473684210526,0.26436781609195403,0.21717171717171718
ASIANPAINT.NS,1219,1210,1052,167,0,1044,166,421,178,416,10,178,166,0,166,0.3045977011494253,0.26506024096385544,1.87591603969247,3.140122916305172,0.36342042755344417,0.33707865168539325,0.2283653846153846,0.26506024096385544
AUROPHARMA.NS,1218,1209,1059,159,0,1050,159,522,152,347,11,152,159,0,159,0.30952380952380953,0.2138364779874214,2.7752660310382966,4.309071681001065,0.36015325670498083,0.21710526315789475,0.29971181556195964,0.2138364779874214
AXISBANK.NS,1219,1210,1035,184,0,1026,184,500,178,319,18,178,184,0,184,0.29142300194931775,0.24456521739130435,2.160549787784327,3.2584321286390585,0.284,0.3089887640449438,0.2727272727272727,0.24456521739130435
BAJAJ-AUTO.NS,1218,1209,1012,206,0,1003,206,604,137,233,24,137,206,0,206,0.33599202392821537,0.20388349514563106,2.2970151087090036,3.48151251088984,0.34933774834437087,0.34306569343065696,0.30042918454935624,0.20388349514563106
BAJAJFINSV.NS,1219,1210,1041,178,0,1032,178,391,218,394,28,218,178,0,178,0.2751937984496124,0.24157303370786518,2.187510410754175,3.2124447634658537,0.2966751918158568,0.2889908256880734,0.23096446700507614,0.24157303370786518
BAJFINANCE.NS,1219,1210,1022,197,0,1013,197,423,177,384,23,177,197,0,197,0.3228035538005923,0.34517766497461927,2.5043203588083207,3.899123998683174,0.27423167848699764,0.5310734463276836,0.2916666666666667,0.34517766497461927
BANDHANBNK.NS,1218,1209,1030,188,0,1021,188,360,176,456,26,176,188,0,188,0.2752203721841332,0.2393617021276596,3.143131316327471,4.375476822719531,0.2611111111111111,0.38636363636363635,0.23464912280701755,0.2393617021276596
BANKBARODA.NS,1219,1210,996,223,0,987,223,542,146,270,29,146,223,0,223,0.3120567375886525,0.2242152466367713,3.0552457527329344,4.538796977464132,0.26199261992619927,0.410958904109589,0.3037037037037037,0.2242152466367713
BERGEPAINT.NS,1217,1208,1069,148,0,1060,148,444,154,433,10,154,148,0,148,0.24528301886792453,0.25,2.239136419412324,3.2403855337744947,0.2747747747747748,0.2532467532467532,0.19399538106235567,0.25
BHARTIARTL.NS,1219,1210,1036,183,0,1027,183,635,134,229,20,134,183,0,183,0.317429406037001,0.3005464480874317,2.1720480119101193,3.4955378941127235,0.32598425196850395,0.31343283582089554,0.31877729257641924,0.3005464480874317
BOSCHLTD.NS,1216,1207,1039,177,0,1031,176,545,163,294,29,163,176,0,176,0.3258971871968962,0.23863636363636365,2.3079149762962388,3.748989378278248,0.3706422018348624,0.22699386503067484,0.2755102040816326,0.23863636363636365
