ticker,direction,entry_price,adaptive_risk,adaptive_risk_pct,n_obs,coverage_quality,candidate_stop_pct,candidate_stop_price,confidence,rationale,vs_adaptive_risk_pp,expected_stop_rate,expected_loss_if_stopped,expected_saving_vs_ar
ADANIGREEN_NS,LONG,1280.000000,1199.802005,-0.062655,5,USABLE,-0.003281,1275.800000,MEDIUM,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.059374,0.750000,-0.003281,-0.059374
AMBUJACEM_NS,LONG,396.950012,380.599025,-0.041192,5,USABLE,-0.001852,396.210000,MEDIUM,Candidate = MAE_H300_p75 (-0.185%). Gives room beyond typical adverse move (P50=-0.315%) while tighter than adaptive_risk (-4.119%).,0.039340,0.750000,-0.001852,-0.039340
ASIANPAINT_NS,LONG,2476.899902,2399.746188,-0.031149,4,LIMITED,-0.000505,2475.650000,LOW,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.030644,0.750000,-0.000505,-0.030644
BHARTIARTL_NS,LONG,1832.199951,1782.276072,-0.027248,5,USABLE,-0.000546,1831.200000,MEDIUM,Candidate = MAE_H300_p75 (-0.055%). Gives room beyond typical adverse move (P50=-0.088%) while tighter than adaptive_risk (-2.725%).,0.026702,0.750000,-0.000546,-0.026702
BOSCHLTD_NS,SHORT,48470.000000,50486.348041,-0.041600,4,LIMITED,-0.001135,48414.990000,LOW,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.040465,0.750000,-0.001135,-0.040465
CANBK_NS,SHORT,124.570000,130.016548,-0.043723,4,LIMITED,-0.007851,123.590000,LOW,Candidate = MAE_H300_p75 (-0.785%). Gives room beyond typical adverse move (P50=-1.413%) while tighter than adaptive_risk (-4.372%).,0.035872,0.750000,-0.007851,-0.035872
DRREDDY_NS,LONG,1145.599976,1107.334671,-0.033402,3,LIMITED,-0.005000,1139.870000,LOW,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.028402,0.750000,-0.005000,-0.028402
GODREJPROP_NS,LONG,1895.400024,1791.554255,-0.054788,5,USABLE,-0.005000,1885.920000,MEDIUM,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.049788,0.750000,-0.005000,-0.049788
HDFCBANK_NS,LONG,706.349976,689.189571,-0.024294,5,USABLE,-0.001133,705.550000,MEDIUM,Candidate = MAE_H300_p75 (-0.113%). Gives room beyond typical adverse move (P50=-0.226%) while tighter than adaptive_risk (-2.429%).,0.023161,0.750000,-0.001133,-0.023161
HDFCLIFE_NS,LONG,539.750000,521.226293,-0.034319,5,USABLE,-0.005000,537.050000,MEDIUM,P75 MAE is non-negative (symbol rarely moves adversely). Using P50 or 0.5% floor.,0.029319,0.750000,-0.005000,-0.029319
