ticker,direction,date,entry_price,adaptive_risk,adaptive_risk_pct,n_obs,coverage_quality,h60_ret,path_context,base_tier,final_tier,candidate_stop_pct,candidate_stop_price,confidence,rationale,vs_adaptive_risk_pp
ADANIGREEN_NS,LONG,20260908,1280.000000,1199.802005,-0.062655,5,USABLE,0.005391,NORMAL,mae_h300_p75,adaptive_risk,-0.062655,1199.800000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=adaptive_risk. H60=+0.539%. Candidate=-6.265% vs AR=-6.265%.",0.000000
AMBUJACEM_NS,LONG,20260908,396.950012,380.599025,-0.041192,5,USABLE,0.002393,STRONG_FAVOUR,mae_h300_p75,mae_h300_p50,-0.003149,395.700000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=STRONG_FAVOUR → final=mae_h300_p50. H60=+0.239%. Candidate=-0.315% vs AR=-4.119%.",0.038043
ASIANPAINT_NS,LONG,20260908,2476.899902,2399.746188,-0.031149,4,LIMITED,0.002665,NORMAL,mae_h300_p50,mae_h300_p50,-0.000505,2475.650000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.266%. Candidate=-0.051% vs AR=-3.115%.",0.030644
BHARTIARTL_NS,LONG,20260908,1832.199951,1782.276072,-0.027248,5,USABLE,0.003166,NORMAL,mae_h300_p75,mae_h300_p75,-0.000546,1831.200000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=mae_h300_p75. H60=+0.317%. Candidate=-0.055% vs AR=-2.725%.",0.026702
BOSCHLTD_NS,SHORT,20260908,48470.000000,50486.348041,-0.041600,4,LIMITED,0.001341,NORMAL,mae_h300_p50,mae_h300_p50,-0.001135,48414.990000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.134%. Candidate=-0.113% vs AR=-4.160%.",0.040465
CANBK_NS,SHORT,20260908,124.570000,130.016548,-0.043723,4,LIMITED,0.000562,NORMAL,mae_h300_p50,mae_h300_p50,-0.014132,122.810000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.056%. Candidate=-1.413% vs AR=-4.372%.",0.029591
DRREDDY_NS,LONG,20260908,1145.599976,1107.334671,-0.033402,3,LIMITED,0.000175,NORMAL,mae_h300_p50,adaptive_risk,-0.033402,1107.330000,LOW,"n=3 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=adaptive_risk. H60=+0.017%. Candidate=-3.340% vs AR=-3.340%.",0.000000
GODREJPROP_NS,LONG,20260908,1895.400024,1791.554255,-0.054788,5,USABLE,-0.001266,NORMAL,mae_h300_p75,adaptive_risk,-0.054788,1791.550000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=adaptive_risk. H60=-0.127%. Candidate=-5.479% vs AR=-5.479%.",0.000000
HDFCBANK_NS,LONG,20260908,706.349976,689.189571,-0.024294,5,USABLE,0.000920,NORMAL,mae_h300_p75,mae_h300_p75,-0.001133,705.550000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=mae_h300_p75. H60=+0.092%. Candidate=-0.113% vs AR=-2.429%.",0.023161
HDFCLIFE_NS,LONG,20260908,539.750000,521.226293,-0.034319,5,USABLE,0.008430,STRONG_FAVOUR,mae_h300_p75,adaptive_risk,-0.034319,521.230000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=STRONG_FAVOUR → final=adaptive_risk. H60=+0.843%. Candidate=-3.432% vs AR=-3.432%.",0.000000
