ticker,direction,date,entry_price,ret_h60,ret_h120,ret_h300,mae_h60,mae_h120,mae_h180,mae_h300,mfe_h60,mfe_h120,mfe_h300,recovered_to_positive,time_to_recovery_bars,n_bars
ADANIENT_NS,LONG,20260903,2901.000000,0.006412,0.001861,-0.001310,-0.001724,-0.001724,-0.001724,-0.001930,0.006412,0.006412,0.006412,False,1,360
ADANIENT_NS,LONG,20260904,2938.000000,-0.013274,-0.007999,-0.002349,-0.018788,-0.018788,-0.018788,-0.018788,0.000000,0.000000,0.000000,False,None,361
ADANIENT_NS,LONG,20260907,2950.000000,-0.003322,-0.002136,0.001458,-0.007627,-0.007627,-0.007627,-0.007627,0.000102,0.000102,0.004644,True,37,361
ADANIENT_NS,LONG,20260908,2934.399902,0.001125,0.000613,0.003101,-0.005555,-0.005555,-0.005555,-0.005555,0.001125,0.001500,0.003408,True,9,360
ADANIENT_NS,LONG,20260909,3104.699951,-0.036525,-0.028570,-0.008986,-0.048797,-0.048797,-0.048797,-0.048797,0.000000,0.000000,0.000000,False,None,361
ADANIGREEN_NS,LONG,20260903,1283.400024,0.019947,0.014649,0.005610,0.000000,0.000000,0.000000,0.000000,0.020726,0.020726,0.020726,True,1,360
ADANIGREEN_NS,LONG,20260904,1301.300049,-0.012833,-0.006993,-0.009990,-0.017290,-0.017290,-0.017290,-0.017290,0.000000,0.000000,0.000000,False,None,361
ADANIGREEN_NS,LONG,20260907,1288.000000,0.008385,0.011025,0.013121,0.000000,0.000000,0.000000,0.000000,0.016693,0.016693,0.016926,True,1,361
ADANIGREEN_NS,LONG,20260908,1280.000000,0.005391,0.001719,0.003438,-0.002734,-0.002734,-0.002734,-0.003281,0.005391,0.005469,0.005469,True,2,360
ADANIGREEN_NS,LONG,20260909,1315.000000,-0.009354,-0.001901,0.010646,-0.018479,-0.018479,-0.018479,-0.018479,0.000000,0.000000,0.011027,True,25,361
ADANIPORTS_NS,LONG,20260903,1706.500000,0.000586,-0.003164,-0.006446,-0.010020,-0.010020,-0.010020,-0.010020,0.001875,0.001875,0.001875,False,11,361
ADANIPORTS_NS,LONG,20260904,1707.300049,-0.002226,0.000117,0.002929,-0.008727,-0.008727,-0.008727,-0.008727,0.000000,0.000293,0.003749,True,24,361
AMBUJACEM_NS,LONG,20260903,405.000000,-0.002469,-0.001358,-0.003951,-0.003704,-0.003704,-0.003704,-0.003951,0.000000,0.000123,0.000123,False,18,361
AMBUJACEM_NS,LONG,20260904,405.000000,-0.000247,0.000617,0.002222,-0.001852,-0.001852,-0.001852,-0.001852,0.001481,0.001481,0.003333,True,2,361
AMBUJACEM_NS,LONG,20260907,398.600006,0.007903,0.012418,0.010913,0.000000,0.000000,0.000000,0.000000,0.015931,0.015931,0.015931,True,1,361
AMBUJACEM_NS,LONG,20260908,396.950012,0.002393,0.001260,0.005164,-0.001386,-0.001386,-0.001386,-0.004031,0.002519,0.003023,0.005164,True,2,360
AMBUJACEM_NS,LONG,20260909,397.000000,0.002015,0.001511,0.001763,-0.003149,-0.003149,-0.003149,-0.003149,0.002015,0.002015,0.003023,True,1,361
APOLLOHOSP_NS,LONG,20260903,8692.000000,-0.002243,-0.000115,0.006443,-0.003854,-0.003854,-0.003854,-0.003854,0.001323,0.001323,0.006960,True,28,361
APOLLOHOSP_NS,LONG,20260904,8650.000000,0.007803,0.006994,0.006474,0.000000,0.000000,0.000000,0.000000,0.008902,0.008902,0.008902,True,1,361
ASIANPAINT_NS,LONG,20260904,2527.300049,0.005540,0.005302,0.007360,0.000000,0.000000,0.000000,0.000000,0.006450,0.006529,0.008982,True,1,361
ASIANPAINT_NS,LONG,20260907,2500.899902,0.005638,0.005678,0.004918,0.000000,0.000000,0.000000,0.000000,0.008877,0.008877,0.008877,True,1,360
ASIANPAINT_NS,LONG,20260908,2476.899902,0.002665,0.000888,0.001090,0.000000,0.000000,-0.000565,-0.001009,0.008882,0.008882,0.008882,True,1,360
ASIANPAINT_NS,LONG,20260909,2489.000000,-0.007794,-0.007915,-0.009924,-0.011290,-0.011290,-0.011290,-0.012374,0.000000,0.000000,0.000000,False,None,361
AUROPHARMA_NS,SHORT,20260903,1637.300049,-0.009222,-0.009589,-0.012704,-0.009222,-0.013315,-0.013315,-0.015330,0.000794,0.000794,0.000794,False,None,360
AUROPHARMA_NS,SHORT,20260904,1653.099976,0.012764,0.014518,-0.000544,0.000000,0.000000,0.000000,-0.005081,0.015970,0.018450,0.018450,False,1,360
AXISBANK_NS,LONG,20260903,1267.000000,0.001815,0.005130,0.003867,-0.003394,-0.003394,-0.003394,-0.003394,0.004262,0.006156,0.009392,True,1,361
AXISBANK_NS,LONG,20260904,1273.000000,-0.006284,-0.006127,-0.007384,-0.007934,-0.008405,-0.008405,-0.008405,0.000000,0.000000,0.000000,False,None,361
BAJAJ-AUTO_NS,LONG,20260909,11790.000000,0.005174,0.003902,0.004580,0.000000,0.000000,0.000000,0.000000,0.008736,0.008736,0.008736,True,1,361
BAJAJ-AUTO_NS,SHORT,20260903,11920.000000,-0.018121,-0.017534,-0.017617,-0.020554,-0.020554,-0.020554,-0.020554,0.000000,0.000000,0.000000,False,None,360
BAJAJ-AUTO_NS,SHORT,20260904,11919.000000,-0.006712,-0.005202,-0.004866,-0.006796,-0.006796,-0.006796,-0.008642,0.000000,0.000000,0.000000,False,None,361
BAJAJ-AUTO_NS,SHORT,20260907,11800.000000,0.001695,0.002881,-0.000508,-0.004068,-0.004068,-0.004068,-0.004068,0.005254,0.005254,0.005254,False,1,360
BAJAJ-AUTO_NS,SHORT,20260908,11726.000000,-0.004690,-0.003838,-0.000085,-0.005117,-0.005970,-0.005970,-0.005970,0.000000,0.000000,0.000853,False,49,360
BAJAJFINSV_NS,LONG,20260909,1927.000000,0.004670,0.003581,0.002335,0.000000,0.000000,0.000000,0.000000,0.008822,0.008822,0.008822,True,1,361
BAJAJFINSV_NS,SHORT,20260903,1992.099976,0.002259,0.003263,0.004819,-0.000954,-0.000954,-0.000954,-0.000954,0.002811,0.003564,0.005070,True,1,361
BAJAJFINSV_NS,SHORT,20260904,1970.000000,-0.010914,-0.010508,-0.009442,-0.012284,-0.012284,-0.012284,-0.012284,0.000000,0.000000,0.000000,False,None,361
BAJAJFINSV_NS,SHORT,20260907,1938.599976,-0.013154,-0.013721,-0.014598,-0.017074,-0.017074,-0.017074,-0.017074,0.000000,0.000000,0.000000,False,None,361
BAJAJFINSV_NS,SHORT,20260908,1942.199951,-0.000360,0.000309,-0.003347,-0.003707,-0.003707,-0.003707,-0.003707,0.001648,0.002060,0.004428,False,6,360
BAJFINANCE_NS,LONG,20260903,1049.000000,0.003241,-0.000477,0.006959,0.000000,-0.001430,-0.001430,-0.001430,0.008580,0.008580,0.009438,True,1,361
BAJFINANCE_NS,LONG,20260904,1060.500000,-0.005752,-0.005186,-0.006601,-0.010090,-0.010090,-0.010090,-0.010090,0.000000,0.000000,0.000000,False,None,361
BAJFINANCE_NS,LONG,20260907,1060.000000,0.003679,0.001415,0.000000,0.000000,0.000000,0.000000,-0.000472,0.009340,0.009340,0.009340,False,1,360
