ticker,direction,n_obs,mae_h300_p25,mae_h300_p50,mae_h300_p75,mae_h300_p90,mae_h300_p95,mae_h60_p50,mae_h60_p75,mfe_h300_p50,win_rate_h300,recovery_rate,mean_ret_h300,mean_time_to_recovery_bars
ADANIENT_NS,LONG,5,-0.018788,-0.007627,-0.005555,-0.003380,-0.002655,-0.007627,-0.005555,0.003408,0.400000,0.400000,-0.001617,15.666667
ADANIGREEN_NS,LONG,5,-0.017290,-0.003281,0.000000,0.000000,0.000000,-0.002734,0.000000,0.011027,0.800000,0.800000,0.004565,7.250000
ADANIPORTS_NS,LONG,2,-0.009697,-0.009374,-0.009051,-0.008857,-0.008792,-0.009374,-0.009051,0.002812,0.500000,0.500000,-0.001759,17.500000
AMBUJACEM_NS,LONG,5,-0.003951,-0.003149,-0.001852,-0.000741,-0.000370,-0.001852,-0.001386,0.003333,0.800000,0.800000,0.003222,4.800000
APOLLOHOSP_NS,LONG,2,-0.002891,-0.001927,-0.000964,-0.000385,-0.000193,-0.001927,-0.000964,0.007931,1.000000,1.000000,0.006458,14.500000
ASIANPAINT_NS,LONG,4,-0.003851,-0.000505,0.000000,0.000000,0.000000,0.000000,0.000000,0.008879,0.750000,0.750000,0.000861,1
AUROPHARMA_NS,SHORT,2,-0.012768,-0.010206,-0.007644,-0.006106,-0.005594,-0.004611,-0.002306,0.009622,0.000000,0.000000,-0.006624,1
AXISBANK_NS,LONG,2,-0.007152,-0.005900,-0.004647,-0.003895,-0.003644,-0.005664,-0.004529,0.004696,0.500000,0.500000,-0.001758,1
BAJAJ-AUTO_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008736,1.000000,1.000000,0.004580,1
BAJAJ-AUTO_NS,SHORT,4,-0.011620,-0.007306,-0.005494,-0.004638,-0.004353,-0.005956,-0.004855,0.000426,0.000000,0.000000,-0.005769,25
BAJAJFINSV_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008822,1.000000,1.000000,0.002335,1
BAJAJFINSV_NS,SHORT,4,-0.013482,-0.007996,-0.003019,-0.001780,-0.001367,-0.007996,-0.003019,0.002214,0.250000,0.250000,-0.005642,3.500000
BAJFINANCE_NS,LONG,4,-0.003595,-0.000951,-0.000354,-0.000142,-0.000071,0.000000,0.000000,0.009389,0.500000,0.500000,0.000956,1
BAJFINANCE_NS,SHORT,1,-0.004649,-0.004649,-0.004649,-0.004649,-0.004649,-0.004649,-0.004649,0.003795,0.000000,0.000000,-0.003226,5
BANDHANBNK_NS,LONG,5,-0.017705,-0.013358,-0.008525,-0.003410,-0.001705,-0.013358,-0.008525,0.015254,0.800000,0.800000,0.006155,20.750000
BANKBARODA_NS,LONG,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014100,1.000000,1.000000,0.005333,3
BERGEPAINT_NS,LONG,1,-0.001648,-0.001648,-0.001648,-0.001648,-0.001648,0.000000,0.000000,0.023491,1.000000,1.000000,0.000000,1
BHARTIARTL_NS,LONG,5,-0.005297,-0.000882,-0.000546,-0.000218,-0.000109,-0.000882,0.000000,0.006440,0.400000,0.400000,0.001734,1
BOSCHLTD_NS,SHORT,4,-0.002503,-0.001135,0.000000,0.000000,0.000000,-0.000052,0.000000,0.010066,0.750000,0.750000,0.007418,4.250000
BPCL_NS,LONG,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013594,1.000000,1.000000,0.007927,1
BPCL_NS,SHORT,2,-0.012950,-0.009731,-0.006513,-0.004582,-0.003938,-0.008084,-0.004042,0.008388,0.500000,0.500000,-0.000154,20.500000
BRITANNIA_NS,LONG,5,-0.009552,-0.002488,-0.002082,-0.000833,-0.000416,-0.002488,0.000000,0.002985,0.400000,0.400000,-0.001012,1.333333
CANBK_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008140,1.000000,1.000000,0.006609,1
CANBK_NS,SHORT,4,-0.018199,-0.014132,-0.007851,-0.003766,-0.002405,-0.014132,-0.007590,0.000000,0.000000,0.000000,-0.007103,1
CHOLAFIN_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011147,1.000000,1.000000,0.007178,1
CIPLA_NS,LONG,2,-0.004495,-0.002996,-0.001498,-0.000599,-0.000300,-0.000181,-0.000090,0.011573,1.000000,1.000000,0.005852,1
COALINDIA_NS,LONG,4,-0.007842,-0.007071,-0.005800,-0.004105,-0.003541,-0.005928,-0.004085,0.005479,0.250000,0.250000,0.000081,15.500000
COALINDIA_NS,SHORT,1,-0.008237,-0.008237,-0.008237,-0.008237,-0.008237,-0.007193,-0.007193,0.024362,0.000000,0.000000,-0.006613,1
COLPAL_NS,LONG,4,-0.003168,-0.001083,0.000000,0.000000,0.000000,0.000000,0.000000,0.009621,0.750000,0.750000,0.002253,1.250000
DABUR_NS,LONG,5,-0.008926,-0.008406,-0.002934,-0.001174,-0.000587,-0.002801,0.000000,0.003334,0.400000,0.400000,-0.000371,9
DIVISLAB_NS,SHORT,4,-0.014027,-0.007813,-0.002116,-0.000846,-0.000423,-0.006403,0.000000,0.007398,0.250000,0.250000,-0.000387,1
