member,package,workspace_status,has_lib,has_main,explicit_bins,explicit_bin_names,implicit_bins,implicit_bin_names,deprecated_bins,deprecated_bin_names,examples,benches,tests_declared,direct_deps,notes
infrastructure/core,chronosentiment_core,Member,True,False,0,,4,capture_daemon|chronology_serialize_probe|historical_importer|yahoo_importer,0,,0,0,0,serde|serde_json|blake3|rand_xorshift|rand_chacha|rand|rayon|csv|clap|prettytable-rs|tokio|yahoo_finance_api|reqwest|async-trait|chrono|sha2|tokio-tungstenite|futures-util|coralys-ecology,
infrastructure/optimization,chronosentiment_optimization,Member,True,False,0,,0,,0,,0,0,0,serde|serde_json|blake3|rand_xorshift|rand_chacha|rand|rayon|chronosentiment_core|chrono|coralys-moga,
infrastructure/observatory/api,api,Member,True,True,0,,0,,0,,0,0,0,axum|tokio|serde|serde_json|uuid|env_logger|log|tower-http|rand|blake3|chrono|chronosentiment_core|chronosentiment_strategies|chronosentiment_optimization,
financial/ese,cs-ingest,Member,True,True,1,cs-ingest,0,,0,,1,0,0,clap|serde|serde_json|flate2|sha2|chrono|anyhow|regex|reqwest,
financial/strategies,chronosentiment_strategies,Member,True,False,4,financial_replay|execution_simulator|strategy_simulator|trace_compiler,5,execution_replay|execution_simulator|financial_replay|strategy_simulator|trace_compiler,0,,0,0,0,chronosentiment_core|cs-ingest|serde|serde_json|clap|chronosentiment_optimization|sha2|chronosentiment_financial_core|coralys-ecology,
financial/core,chronosentiment_financial_core,Member,True,False,0,,0,,0,,0,0,0,chronosentiment_core,
coralys-moga,coralys-moga,Member,True,True,0,,1,experiment,0,,0,0,0,rand|serde|serde_json|coralys-core,
coralys-simulation,coralys-simulation,Member,True,False,0,,0,,0,,0,0,0,,
coralys-ecology,coralys-ecology,Member,True,False,0,,0,,0,,0,0,0,serde|coralys-core,
coralys-decision,coralys-decision,Member,True,False,0,,0,,0,,0,0,0,,
coralys-recommendation,coralys-recommendation,Member,True,False,0,,0,,0,,0,0,0,coralys-ecology|serde,
coralys-infrastructure,coralys-infrastructure,Member,True,False,0,,0,,0,,0,0,0,,
