path,member,compile_status,build_classification
infrastructure/core/src/bin/capture_daemon.rs,infrastructure/core,Reachable,binary:implicit
infrastructure/core/src/bin/chronology_serialize_probe.rs,infrastructure/core,Reachable,binary:implicit
infrastructure/core/src/bin/historical_importer.rs,infrastructure/core,Reachable,binary:implicit
infrastructure/core/src/bin/yahoo_importer.rs,infrastructure/core,Reachable,binary:implicit
infrastructure/core/src/binance_adapter.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/cognition.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/csv_source.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/data_source.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/ese.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/folder_source.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/harness.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/inspector.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/lib.rs,infrastructure/core,Reachable,lib:root
infrastructure/core/src/market_adapter.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/morphology.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/observatory.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/replay.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/selection_cap.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/test_assets.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/src/topology.rs,infrastructure/core,Reachable,lib:module
infrastructure/core/tests/demo_test.rs,infrastructure/core,Reachable,test
infrastructure/core/tests/determinism_test.rs,infrastructure/core,Reachable,test
infrastructure/core/tests/explainability_test.rs,infrastructure/core,Reachable,test
infrastructure/optimization/src/evolution_engine.rs,infrastructure/optimization,Reachable,lib:module
infrastructure/optimization/src/lib.rs,infrastructure/optimization,Reachable,lib:root
infrastructure/optimization/tests/determinism_test.rs,infrastructure/optimization,Reachable,test
infrastructure/optimization/tests/evolution_determinism.rs,infrastructure/optimization,Reachable,test
infrastructure/optimization/tests/structural_invariants.rs,infrastructure/optimization,Reachable,test
infrastructure/observatory/api/examples/certify.rs,infrastructure/observatory/api,Orphan,example
infrastructure/observatory/api/src/certify.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/dto.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/errors.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/events.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/handlers/mod.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/handlers/strategy_handlers.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/inspect_projection.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/inspector.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/lib.rs,infrastructure/observatory/api,Reachable,lib:root
infrastructure/observatory/api/src/main.rs,infrastructure/observatory/api,Reachable,binary:main
infrastructure/observatory/api/src/market_adapter.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/market_data_simulate.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/replay.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/routes/mod.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/routes/strategy_routes.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/aggregator.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/attestation.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/domain.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/evaluate.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/mod.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/registry.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/scenario/result.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/services/evaluation_service.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/services/mod.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/signatures.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/simulate.rs,infrastructure/observatory/api,Reachable,lib:module
infrastructure/observatory/api/src/strategy_id_parse.rs,infrastructure/observatory/api,Reachable,lib:module
