instance,pub_team,regime,vector_area_diff,pub_Top1,our_Top1,diff_Top1,pub_Top2,our_Top2,diff_Top2,pub_Top5,our_Top5,diff_Top5,pub_Top10,our_Top10,diff_Top10,pub_Top20,our_Top20,diff_Top20,pub_Top50,our_Top50,diff_Top50,pub_Top100,our_Top100,diff_Top100,pub_Top500,our_Top500,diff_Top500,pub_Top1000,our_Top1000,diff_Top1000,pub_All,our_All,diff_All
setA-01,S8,"Regime-B-Shape: MLU Matched, Shape Diverges",-11.182247367,0.929383,0.9293839,9.000000000813912e-07,1.481335,1.6589767160000002,0.17764171600000012,2.954643,3.414053586,0.4594105860000002,5.277605,5.8533196610000005,0.5757146610000001,9.518376,9.803387288,0.28501128799999975,19.678088,15.870980104000001,-3.807107895999998,30.56799,16.142473633,-14.425516367,32.318128,16.142473633,-16.175654367,32.318128,16.142473633,-16.175654367,32.318128,16.142473633,-16.175654367
setA-02,S69,"Regime-B-Shape: MLU Matched, Shape Diverges",-17.938583050000002,0.903074,0.903074709,7.08999999932125e-07,1.4516520000000002,1.580931398,0.12927939799999977,3.008694,3.278418226,0.2697242259999997,5.283187,5.903348688,0.6201616880000005,9.053985,10.121943123,1.0679581229999986,17.318839,17.319601318,0.0007623179999995955,28.538502,19.51450295,-9.02399905,42.21142,19.51450295,-22.696917049999996,42.21142,19.51450295,-22.696917049999996,42.21142,19.51450295,-22.696917049999996
setA-03,S69,Regime-B-MLU: Moderate MLU Gap,-24.882612433,0.943543,0.982168293,0.03862529299999995,1.565165,1.711778259,0.146613259,3.313227,3.630895984,0.317668984,5.8520900000000005,6.389287416,0.5371974159999997,10.422258,10.404877358,-0.017380641999999114,19.973045,17.216987304,-2.756057695999999,30.608372,18.188702567,-12.419669433,43.071315,18.188702567,-24.882612433,43.071315,18.188702567,-24.882612433,43.071315,18.188702567,-24.882612433
setA-04,J27,"Regime-B-Shape: MLU Matched, Shape Diverges",-18.626749515,0.581237,0.588574874,0.0073378739999999665,1.162094,1.150793384,-0.011300615999999986,2.533774,2.770525973,0.23675197299999962,4.514943,4.810274162,0.2953311620000001,7.486234,8.062835734,0.5766017340000005,14.047792,15.668787198,1.620995198000001,23.276595,24.007932646,0.7313376460000001,59.598567,28.319679484999998,-31.278887515000005,59.598567,28.319679484999998,-31.278887515000005,59.598567,28.319679484999998,-31.278887515000005
setA-05,S2,"Regime-B-Shape: MLU Matched, Shape Diverges",-4.723246801,0.204985,0.204985875,8.750000000112834e-07,0.320508,0.359621875,0.039113874999999965,0.640454,0.748723315,0.10826931500000003,1.112475,1.34344113,0.23096612999999988,1.889512,2.366053347,0.4765413469999997,3.621693,4.238209638,0.6165166379999998,5.418626,5.8993128519999996,0.48068685199999983,13.571985,7.455165199,-6.116819801,14.031956,7.455165199,-6.576790801,14.031956,7.455165199,-6.576790801
setA-06,J50,Regime-A: Construction/Search Failure,0.38305128900000046,0.098591,0.6338029,0.5352119,0.197182,1.2535212,1.0563392,0.47042,2.9154929000000003,2.4450729000000004,0.877461,5.11971805,4.24225705,1.595766,7.60140808,6.005642079999999,3.46758,11.72112619,8.25354619,5.9429099999999995,15.092956964,9.150046964000001,19.860821,20.243872289,0.3830512889999973,25.90202,20.243872289,-5.658147711000002,25.90202,20.243872289,-5.658147711000002
setA-07,J50,"Regime-B-Shape: MLU Matched, Shape Diverges",-47.774250983,0.907989,0.907989441,4.409999999621661e-07,1.573006,1.6164174409999998,0.04341144099999994,3.449005,3.580090626,0.13108562599999996,6.056437,6.492504504,0.4360675040000004,10.187075,11.524054614,1.3369796140000005,19.360301,22.534692196,3.174391196000002,32.807514,36.937180417,4.129666417000003,126.112239,78.337988017,-47.774250983,163.727667,78.337988017,-85.389678983,163.727667,78.337988017,-85.389678983
setA-08,S22,Regime-A: Construction/Search Failure,-10.743266706,0.318903,0.561163237,0.24226023700000004,0.605313,1.062916621,0.45760362100000007,1.359509,2.402466421,1.042957421,2.420701,4.067393438,1.6466924379999996,4.095227,6.556727785,2.4615007849999992,7.752777,11.263193901,3.5104169009999993,11.740555,15.162730305,3.4221753049999997,28.935834,22.856026294,-6.079807706,36.92613,22.856026294,-14.070103706000001,36.92613,22.856026294,-14.070103706000001
setA-09,S2,Regime-B-MLU: Moderate MLU Gap,-66.858677914,0.84965,0.927677491,0.07802749099999995,1.656596,1.7773274909999999,0.12073149099999991,3.3681200000000002,3.936955618,0.5688356179999996,5.39719,6.68930997,1.29211997,8.724049,11.14887076,2.4248217599999986,16.970468,21.205042292,4.234574292000001,28.923828,34.173553959,5.249725959000003,104.744663,67.159421086,-37.58524191400001,147.836077,67.159421086,-80.676655914,149.140673,67.159421086,-81.981251914
setA-10,S2,Regime-A: Construction/Search Failure,3.11386758,0.071739,0.59130444,0.51956544,0.13913,1.14347846,1.00434846,0.339129,2.67500043,2.33587143,0.660866,4.72717459,4.06630859,1.203251,7.54347946,6.3402284600000005,2.556506,12.72989357,10.17338757,4.4461580000000005,18.090492428,13.644334428,16.815623,29.518429699,12.702806699,27.737491,30.236701580000002,2.4992105800000033,37.020211,30.236701580000002,-6.7835094200000015
