instance,best_team,best_mlu
setA-01,S8,0.929383900
setA-02,S69,0.903074709
setA-03,S69,0.982168293
setA-04,J27,0.588574874
setA-05,S2,0.204985875
setA-06,J50,0.098591000
setA-07,J50,0.907989441
setA-08,S22,0.561163237
setA-09,S2,0.927677491
setA-10,S2,0.071739000
setA-11,J27,0.785788957
setA-12,S22,0.879872592
setA-13,J50,0.041025000
setA-14,S2,0.572103669
setA-15,S2,0.898695808
setA-16,S2,0.044262000
setA-17,S22,0.424192341
setA-18,S22,0.999998765
setA-19,S22,0.999999850
setA-20,S67,0.991312385
