generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,7,50,8,0,53.97091042740893,0.7561325903046432,2.1413540542837324,0,0,,,,,,
1,19,50,17,0,52.41021060387973,0.7561325903046432,2.1345335934834155,0,0,,,,,,
2,26,50,27,1,52.41021060387973,0.7561325903046432,2.1345335934834155,0,0,,,,,,
3,40,50,35,0,51.936607069897775,0.7561325903046432,2.103121091813402,0,0,,,,,,
4,50,50,47,1,51.936607069897775,0.7561325903046432,2.103121091813402,0,0,,,,,,
5,49,50,47,0,51.533094277459384,0.7561325903046432,2.103121091813402,0,0,,,,,,
6,49,50,45,1,51.533094277459384,0.7561325903046432,2.103121091813402,0,0,,,,,,
7,50,50,43,0,51.44233439632373,0.7561325903046432,2.103121091813402,0,0,,,,,,
8,50,50,40,0,51.39338112177775,0.7561325903046432,2.096618210147849,0,0,,,,,,
9,49,50,27,0,51.24294994863425,0.7249329586824843,2.0811840360027736,0,0,,,,,,
10,50,50,24,1,51.24294994863425,0.7249329586824843,2.0811840360027736,0,0,,,,,,
11,48,50,21,0,51.125011935881275,0.7249329586824843,2.0740157834721358,0,0,,,,,,
12,50,50,22,0,51.08638098161122,0.7249329586824843,2.098891836125785,0,0,,,,,,
13,50,50,24,0,51.03742770706524,0.7249329586824843,2.0927801616695088,0,0,,,,,,
14,49,50,20,0,51.02492273532587,0.7249329586824843,2.0926592335023875,0,0,,,,,,
15,50,50,17,0,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
16,50,50,18,1,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
17,49,50,15,2,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
18,50,50,12,3,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
19,47,50,7,4,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
20,50,50,14,5,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
21,49,50,10,6,50.99083329799925,0.7249329586824843,2.086777718519643,0,0,,,,,,
22,49,50,16,0,50.98776871512101,0.7249329586824843,2.086777718519643,0,0,,,,,,
23,50,50,19,1,50.98776871512101,0.7249329586824843,2.086777718519643,0,0,,,,,,
24,50,50,12,2,50.98776871512101,0.7249329586824843,2.086777718519643,0,0,,,,,,
25,49,50,16,3,50.98776871512101,0.7249329586824843,2.086777718519643,0,0,,,,,,
26,49,50,14,0,50.840398742217424,0.7187466297135101,2.0719303677275356,0,0,,,,,,
27,48,50,13,0,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
28,48,50,13,1,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
29,49,50,20,2,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
30,48,50,19,3,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
31,49,50,20,4,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
32,49,50,11,5,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
33,48,50,17,6,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
34,49,50,9,7,50.719925104522595,0.7187466297135101,2.070726531793246,0,0,,,,,,
35,50,50,13,0,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
36,50,50,16,1,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
37,50,50,15,2,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
38,49,50,16,3,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
39,50,50,15,4,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
40,50,50,13,5,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
41,49,50,15,6,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
42,50,50,13,7,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
43,49,50,10,8,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
44,50,50,11,9,50.2161524278791,0.7187466297135101,2.0009677457959705,0,0,,,,,,
45,50,50,12,0,50.131204704574294,0.7187466297135101,1.9980173293825783,0,0,,,,,,
46,48,50,15,1,50.131204704574294,0.7187466297135101,1.9980173293825783,0,0,,,,,,
47,48,50,15,2,50.131204704574294,0.7187466297135101,1.9980173293825783,0,0,,,,,,
48,50,50,17,0,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
49,49,50,18,1,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
50,49,50,13,2,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
51,50,50,11,3,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
52,50,50,18,4,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
53,49,50,15,5,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
54,50,50,15,6,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
55,49,50,15,7,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
56,50,50,15,8,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
57,50,50,10,9,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
58,49,50,13,10,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
59,49,50,14,11,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
60,49,50,15,12,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
61,50,50,17,13,50.09536210672317,0.7187466297135101,1.9980173293825783,0,0,,,,,,
62,50,50,14,0,49.914841480823156,0.7187466297135101,1.9922705676761758,0,0,,,,,,
63,50,50,14,1,49.914841480823156,0.7187466297135101,1.9922705676761758,0,0,,,,,,
64,50,50,18,2,49.914841480823156,0.7187466297135101,1.9922705676761758,0,0,,,,,,
65,49,50,14,3,49.914841480823156,0.7187466297135101,1.9922705676761758,0,0,,,,,,
66,48,50,24,4,49.914841480823156,0.7187466297135101,1.9922705676761758,0,0,,,,,,
67,49,50,22,0,49.863474143521245,0.7187466297135101,1.9949529448276515,0,0,,,,,,
68,49,50,19,1,49.863474143521245,0.7187466297135101,1.9949529448276515,0,0,,,,,,
69,50,50,16,2,49.863474143521245,0.7187466297135101,1.9949529448276515,0,0,,,,,,
70,50,50,15,0,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
71,50,50,17,1,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
72,49,50,20,2,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
73,49,50,17,3,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
74,47,50,14,4,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
75,49,50,9,5,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
76,50,50,15,6,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
77,50,50,11,7,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
78,50,50,16,8,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
79,50,50,10,9,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
80,49,50,19,10,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
81,50,50,8,11,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
82,50,50,13,12,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
83,47,50,10,13,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
84,50,50,15,14,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
85,50,50,11,15,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
86,50,50,15,16,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
87,48,50,13,17,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
88,50,50,15,18,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
89,50,50,12,19,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
90,50,50,12,20,49.80708425515029,0.7187466297135101,1.9949529448276515,0,0,,,,,,
