instance,scalar_peak_osr,lex_peak_osr,delta_peak_osr,scalar_shoulder_osr,lex_shoulder_osr,delta_shoulder_osr
setA-01,0.0,0.0,0.0,0.11304347826086956,0.11578947368421053,0.0027459954233409606
setA-02,0.0,0.0,0.0,0.0,0.0,0.0
setA-03,0.014084507042253521,0.0,-0.014084507042253521,0.09859154929577464,0.08333333333333333,-0.015258215962441313
setA-04,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
setA-05,0.0,0.0,0.0,0.2727272727272727,0.2,-0.0727272727272727
setA-06,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333
setA-07,0.0,0.0,0.0,0.0,0.0,0.0
setA-08,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
setA-09,0.0,0.0,0.0,0.0,0.0,0.0
setA-10,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,-0.09090909090909091
setA-11,0.0,0.0,0.0,0.0,0.2,0.2
setA-12,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0
setA-13,0.0,0.0,0.0,0.0,0.0,0.0
setA-14,0.0,0.125,0.125,0.0,0.25,0.25
setA-15,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
setA-16,0.0,0.0,0.0,0.0,0.0,0.0
setA-17,0.0,0.0,0.0,0.0,0.0,0.0
setA-18,0.0,0.0,0.0,0.0,0.0,0.0
setA-19,0.0,0.0,0.0,0.0,0.0,0.0
setA-20,0.0,0.0,0.0,0.0,0.0,0.0
