instance,scalar_peak_pe,lex_peak_pe,scalar_shoulder_pe,lex_shoulder_pe,scalar_transition_pe,lex_transition_pe,scalar_tail_pe,lex_tail_pe,scalar_mixed_pe,lex_mixed_pe,scalar_neutral_pe,lex_neutral_pe,scalar_peak_osr,lex_peak_osr,scalar_shoulder_osr,lex_shoulder_osr,scalar_transition_osr,lex_transition_osr,scalar_ifr,lex_ifr,scalar_final_valid_rate,lex_final_valid_rate,scalar_stagnation_rate,lex_stagnation_rate,scalar_n_generations,lex_n_generations,scalar_total_moves,lex_total_moves
setA-01,0.0,0.0,0.43333333333333335,0.2682926829268293,0.36666666666666664,0.2682926829268293,0.0,0.12195121951219512,0.2,0.24390243902439024,0.0,0.0975609756097561,0.0,0.0,0.11304347826086956,0.11578947368421053,0.09565217391304348,0.11578947368421053,0.0,0.0,0.98,1.0,0.7304347826086957,0.5578947368421052,115,95,30,41
setA-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.9523809523809523,21,21,0,0
setA-03,0.045454545454545456,0.0,0.3181818181818182,0.1951219512195122,0.36363636363636365,0.2682926829268293,0.22727272727272727,0.1951219512195122,0.045454545454545456,0.21951219512195122,0.0,0.12195121951219512,0.014084507042253521,0.0,0.09859154929577464,0.08333333333333333,0.11267605633802817,0.11458333333333333,0.0,0.0,0.92,0.96,0.676056338028169,0.5625,71,96,22,41
setA-04,0.0,0.25,0.1,0.125,0.1,0.25,0.3,0.25,0.5,0.125,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,1.0,1.0,0.21428571428571427,0.35714285714285715,14,14,10,8
setA-05,0.0,0.0,0.3,0.2857142857142857,0.0,0.0,0.4,0.14285714285714285,0.3,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.2727272727272727,0.2,0.0,0.0,0.0,0.0,0.98,1.0,0.0,0.2,11,10,10,7
setA-06,0.1,0.14285714285714285,0.1,0.2857142857142857,0.2,0.0,0.1,0.2857142857142857,0.5,0.2857142857142857,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.3333333333333333,12,12,10,7
setA-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.9523809523809523,21,21,0,0
setA-08,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,1.0,0.2222222222222222,0.2222222222222222,9,9,6,6
setA-09,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.6666666666666666,0.125,0.16666666666666666,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,1.0,1.0,0.3,0.1,10,10,6,8
setA-10,0.0,0.16666666666666666,0.125,0.0,0.375,0.3333333333333333,0.25,0.16666666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,1.0,1.0,0.18181818181818182,0.36363636363636365,11,11,8,6
setA-11,0.0,0.0,0.0,0.25,0.375,0.0,0.625,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,1.0,1.0,0.1,0.1,10,10,8,8
setA-12,0.0,0.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.0,0.14285714285714285,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,0.5789473684210527,0.631578947368421,19,19,7,6
setA-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,16,16,0,0
setA-14,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.98,0.125,0.125,8,8,6,6
setA-15,0.0,0.0,0.125,0.16666666666666666,0.0,0.16666666666666666,0.625,0.5,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0,0.2222222222222222,9,9,8,6
setA-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,5,5,0,0
setA-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.0,2,2,1,1
