instance,scalar_obj,lex_obj,delta_obj,scalar_valid,lex_valid,winner,scalar_runtime,lex_runtime,scalar_gens,lex_gens
setA-01,48.818542932168725,52.59699173367278,3.778448801504055,True,True,Scalar,19527,18626,115,95
setA-02,inf,inf,0.0,False,False,Tie(invalid),1785,1755,21,21
setA-03,60.249123182640375,69.48976388173155,9.240640699091173,True,True,Scalar,19202,30185,71,96
setA-04,64.98775723655187,73.57515407382465,8.587396837272777,True,True,Scalar,30417,31331,14,14
setA-05,13.722146039293333,15.351646140696117,1.6295001014027832,True,True,Scalar,30142,30119,11,10
setA-06,55.19904429579966,65.05456399434844,9.855519698548783,True,True,Scalar,128798,125818,12,12
setA-07,inf,inf,0.0,False,False,Tie(invalid),76432,75738,21,21
setA-08,49.74079905089104,55.00915645252374,5.268357401632699,True,True,Scalar,66783,66720,9,9
setA-09,157.33600523207866,175.2899088124935,17.953903580414845,True,True,Scalar,75028,75824,10,10
setA-10,86.93198657249775,90.73868057962716,3.8066940071294084,True,True,Scalar,320719,323973,11,11
setA-11,113.58331685928339,126.13581868791928,12.552501828635897,True,True,Scalar,205352,210774,10,10
setA-12,18.415679886457173,18.57019906730968,0.15451918085250682,True,True,Scalar,190803,188742,19,19
setA-13,inf,inf,0.0,False,False,Tie(invalid),309910,309853,16,16
setA-14,94.77064253061815,101.49647276667042,6.725830236052275,True,True,Scalar,303943,305943,8,8
setA-15,242.22045357196777,259.12516137773684,16.90470780576908,True,True,Scalar,315080,318276,9,9
setA-16,inf,inf,0.0,False,False,Tie(invalid),309280,309204,5,5
setA-17,60.2456476727271,60.2456476727271,0.0,True,True,Tie,348732,347065,2,2
setA-18,799246.2188567839,799258.3463383008,12.127481516916305,True,True,Scalar,392970,426824,6,6
setA-19,inf,inf,0.0,False,False,Tie(invalid),311542,312705,3,3
setA-20,inf,inf,0.0,False,False,Tie(invalid),345247,345160,2,2
